file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/users/farah/cpmp/1.ck/Openfire/xmppserver/src/main/java/org/jivesoftware/util/XMLWriter.java,org.jivesoftware.util.XMLWriter,setEscapeText/1[boolean],false,151,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,36,1,0,true
/users/farah/cpmp/1.ck/Openfire/xmppserver/src/main/java/org/jivesoftware/util/XMLWriter.java,org.jivesoftware.util.XMLWriter,escapeElementEntities/1[java.lang.String],false,1376,2,4,3,1,17,9,51,2,7,1,9,1,3,1,4,0,0,5,6,15,4,3,0,0,0,40,4,0,true
/users/farah/cpmp/1.ck/Openfire/xmppserver/src/main/java/org/jivesoftware/util/XMLWriter.java,org.jivesoftware.util.XMLWriter,XMLWriter/0,true,96,0,0,0,0,1,1,6,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,20,1,0,false
/users/farah/cpmp/1.ck/Openfire/xmppserver/src/main/java/org/jivesoftware/util/XMLWriter.java,org.jivesoftware.util.XMLWriter,"processingInstruction/2[java.lang.String,java.lang.String]",false,645,1,3,0,3,2,5,16,0,0,2,5,3,1,0,0,1,0,3,0,1,0,1,0,0,0,19,1,0,false
/users/farah/cpmp/1.ck/Openfire/xmppserver/src/main/java/org/jivesoftware/util/XMLWriter.java,org.jivesoftware.util.XMLWriter,writePrintln/0,false,1297,0,8,8,0,2,3,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,4,0,true
/users/farah/cpmp/1.ck/Openfire/xmppserver/src/main/java/org/jivesoftware/util/XMLWriter.java,org.jivesoftware.util.XMLWriter,write/1[java.lang.String],false,369,1,3,1,2,2,2,6,0,0,1,2,2,5,0,0,0,0,0,0,0,0,1,0,0,0,27,1,0,true
/users/farah/cpmp/1.ck/Openfire/xmppserver/src/main/java/org/jivesoftware/util/XMLWriter.java,org.jivesoftware.util.XMLWriter,"XMLWriter/2[java.io.OutputStream,org.jivesoftware.util.OutputFormat]",true,110,2,1,0,1,1,3,6,0,0,2,3,1,1,0,0,0,0,0,0,3,0,0,0,0,0,12,1,0,false
/users/farah/cpmp/1.ck/Openfire/xmppserver/src/main/java/org/jivesoftware/util/XMLWriter.java,org.jivesoftware.util.XMLWriter,writeDeclaration/0,false,1323,1,3,2,1,6,7,22,0,1,0,7,1,1,0,0,0,0,8,0,1,1,3,0,0,0,26,4,0,true
/users/farah/cpmp/1.ck/Openfire/xmppserver/src/main/java/org/jivesoftware/util/XMLWriter.java,org.jivesoftware.util.XMLWriter,parse/1[org.xml.sax.InputSource],false,455,2,1,0,1,1,2,4,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,false
/users/farah/cpmp/1.ck/Openfire/xmppserver/src/main/java/org/jivesoftware/util/XMLWriter.java,org.jivesoftware.util.XMLWriter,writeAttributes/1[org.xml.sax.Attributes],false,1264,2,3,1,2,2,2,5,0,2,1,2,1,6,1,0,0,0,0,1,2,0,1,0,0,0,9,4,0,false
