file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/farah/PycharmProjects/cpmp/1.ck/commons-bcel/src/main/java/org/apache/bcel/generic/ISTORE.java,org.apache.bcel.generic.ISTORE,class,2,8,6,2,3,2,0,2,3,0.0,0.0,0.0,3,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,0
/home/farah/PycharmProjects/cpmp/1.ck/commons-bcel/src/main/java/org/apache/bcel/util/ClassLoaderRepository.java,org.apache.bcel.util.ClassLoaderRepository,class,5,7,2,5,11,1,0,13,14,0.625,0.0,0.0,8,0,8,0,0,0,8,0,0,0,2,0,0,2,0,0,2,0,0,45,5,0,2,1,0,2,0,7,3,6,2,0,0,0,63,1,0
/home/farah/PycharmProjects/cpmp/1.ck/commons-bcel/src/main/java/org/apache/bcel/generic/LXOR.java,org.apache.bcel.generic.LXOR,class,2,7,5,2,2,2,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,0
/home/farah/PycharmProjects/cpmp/1.ck/commons-bcel/src/main/java/org/apache/bcel/generic/InstructionList.java,org.apache.bcel.generic.InstructionList,class,19,46,27,19,173,1,0,87,1469,0.8151515,0.0,0.0,66,1,60,6,0,0,60,0,0,0,5,0,0,5,0,0,0,0,12,692,53,30,62,3,12,38,23,175,21,108,6,1,0,0,311,1,0
/home/farah/PycharmProjects/cpmp/1.ck/commons-bcel/src/test/java/org/apache/bcel/data/ComplexAnnotatedClass.java,org.apache.bcel.data.ComplexAnnotatedClass,class,1,1,0,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,1,0
/home/farah/PycharmProjects/cpmp/1.ck/commons-bcel/src/test/java/org/apache/bcel/generic/DDIVTestCase.java,org.apache.bcel.generic.DDIVTestCase,class,3,3,0,3,1,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,5,3,0,3,0,0,0,0,13,1,0
/home/farah/PycharmProjects/cpmp/1.ck/commons-bcel/src/main/java/org/apache/bcel/generic/INVOKESTATIC.java,org.apache.bcel.generic.INVOKESTATIC,class,3,8,5,3,5,3,0,14,10,0.0,0.0,0.0,5,0,4,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,74,1,0
/home/farah/PycharmProjects/cpmp/1.ck/commons-bcel/src/test/java/org/apache/bcel/generic/AnnotationGenTestCase.java,org.apache.bcel.generic.AnnotationGenTestCase,class,14,15,1,14,9,2,0,23,6,0.0,0.0,0.0,4,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,73,1,3,0,2,2,17,3,34,2,32,2,0,0,0,85,1,0
/home/farah/PycharmProjects/cpmp/1.ck/commons-bcel/src/test/java/org/apache/bcel/data/AttributeTestClassEM01.java,org.apache.bcel.data.AttributeTestClassEM01$1S,innerclass,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
/home/farah/PycharmProjects/cpmp/1.ck/commons-bcel/src/examples/Mini/MiniParserTokenManager.java,Mini.MiniParserTokenManager,class,7,9,2,7,237,1,0,29,114,0.89393944,0.0,0.0,24,22,6,17,0,1,7,0,0,0,22,22,3,3,1,15,11,0,119,683,90,12,69,11,52,37,446,135,22,43,6,0,0,0,167,1,0
/home/farah/PycharmProjects/cpmp/1.ck/commons-bcel/src/main/java/org/apache/bcel/verifier/exc/VerificationException.java,org.apache.bcel.verifier.exc.VerificationException,class,1,3,2,1,3,5,2,0,3,1.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,1,1,0,1,0,0,1,0,0,11,0,0,0,0,0,0,1,1,0,1,0,0,0,0,67,1025,0
