file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/issues/JiraCsv211Test.java,org.apache.commons.csv.issues.JiraCsv211Test,testJiraCsv211Format/0,false,31,4,8,0,8,1,10,15,0,5,0,10,0,0,0,0,1,0,13,4,4,0,2,0,0,1,21,1,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/PerformanceTest.java,org.apache.commons.csv.PerformanceTest,main/1[java.lang.String[]],false,112,2,8,0,8,17,20,66,0,4,1,20,7,8,2,0,1,0,28,7,6,3,2,0,0,0,48,9,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/PerformanceTest.java,org.apache.commons.csv.PerformanceTest,testReadBigFile/1[boolean],false,317,2,5,1,4,3,5,12,0,4,1,5,4,1,1,0,1,0,2,1,4,0,2,0,0,0,19,10,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/PerformanceTest.java,org.apache.commons.csv.PerformanceTest,testExtendedBuffer/1[boolean],false,250,3,7,1,6,10,7,40,0,7,1,7,3,1,3,6,1,3,3,5,11,1,5,0,0,0,21,10,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/PerformanceTest.java,org.apache.commons.csv.PerformanceTest,"testParser/2[java.lang.String,org.apache.commons.csv.PerformanceTest.CSVParserFactory]",false,300,3,8,4,4,2,5,12,0,4,2,5,3,1,1,0,1,0,0,1,4,0,2,0,0,0,17,10,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/PerformanceTest.java,org.apache.commons.csv.PerformanceTest,show/0,false,183,0,4,4,0,3,1,10,0,2,0,1,0,0,1,0,0,1,2,5,4,2,2,0,0,0,6,10,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/PerformanceTest.java,org.apache.commons.csv.PerformanceTest,getLexerCtor/1[java.lang.String],false,96,3,1,1,0,1,2,4,1,1,1,2,0,0,0,0,0,0,2,0,1,1,0,0,0,0,6,10,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/PerformanceTest.java,org.apache.commons.csv.PerformanceTest,testParseCommonsCSV/0,false,288,2,4,1,3,1,2,3,0,0,0,2,2,2,0,0,0,0,1,0,0,0,0,0,0,1,10,10,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/PerformanceTest.java,org.apache.commons.csv.PerformanceTest,testParseURL/0,false,313,2,3,1,2,1,4,3,0,0,0,4,1,2,0,0,0,0,1,0,0,0,0,0,0,1,7,10,0,false
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/PerformanceTest.java,org.apache.commons.csv.PerformanceTest,"testCSVLexer/2[boolean,java.lang.String]",false,202,5,10,1,9,11,12,48,0,10,2,12,4,2,2,0,1,1,9,3,12,3,4,0,0,0,34,10,0,false
