file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/issues/JiraCsv211Test.java,org.apache.commons.csv.issues.JiraCsv211Test,class,4,4,0,4,1,1,0,10,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1,0,13,4,4,0,5,2,0,0,1,22,1,0
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/PerformanceTest.java,org.apache.commons.csv.PerformanceTest,class,11,12,1,11,60,1,0,52,60,0.8035714,NaN,NaN,16,16,1,15,0,0,1,0,0,0,7,7,0,7,0,0,5,0,50,255,5,12,7,5,6,64,28,57,11,45,4,0,2,4,107,1,0
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/issues/JiraCsv148Test.java,org.apache.commons.csv.issues.JiraCsv148Test,class,3,3,0,3,2,1,0,7,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,22,0,2,2,2,0,0,0,0,44,1,0
/users/farah/cpmp/1.ck/commons-csv/src/main/java/org/apache/commons/csv/Token.java,org.apache.commons.csv.Token,class,1,10,9,1,2,1,0,3,0,0.4,0.0,0.0,2,0,1,0,0,1,2,0,0,0,5,1,0,1,0,4,2,0,0,22,1,0,0,0,0,2,2,6,1,5,0,0,1,0,69,16,0
/users/farah/cpmp/1.ck/commons-csv/src/main/java/org/apache/commons/csv/Constants.java,org.apache.commons.csv.Constants,class,0,0,0,0,1,1,0,1,0,1.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,22,22,0,0,0,22,22,0,1,26,0,0,0,0,0,7,4,22,0,22,0,0,0,0,49,16,0
/users/farah/cpmp/1.ck/commons-csv/src/main/java/org/apache/commons/csv/CSVRecord.java,org.apache.commons.csv.CSVRecord,class,3,25,22,3,37,1,0,22,77,0.8181818,0.0,0.0,22,0,20,1,0,1,21,0,0,0,6,1,0,6,0,0,6,0,6,102,22,0,10,1,0,7,2,10,1,12,2,0,0,1,217,17,0
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/issues/JiraCsv149Test.java,org.apache.commons.csv.issues.JiraCsv149Test,class,5,6,1,5,5,1,0,9,3,0.6666667,0.0,0.0,3,0,2,1,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,24,0,1,0,1,0,4,1,7,1,6,2,0,0,0,40,1,0
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/issues/JiraCsv271Test.java,org.apache.commons.csv.issues.JiraCsv271Test,class,3,3,0,3,2,1,0,6,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,2,0,8,0,6,0,6,1,0,0,0,22,1,0
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/perf/PerformanceTest.java,org.apache.commons.csv.perf.PerformanceTest,class,5,6,1,5,15,1,0,20,20,0.75,0.0,0.0,8,1,4,4,0,0,4,0,0,0,3,2,0,3,0,0,3,0,13,74,5,5,1,4,0,13,5,23,3,21,4,0,0,0,80,1,0
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/issues/JiraCsv288Test.java,org.apache.commons.csv.issues.JiraCsv288Test,class,6,7,1,6,26,1,0,8,78,0.0,0.0,0.0,13,0,12,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,24,127,0,13,0,12,0,36,0,48,0,48,2,0,0,0,49,1,0
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/TokenMatchers.java,org.apache.commons.csv.TokenMatchers,class,6,9,3,6,4,1,0,3,6,0.0,0.0,0.0,4,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,45,4,0,0,0,0,0,0,0,0,0,0,3,0,0,19,16,0
/users/farah/cpmp/1.ck/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java,org.apache.commons.csv.CSVFormat$Builder,innerclass,4,4,0,4,42,1,0,21,382,0.8947368,0.0,0.0,32,2,31,1,0,0,31,0,0,0,19,0,0,19,0,0,0,0,15,189,31,1,3,0,0,6,2,48,2,25,2,0,0,1,200,9,0
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/issues/JiraCsv253Test.java,org.apache.commons.csv.issues.JiraCsv253Test,class,6,7,1,6,3,1,0,9,1,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,0,1,0,12,1,5,1,5,1,0,0,0,45,1,0
/users/farah/cpmp/1.ck/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java,org.apache.commons.csv.CSVFormat,class,11,46,35,11,239,1,0,111,4073,0.94738513,0.0,0.0,98,12,74,18,0,6,80,0,0,4,32,13,12,20,0,0,32,0,42,934,96,12,70,1,5,32,38,136,22,90,5,0,2,1,534,17,0
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/IOUtilsTest.java,org.apache.commons.csv.IOUtilsTest,class,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/issues/JiraCsv198Test.java,org.apache.commons.csv.issues.JiraCsv198Test,class,4,4,0,4,1,1,0,11,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,10,0,0,0,1,0,3,0,3,0,4,1,0,0,1,36,1,0
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVRecordTest.java,org.apache.commons.csv.CSVRecordTest$EnumFixture,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0
/users/farah/cpmp/1.ck/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java,org.apache.commons.csv.CSVParser,class,9,31,22,9,74,1,0,64,258,0.84482753,0.0,0.0,29,6,22,5,0,2,24,0,0,0,10,0,0,10,0,0,7,0,27,276,28,2,21,0,1,21,5,44,5,33,5,0,2,0,368,17,0
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVFormatTest.java,org.apache.commons.csv.CSVFormatTest,class,8,9,1,8,123,1,0,130,5671,0.0,0.0,0.0,107,2,104,3,0,0,104,0,0,0,0,0,0,0,0,0,0,0,64,929,1,2,1,1,0,191,12,155,6,149,5,0,2,25,149,1,0
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/TokenMatchers.java,org.apache.commons.csv.TokenMatchers$Anonymous1,anonymous,2,2,0,2,2,1,0,4,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,2,0,0,0,0,0,0,0,0,13,-1,0
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/issues/JiraCsv248Test.java,org.apache.commons.csv.issues.JiraCsv248Test,class,3,4,1,3,3,1,0,21,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,29,1,0,0,2,0,8,6,4,0,4,2,0,0,0,65,1,0
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/TokenMatchers.java,org.apache.commons.csv.TokenMatchers$Anonymous2,anonymous,2,2,0,2,3,1,0,2,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,1,0,0,2,0,0,0,0,0,0,0,0,13,-1,0
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/issues/JiraCsv213Test.java,org.apache.commons.csv.issues.JiraCsv213Test,class,5,6,1,5,4,1,0,14,1,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,1,0,2,0,3,0,3,2,0,0,0,74,1,0
/users/farah/cpmp/1.ck/commons-csv/src/main/java/org/apache/commons/csv/CSVParser.java,org.apache.commons.csv.CSVParser$CSVRecordIterator,innerclass,3,3,0,3,11,1,0,6,4,0.5,0.0,0.0,4,0,3,1,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,37,4,0,4,1,0,3,0,4,1,2,2,0,0,0,27,0,0
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/TokenMatchers.java,org.apache.commons.csv.TokenMatchers$Anonymous3,anonymous,2,2,0,2,2,1,0,1,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,2,0,0,0,0,0,0,0,0,11,-1,0
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVRecordTest.java,org.apache.commons.csv.CSVRecordTest$EnumHeader,enum,0,0,0,0,2,1,0,0,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,8,1,0,0,0,0,3,0,1,0,1,0,0,0,0,23,1,0
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/issues/JiraCsv290Test.java,org.apache.commons.csv.issues.JiraCsv290Test,class,7,8,1,7,4,1,0,25,6,0.0,0.0,0.0,4,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,39,0,0,0,2,0,24,21,7,1,6,1,0,0,0,39,1,0
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/issues/JiraCsv249Test.java,org.apache.commons.csv.issues.JiraCsv249Test,class,6,6,0,6,1,1,0,9,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,2,0,4,2,6,0,7,1,0,0,1,24,1,0
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/TokenMatchersTest.java,org.apache.commons.csv.TokenMatchersTest,class,4,4,0,4,6,1,0,11,0,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,13,35,0,0,0,0,0,10,0,4,0,1,0,0,0,0,26,1,0
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/CSVFileParserTest.java,org.apache.commons.csv.CSVFileParserTest,class,6,7,1,6,25,1,0,32,4,0.5,0.0,0.0,4,1,3,1,0,0,3,0,0,0,1,1,0,1,0,0,1,0,14,100,2,5,4,4,0,35,24,42,11,32,4,0,0,1,66,1,0
/users/farah/cpmp/1.ck/commons-csv/src/test/java/org/apache/commons/csv/PerformanceTest.java,org.apache.commons.csv.PerformanceTest$CSVParserFactory,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0
/users/farah/cpmp/1.ck/commons-csv/src/main/java/org/apache/commons/csv/DuplicateHeaderMode.java,org.apache.commons.csv.DuplicateHeaderMode,enum,0,4,4,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0
