file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/users/farah/cpmp/1.ck/easymock/core/src/test/java/org/easymock/tests2/UsageMatchersTest.java,org.easymock.tests2.UsageMatchersTest,class,5,5,0,5,2,1,0,8,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,14,0,0,0,0,0,3,3,2,0,2,0,0,0,0,29,1,0
/users/farah/cpmp/1.ck/easymock/core/src/test/java/org/easymock/tests/UsageFloatingPointReturnValueTest.java,org.easymock.tests.UsageFloatingPointReturnValueTest,class,5,5,0,5,3,1,0,13,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,11,24,0,0,0,0,0,0,24,1,0,1,0,0,0,0,24,1,0
/users/farah/cpmp/1.ck/easymock/core/src/main/java/org/easymock/LogicalOperator.java,org.easymock.LogicalOperator,enum,0,2,2,0,3,1,0,0,1,0.33333334,0.0,0.0,3,0,2,0,0,1,3,1,0,0,1,0,0,1,0,0,1,0,0,34,1,0,0,0,0,5,0,1,0,1,0,5,0,0,25,1,0
/users/farah/cpmp/1.ck/easymock/core/src/test/java/org/easymock/tests2/AnswerTest.java,org.easymock.tests2.AnswerTest$A,innerclass,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0
/users/farah/cpmp/1.ck/easymock/core/src/test/java/org/easymock/tests/MockClassControlTest.java,org.easymock.tests.MockClassControlTest,class,9,10,1,9,14,2,0,12,61,0.5714286,0.0,0.0,14,0,10,4,0,0,10,0,0,0,1,0,0,1,0,0,0,0,7,79,0,0,0,0,0,1,0,5,1,4,0,0,4,0,63,1,0
/users/farah/cpmp/1.ck/easymock/core/src/test/java/org/easymock/tests2/AnswerTest.java,org.easymock.tests2.AnswerTest$B,innerclass,1,1,0,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0
/users/farah/cpmp/1.ck/easymock/core/src/test/java/org/easymock/tests/InvocationTest.java,org.easymock.tests.InvocationTest,class,4,4,0,4,6,1,0,8,4,0.53333336,0.0,0.0,5,0,5,0,0,0,5,0,0,0,3,0,0,3,0,0,0,0,0,63,0,0,0,1,0,17,0,14,0,12,1,0,2,0,46,1,0
/users/farah/cpmp/1.ck/easymock/core/src/test/java/org/easymock/tests2/AnswerTest.java,org.easymock.tests2.AnswerTest$C,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
/users/farah/cpmp/1.ck/easymock/core/src/test/java/org/easymock/tests2/AnswerTest.java,org.easymock.tests2.AnswerTest,class,9,9,0,9,10,2,0,21,0,0.14285715,0.0,0.0,7,0,7,0,0,0,7,0,0,0,1,0,0,1,0,0,0,0,23,102,4,0,0,3,0,55,23,11,0,10,1,0,3,6,54,1,0
/users/farah/cpmp/1.ck/easymock/core/src/main/java/org/easymock/internal/ThrowableWrapper.java,org.easymock.internal.ThrowableWrapper,class,0,2,2,0,2,2,0,0,0,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,1,0,2,0,0,2,0,0,10,1,0,0,0,0,0,1,2,0,2,0,0,0,0,13,1,0
/users/farah/cpmp/1.ck/easymock/core/src/test/java/org/easymock/tests2/EasyMockAnnotationsTest.java,org.easymock.tests2.EasyMockAnnotationsTest$ToInjectQualifiedMocksMultipleTestSubjectsTest,innerclass,4,4,0,4,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,6,0,0,0,0,0,4,0,2,0,4,0,0,0,0,14,10,0
/users/farah/cpmp/1.ck/easymock/core/src/test/java/org/easymock/tests2/EasyMockAnnotationsTest.java,org.easymock.tests2.EasyMockAnnotationsTest$ToInjectQualifiedMocksTest,innerclass,4,4,0,4,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,5,0,0,0,0,0,4,0,1,0,3,0,0,0,0,11,10,0
/users/farah/cpmp/1.ck/easymock/core/src/test/java/org/easymock/tests/DefaultClassInstantiatorTest.java,org.easymock.tests.DefaultClassInstantiatorTest$SerializableWithUIDClass,innerclass,0,0,0,0,1,1,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,1,1,0,1,0,0,0,0,10,9,0
/users/farah/cpmp/1.ck/easymock/core/src/main/java/org/easymock/IMockBuilder.java,org.easymock.IMockBuilder,interface,5,23,18,5,30,1,0,10,435,0.0,0.0,0.0,30,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,52,10,0,0,0,0,0,0,0,0,0,0,0,0,0,188,1,0
/users/farah/cpmp/1.ck/easymock/core/src/main/java/org/easymock/internal/matchers/InstanceOf.java,org.easymock.internal.matchers.InstanceOf,class,1,2,1,1,4,1,0,4,0,0.5,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,1,0,2,0,0,2,0,0,13,1,0,1,0,1,2,1,2,0,2,0,0,0,0,22,1,0
/users/farah/cpmp/1.ck/easymock/core/src/main/java/org/easymock/internal/UnorderedBehavior.java,org.easymock.internal.UnorderedBehavior,class,7,8,1,7,20,1,0,17,0,0.5555555,0.0,0.0,6,0,6,0,0,0,6,0,0,0,3,1,0,3,0,0,3,0,0,72,9,4,2,1,0,0,2,11,1,11,3,0,0,0,48,1,0
/users/farah/cpmp/1.ck/easymock/core/src/main/java/org/easymock/internal/ReflectionUtils.java,org.easymock.internal.ReflectionUtils,class,2,10,8,2,41,1,0,33,45,0.98333335,0.0,0.0,10,9,6,4,0,0,7,0,0,0,6,6,5,1,0,0,6,0,15,146,17,7,11,2,0,11,2,24,5,18,5,0,0,1,178,17,0
/users/farah/cpmp/1.ck/easymock/core/src/test/java/org/easymock/tests2/CaptureTest.java,org.easymock.tests2.CaptureTest,class,9,10,1,9,28,1,0,72,231,0.0,0.0,0.0,22,0,20,1,1,0,21,0,0,0,0,0,0,0,0,0,0,0,135,249,1,3,0,3,2,77,48,46,5,46,1,0,1,0,97,1,0
/users/farah/cpmp/1.ck/easymock/core/src/test/java/org/easymock/tests2/MockBuilderTest.java,org.easymock.tests2.MockBuilderTest$A,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0
