file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/usuario/PycharmProjects/cpmp/1.ck/wro4j/wro4j-maven-plugin/src/test/java/ro/isdc/wro/maven/plugin/TestWro4jMojo.java,ro.isdc.wro.maven.plugin.TestWro4jMojo$Anonymous1,getInstance/1[java.lang.String],false,107,1,3,0,3,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/home/usuario/PycharmProjects/cpmp/1.ck/wro4j/wro4j-maven-plugin/src/test/java/ro/isdc/wro/maven/plugin/TestWro4jMojo.java,ro.isdc.wro.maven.plugin.TestWro4jMojo$Anonymous1,locate/1[java.lang.String],false,103,1,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/home/usuario/PycharmProjects/cpmp/1.ck/wro4j/wro4j-maven-plugin/src/test/java/ro/isdc/wro/maven/plugin/TestWro4jMojo.java,ro.isdc.wro.maven.plugin.TestWro4jMojo$Anonymous4,newWroManagerFactory/0,false,527,3,12,0,12,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,false
/home/usuario/PycharmProjects/cpmp/1.ck/wro4j/wro4j-maven-plugin/src/test/java/ro/isdc/wro/maven/plugin/TestWro4jMojo.java,ro.isdc.wro.maven.plugin.TestWro4jMojo$Anonymous5,newWroManagerFactory/0,false,571,4,12,0,12,1,3,6,1,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,4,0,false
/home/usuario/PycharmProjects/cpmp/1.ck/wro4j/wro4j-maven-plugin/src/test/java/ro/isdc/wro/maven/plugin/TestWro4jMojo.java,ro.isdc.wro.maven.plugin.TestWro4jMojo$Anonymous2,submit/1[java.util.Collection<java.util.concurrent.Callable<java.lang.Void>>],false,333,0,0,0,0,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/usuario/PycharmProjects/cpmp/1.ck/wro4j/wro4j-maven-plugin/src/test/java/ro/isdc/wro/maven/plugin/TestWro4jMojo.java,ro.isdc.wro.maven.plugin.TestWro4jMojo$Anonymous8,answer/1[ro.isdc.wro.maven.plugin.InvocationOnMock],false,698,1,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
/home/usuario/PycharmProjects/cpmp/1.ck/wro4j/wro4j-core/src/main/java/ro/isdc/wro/model/resource/processor/support/CssUrlInspector.java,ro.isdc.wro.model.resource.processor.support.CssUrlInspector,"findAndReplace/2[java.lang.String,ro.isdc.wro.model.resource.processor.support.CssUrlInspector.ItemHandler]",false,24,3,7,1,6,3,12,19,1,5,2,12,3,1,1,0,0,0,4,0,5,0,2,0,0,0,22,17,4,false
/home/usuario/PycharmProjects/cpmp/1.ck/wro4j/wro4j-core/src/main/java/ro/isdc/wro/model/resource/processor/support/CssUrlInspector.java,ro.isdc.wro.model.resource.processor.support.CssUrlInspector,getOriginalDeclaration/1[java.util.regex.Matcher],false,62,0,1,1,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16,4,0,true
/home/usuario/PycharmProjects/cpmp/1.ck/wro4j/wro4j-core/src/main/java/ro/isdc/wro/model/resource/processor/support/CssUrlInspector.java,ro.isdc.wro.model.resource.processor.support.CssUrlInspector,getOriginalUrl/1[java.util.regex.Matcher],false,71,0,1,1,0,2,1,4,1,1,1,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,16,4,0,true
/home/usuario/PycharmProjects/cpmp/1.ck/wro4j/wro4j-core/src/main/java/ro/isdc/wro/model/resource/processor/support/CssUrlInspector.java,ro.isdc.wro.model.resource.processor.support.CssUrlInspector,getMatcher/1[java.lang.String],false,53,0,1,1,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,true
/home/usuario/PycharmProjects/cpmp/1.ck/wro4j/wro4j-maven-plugin/src/test/java/ro/isdc/wro/maven/plugin/TestWro4jMojo.java,ro.isdc.wro.maven.plugin.TestWro4jMojo$Anonymous6,newWroManagerFactory/0,false,620,5,12,0,12,1,5,7,1,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,4,0,false
/home/usuario/PycharmProjects/cpmp/1.ck/wro4j/wro4j-maven-plugin/src/test/java/ro/isdc/wro/maven/plugin/TestWro4jMojo.java,ro.isdc.wro.maven.plugin.TestWro4jMojo$Anonymous7,newWroManagerFactory/0,false,669,3,12,0,12,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,false
/home/usuario/PycharmProjects/cpmp/1.ck/wro4j/wro4j-core/src/test/java/ro/isdc/wro/model/resource/locator/TestServletContextUriLocator.java,ro.isdc.wro.model.resource.locator.TestServletContextUriLocator$Anonymous1,locateWithDispatcher/1[java.lang.String],false,188,0,0,0,0,1,1,4,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,false
/home/usuario/PycharmProjects/cpmp/1.ck/wro4j/wro4j-core/src/test/java/ro/isdc/wro/model/resource/processor/TestLessCssImportPreProcessor.java,ro.isdc.wro.model.resource.processor.TestLessCssImportPreProcessor,tearDown/0,false,50,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/home/usuario/PycharmProjects/cpmp/1.ck/wro4j/wro4j-core/src/test/java/ro/isdc/wro/model/resource/processor/TestLessCssImportPreProcessor.java,ro.isdc.wro.model.resource.processor.TestLessCssImportPreProcessor,onAfterClass/0,false,36,1,0,0,0,1,2,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,9,0,false
/home/usuario/PycharmProjects/cpmp/1.ck/wro4j/wro4j-core/src/test/java/ro/isdc/wro/model/resource/processor/TestLessCssImportPreProcessor.java,ro.isdc.wro.model.resource.processor.TestLessCssImportPreProcessor,testFromFolder/0,false,56,1,0,0,0,1,7,7,0,3,0,7,0,0,0,0,0,0,4,0,3,0,0,0,0,0,13,1,0,false
/home/usuario/PycharmProjects/cpmp/1.ck/wro4j/wro4j-core/src/test/java/ro/isdc/wro/model/resource/processor/TestLessCssImportPreProcessor.java,ro.isdc.wro.model.resource.processor.TestLessCssImportPreProcessor,setUp/0,false,41,3,0,0,0,1,4,7,0,1,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12,1,0,false
/home/usuario/PycharmProjects/cpmp/1.ck/wro4j/wro4j-core/src/test/java/ro/isdc/wro/model/resource/processor/TestLessCssImportPreProcessor.java,ro.isdc.wro.model.resource.processor.TestLessCssImportPreProcessor,onBeforeClass/0,false,31,1,0,0,0,1,2,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,9,0,false
/home/usuario/PycharmProjects/cpmp/1.ck/wro4j/wro4j-core/src/test/java/ro/isdc/wro/model/resource/processor/TestLessCssImportPreProcessor.java,ro.isdc.wro.model.resource.processor.TestLessCssImportPreProcessor,shouldSupportCorrectResourceTypes/0,false,66,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/usuario/PycharmProjects/cpmp/1.ck/wro4j/wro4j-extensions/src/main/java/ro/isdc/wro/extensions/support/lint/LintReport.java,ro.isdc.wro.extensions.support.lint.LintReport,addReport/1[ro.isdc.wro.extensions.support.lint.ResourceLintReport<T>],false,40,3,0,0,0,1,2,5,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,true
/home/usuario/PycharmProjects/cpmp/1.ck/wro4j/wro4j-extensions/src/main/java/ro/isdc/wro/extensions/support/lint/LintReport.java,ro.isdc.wro.extensions.support.lint.LintReport,toString/0,false,50,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,true
/home/usuario/PycharmProjects/cpmp/1.ck/wro4j/wro4j-extensions/src/main/java/ro/isdc/wro/extensions/support/lint/LintReport.java,ro.isdc.wro.extensions.support.lint.LintReport,getReports/0,false,29,2,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,true
/home/usuario/PycharmProjects/cpmp/1.ck/wro4j/wro4j-extensions/src/main/java/ro/isdc/wro/extensions/support/lint/LintReport.java,ro.isdc.wro.extensions.support.lint.LintReport,LintReport/0,true,22,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/home/usuario/PycharmProjects/cpmp/1.ck/wro4j/wro4j-core/src/test/java/ro/isdc/wro/model/resource/processor/TestDefaultGroupExtractor.java,ro.isdc.wro.model.resource.processor.TestDefaultGroupExtractor,testExtractInvalidResourceType/0,false,57,3,1,0,1,1,4,10,0,2,0,4,1,1,0,0,0,0,3,0,5,0,0,0,0,0,11,1,0,false
/home/usuario/PycharmProjects/cpmp/1.ck/wro4j/wro4j-core/src/test/java/ro/isdc/wro/model/resource/processor/TestDefaultGroupExtractor.java,ro.isdc.wro.model.resource.processor.TestDefaultGroupExtractor,onAfterClass/0,false,37,1,0,0,0,1,2,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,9,0,false
/home/usuario/PycharmProjects/cpmp/1.ck/wro4j/wro4j-core/src/test/java/ro/isdc/wro/model/resource/processor/TestDefaultGroupExtractor.java,ro.isdc.wro.model.resource.processor.TestDefaultGroupExtractor,cannotExtractGroupNamesUsingNullUri/0,false,52,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/home/usuario/PycharmProjects/cpmp/1.ck/wro4j/wro4j-core/src/test/java/ro/isdc/wro/model/resource/processor/TestDefaultGroupExtractor.java,ro.isdc.wro.model.resource.processor.TestDefaultGroupExtractor,cannotExtractResourceTypeUsingNullUri/0,false,47,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/home/usuario/PycharmProjects/cpmp/1.ck/wro4j/wro4j-core/src/test/java/ro/isdc/wro/model/resource/processor/TestDefaultGroupExtractor.java,ro.isdc.wro.model.resource.processor.TestDefaultGroupExtractor,init/0,false,42,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/home/usuario/PycharmProjects/cpmp/1.ck/wro4j/wro4j-core/src/test/java/ro/isdc/wro/model/resource/processor/TestDefaultGroupExtractor.java,ro.isdc.wro.model.resource.processor.TestDefaultGroupExtractor,testExtractNoGroupName/0,false,71,2,1,0,1,1,3,7,0,1,0,3,1,1,0,0,0,0,5,0,2,0,0,0,0,0,11,1,0,false
/home/usuario/PycharmProjects/cpmp/1.ck/wro4j/wro4j-core/src/test/java/ro/isdc/wro/model/resource/processor/TestDefaultGroupExtractor.java,ro.isdc.wro.model.resource.processor.TestDefaultGroupExtractor,onBeforeClass/0,false,32,1,0,0,0,1,2,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,9,0,false
/home/usuario/PycharmProjects/cpmp/1.ck/wro4j/wro4j-core/src/test/java/ro/isdc/wro/model/resource/processor/TestDefaultGroupExtractor.java,ro.isdc.wro.model.resource.processor.TestDefaultGroupExtractor,mockRequestForUri/1[java.lang.String],false,81,1,2,2,0,1,4,5,1,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,2,0,false
