Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"clustering_1_2_0/src/plugins/clustering/src/java/com/jivesoftware/openfire/ClusteringPlugin.java",clustering_1_2_0/src/plugins/clustering/src/java/com/jivesoftware/openfire/ClusteringPlugin.java,2,2,2,1,14,1,8,4,,,,2,1,2,,9,8,1,9,,0,1,0,8,,198,24,102,43,47,72,,,56,75,42,39,,,,,7,7,7,1,,2,,0,71,18,18,18,9
File,"clustering_1_2_0/src/plugins/clustering/src/java/com/jivesoftware/openfire/session/ClientSessionTask.java",clustering_1_2_0/src/plugins/clustering/src/java/com/jivesoftware/openfire/session/ClientSessionTask.java,1,1,1,1,7,0,6,0,,,,1,0,0,,7,7,1,7,,1,0,1,5,,108,13,66,28,27,29,,,35,48,28,24,,,,,6,6,6,1,,2,,0,44,12,12,12,7
File,"clustering_1_2_0/src/plugins/clustering/src/java/com/jivesoftware/openfire/session/ComponentSessionTask.java",clustering_1_2_0/src/plugins/clustering/src/java/com/jivesoftware/openfire/session/ComponentSessionTask.java,2,2,2,1,6,0,6,0,,,,1,0,0,,7,7,1,7,,1,0,1,5,,94,11,59,18,25,24,,,27,43,18,25,,,,,9,9,9,1,,1,,0,41,15,15,15,7
File,"clustering_1_2_0/src/plugins/clustering/src/java/com/jivesoftware/openfire/session/ConnectionMultiplexerSessionTask.java",clustering_1_2_0/src/plugins/clustering/src/java/com/jivesoftware/openfire/session/ConnectionMultiplexerSessionTask.java,1,1,1,1,3,0,3,0,,,,1,0,0,,4,4,1,4,,1,0,1,2,,51,8,19,10,4,24,,,9,14,10,4,,,,,1,1,1,1,,0,,1,26,4,4,4,4
File,"clustering_1_2_0/src/plugins/clustering/src/java/com/jivesoftware/openfire/session/DeliverRawTextTask.java",clustering_1_2_0/src/plugins/clustering/src/java/com/jivesoftware/openfire/session/DeliverRawTextTask.java,2,2,2,1,7,0,7,0,,,,2,0,0,,9,11,9,11,,1,0,1,9,,138,14,101,31,45,23,,,46,70,26,44,,,,,6,6,6,6,,1,,0,23,22,22,22,14
File,"clustering_1_2_0/src/plugins/clustering/src/java/com/jivesoftware/openfire/session/IncomingServerSessionTask.java",clustering_1_2_0/src/plugins/clustering/src/java/com/jivesoftware/openfire/session/IncomingServerSessionTask.java,1,1,1,1,4,0,4,0,,,,1,0,0,,7,7,1,7,,1,0,1,5,,77,12,41,17,14,24,,,21,31,17,14,,,,,3,3,3,1,,1,,0,59,9,9,9,7
File,"clustering_1_2_0/src/plugins/clustering/src/java/com/jivesoftware/openfire/session/OutgoingServerSessionTask.java",clustering_1_2_0/src/plugins/clustering/src/java/com/jivesoftware/openfire/session/OutgoingServerSessionTask.java,1,1,1,1,4,0,4,0,,,,1,0,0,,7,7,1,7,,1,0,1,5,,79,11,44,18,15,24,,,22,33,18,15,,,,,4,4,4,1,,1,,0,55,10,10,10,7
File,"clustering_1_2_0/src/plugins/clustering/src/java/com/jivesoftware/openfire/session/ProcessPacketTask.java",clustering_1_2_0/src/plugins/clustering/src/java/com/jivesoftware/openfire/session/ProcessPacketTask.java,2,2,2,1,8,0,8,0,,,,2,0,0,,9,11,9,11,,1,0,2,8,,159,14,122,35,62,23,,,58,86,30,58,,,,,6,6,6,6,,1,,0,19,28,26,28,14
File,"clustering_1_2_0/src/plugins/clustering/src/java/com/jivesoftware/openfire/session/RemoteClientSession.java",clustering_1_2_0/src/plugins/clustering/src/java/com/jivesoftware/openfire/session/RemoteClientSession.java,1,1,1,1,5,0,5,0,,,,4,0,0,,32,32,5,32,,3,0,3,26,,276,41,203,75,92,32,,,95,147,76,86,,,,,4,4,5,4,,2,,0,16,49,49,53,37
File,"clustering_1_2_0/src/plugins/clustering/src/java/com/jivesoftware/openfire/session/RemoteComponentSession.java",clustering_1_2_0/src/plugins/clustering/src/java/com/jivesoftware/openfire/session/RemoteComponentSession.java,1,1,1,0,4,0,4,0,,,,6,0,0,,34,36,9,36,,3,0,3,30,,267,44,200,80,89,23,,,95,145,76,84,,,,,4,4,4,1,,1,,0,12,46,44,46,34
File,"clustering_1_2_0/src/plugins/clustering/src/java/com/jivesoftware/openfire/session/RemoteConnectionMultiplexerSession.java",clustering_1_2_0/src/plugins/clustering/src/java/com/jivesoftware/openfire/session/RemoteConnectionMultiplexerSession.java,1,1,1,1,3,0,3,0,,,,1,0,0,,4,4,0,4,,3,0,0,1,,49,7,19,10,4,23,,,9,14,10,4,,,,,1,1,1,1,,0,,1,21,4,4,4,4
File,"clustering_1_2_0/src/plugins/clustering/src/java/com/jivesoftware/openfire/session/RemoteIncomingServerSession.java",clustering_1_2_0/src/plugins/clustering/src/java/com/jivesoftware/openfire/session/RemoteIncomingServerSession.java,1,1,1,1,4,0,4,0,,,,1,0,0,,7,7,1,7,,3,0,0,4,,78,12,40,18,14,26,,,20,30,18,14,,,,,2,2,2,1,,1,,0,65,9,9,9,7
File,"clustering_1_2_0/src/plugins/clustering/src/java/com/jivesoftware/openfire/session/RemoteOutgoingServerSession.java",clustering_1_2_0/src/plugins/clustering/src/java/com/jivesoftware/openfire/session/RemoteOutgoingServerSession.java,1,1,1,1,3,0,3,0,,,,4,0,0,,25,25,5,25,,3,0,3,19,,173,33,117,48,44,23,,,57,87,48,43,,,,,3,3,3,1,,1,,0,20,27,27,27,25
File,"clustering_1_2_0/src/plugins/clustering/src/java/com/jivesoftware/openfire/session/RemoteSession.java",clustering_1_2_0/src/plugins/clustering/src/java/com/jivesoftware/openfire/session/RemoteSession.java,1,1,1,1,5,0,4,1,,,,2,0,0,,26,26,8,26,,3,0,2,21,,207,31,121,57,46,55,,,61,91,57,46,,,,,2,2,2,1,,1,,0,45,28,28,28,23
File,"clustering_1_2_0/src/plugins/clustering/src/java/com/jivesoftware/openfire/session/RemoteSessionLocator.java",clustering_1_2_0/src/plugins/clustering/src/java/com/jivesoftware/openfire/session/RemoteSessionLocator.java,1,1,1,1,3,0,3,0,,,,1,0,0,,5,5,0,5,,0,0,0,5,,53,9,20,9,5,24,,,8,14,9,5,,,,,1,1,1,1,,0,,1,20,5,5,5,5
