Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"java/org/dom4j/io/XMPPPacketReader.java",java/org/dom4j/io/XMPPPacketReader.java,2,2,2,1,14,0,9,5,,,,1,0,0,,23,23,5,23,,0,0,3,20,,471,38,235,62,129,198,,,105,151,64,103,,,,,27,20,29,11,,4,,0,84,56,49,58,33
File,"java/org/jivesoftware/admin/AdminConsole.java",java/org/jivesoftware/admin/AdminConsole.java,3,3,3,1,19,0,14,6,,,,1,15,3,,16,1,0,16,,0,7,0,9,,381,24,251,77,153,122,,,117,169,74,133,,,,,11,11,11,1,,6,,0,49,53,53,53,16
File,"java/org/jivesoftware/admin/AdminPageBean.java",java/org/jivesoftware/admin/AdminPageBean.java,1,1,1,1,7,0,4,2,,,,2,0,0,,14,14,8,14,,0,0,0,14,,151,20,74,28,24,57,,,30,50,28,22,,,,,2,2,2,1,,1,,0,77,18,18,18,14
File,"java/org/jivesoftware/admin/AuthCheckFilter.java",java/org/jivesoftware/admin/AuthCheckFilter.java,2,2,2,1,14,0,11,2,,,,1,2,1,,6,4,2,6,,0,1,0,5,,128,12,87,36,44,29,,,44,62,34,37,,,,,6,6,6,5,,2,,0,33,17,17,17,10
File,"java/org/jivesoftware/admin/SidebarTag.java",java/org/jivesoftware/admin/SidebarTag.java,3,3,3,1,18,0,12,5,,,,1,1,0,,12,11,4,12,,0,2,0,10,,303,28,171,64,105,105,,,96,131,65,99,,,,,24,24,27,3,,9,,0,61,38,38,42,14
File,"java/org/jivesoftware/admin/SubSidebarTag.java",java/org/jivesoftware/admin/SubSidebarTag.java,1,1,1,1,10,0,4,5,,,,1,0,0,,4,4,2,4,,0,0,0,4,,80,9,25,10,9,46,,,13,19,10,9,,,,,2,2,2,1,,1,,1,84,5,5,5,4
File,"java/org/jivesoftware/admin/TabsTag.java",java/org/jivesoftware/admin/TabsTag.java,1,1,2,1,12,0,7,4,,,,1,0,0,,10,10,3,10,,0,2,0,8,,189,16,91,35,47,84,,,51,70,36,43,,,,,7,7,7,3,,3,,0,92,19,19,20,12
File,"java/org/jivesoftware/database/AbstractConnection.java",java/org/jivesoftware/database/AbstractConnection.java,1,1,1,1,3,0,3,0,,,,1,0,0,,37,37,1,37,,0,0,0,37,,186,41,129,51,40,16,,,41,79,42,37,,,,,1,1,1,1,,0,,0,12,37,37,37,37
File,"java/org/jivesoftware/database/CallableStatementWrapper.java",java/org/jivesoftware/database/CallableStatementWrapper.java,1,1,1,1,3,0,3,0,,,,1,0,0,,117,117,1,117,,0,0,0,117,,512,121,375,139,118,16,,,127,245,127,118,,,,,1,1,1,1,,0,,0,04,117,117,117,117
File,"java/org/jivesoftware/database/ConnectionPool.java",java/org/jivesoftware/database/ConnectionPool.java,8,8,8,3,53,6,40,7,,,,1,0,0,,8,8,16,8,,0,2,0,6,,486,69,346,48,221,78,,,161,238,53,193,,,,,21,21,24,9,,6,,0,23,65,65,68,29
File,"java/org/jivesoftware/database/ConnectionProvider.java",java/org/jivesoftware/database/ConnectionProvider.java,0,0,0,0,0,0,0,0,,,,1,0,0,,5,5,0,5,,0,0,0,5,,72,8,10,9,0,54,,,8,9,9,0,,,,,0,0,0,0,,0,,5,40,0,0,0,0
File,"java/org/jivesoftware/database/ConnectionWrapper.java",java/org/jivesoftware/database/ConnectionWrapper.java,1,1,1,1,7,0,5,1,,,,1,0,0,,5,5,7,5,,0,0,0,5,,78,13,42,18,17,23,,,24,32,18,14,,,,,2,2,2,1,,1,,0,55,6,6,6,5
File,"java/org/jivesoftware/database/DbConnectionManager.java",java/org/jivesoftware/database/DbConnectionManager.java,3,3,3,1,23,0,15,7,,,,2,28,14,,29,3,8,31,,0,3,0,28,,858,58,513,98,300,289,,,205,315,89,239,,,,,20,20,22,10,,5,,0,56,104,104,113,41
File,"java/org/jivesoftware/database/DefaultConnectionProvider.java",java/org/jivesoftware/database/DefaultConnectionProvider.java,1,1,1,1,10,0,5,4,,,,1,0,0,,24,24,10,24,,0,2,0,22,,320,37,156,44,81,127,,,71,107,44,67,,,,,5,5,5,3,,2,,0,81,33,33,33,26
File,"java/org/jivesoftware/database/DefaultConnectionProviderBeanInfo.java",java/org/jivesoftware/database/DefaultConnectionProviderBeanInfo.java,1,1,1,1,3,0,3,0,,,,1,0,1,,4,4,0,4,,0,0,0,4,,48,8,25,15,11,15,,,7,12,8,4,,,,,1,1,1,1,,0,,0,60,4,4,4,4
File,"java/org/jivesoftware/database/EmbeddedConnectionProvider.java",java/org/jivesoftware/database/EmbeddedConnectionProvider.java,3,3,3,2,18,0,16,1,,,,1,0,0,,7,7,2,7,,0,1,0,6,,176,14,132,39,83,30,,,64,94,37,64,,,,,11,11,11,6,,4,,0,23,27,27,27,14
File,"java/org/jivesoftware/database/JNDIDataSourceProvider.java",java/org/jivesoftware/database/JNDIDataSourceProvider.java,2,2,2,1,9,0,8,0,,,,1,0,1,,6,6,2,6,,0,0,0,6,,122,13,81,37,43,28,,,31,46,23,25,,,,,6,6,7,3,,3,,0,35,13,13,14,8
File,"java/org/jivesoftware/database/JiveID.java",java/org/jivesoftware/database/JiveID.java,0,0,0,0,0,0,0,0,,,,1,0,0,,1,1,0,1,,1,0,0,0,,21,3,10,9,0,8,,,6,7,7,0,,,,,0,0,0,0,,0,,0,80,0,0,0,0
File,"java/org/jivesoftware/database/PreparedStatementWrapper.java",java/org/jivesoftware/database/PreparedStatementWrapper.java,1,1,1,1,3,0,3,0,,,,1,0,0,,38,38,1,38,,0,0,0,38,,187,42,129,51,39,16,,,47,86,47,39,,,,,1,1,1,1,,0,,0,12,38,38,38,38
File,"java/org/jivesoftware/database/ProfiledConnection.java",java/org/jivesoftware/database/ProfiledConnection.java,4,3,5,1,23,1,19,2,,,,4,13,24,,41,28,5,41,,0,4,0,37,,1123,133,826,166,594,164,,,433,564,167,472,,,,,37,23,56,1,,3,,0,20,183,127,208,41
File,"java/org/jivesoftware/database/ProfiledConnectionEntry.java",java/org/jivesoftware/database/ProfiledConnectionEntry.java,1,1,1,1,5,0,5,0,,,,1,0,0,,1,1,3,1,,0,0,0,1,,40,5,11,6,3,24,,,7,9,6,3,,,,,1,1,1,1,,0,,2,18,1,1,1,1
File,"java/org/jivesoftware/database/SequenceManager.java",java/org/jivesoftware/database/SequenceManager.java,2,2,2,1,27,1,16,9,,,,1,3,4,,7,4,4,7,,0,2,0,5,,269,28,142,40,87,99,,,77,98,36,66,,,,,9,9,9,1,,2,,0,70,19,19,19,7
File,"java/org/jivesoftware/database/StatementWrapper.java",java/org/jivesoftware/database/StatementWrapper.java,1,1,1,1,3,0,3,0,,,,1,0,0,,38,38,1,38,,0,0,0,38,,182,42,119,42,38,21,,,41,80,42,38,,,,,1,1,1,1,,0,,0,18,38,38,38,38
File,"java/org/jivesoftware/util/AlreadyExistsException.java",java/org/jivesoftware/util/AlreadyExistsException.java,1,1,1,1,2,0,2,0,,,,1,0,0,,2,2,0,2,,0,0,0,2,,30,4,8,4,1,18,,,2,5,4,1,,,,,1,1,1,1,,0,,2,25,2,2,2,2
File,"java/org/jivesoftware/util/ByteFormat.java",java/org/jivesoftware/util/ByteFormat.java,1,1,1,1,11,0,5,5,,,,1,0,0,,4,4,0,4,,0,0,0,4,,74,7,30,13,12,37,,,14,21,13,11,,,,,3,3,3,1,,2,,1,23,6,6,6,4
File,"java/org/jivesoftware/util/Cache.java",java/org/jivesoftware/util/Cache.java,1,1,1,1,13,0,7,5,,,,3,0,0,,29,29,15,29,,0,1,2,26,,570,72,235,71,135,263,,,134,184,74,127,,,,,7,7,7,6,,2,,1,12,48,48,49,38
File,"java/org/jivesoftware/util/CacheManager.java",java/org/jivesoftware/util/CacheManager.java,1,1,1,1,14,0,5,9,,,,1,2,2,,2,0,0,2,,0,0,0,2,,56,5,16,9,7,35,,,8,12,9,6,,,,,2,2,2,1,,1,,2,19,3,3,3,2
File,"java/org/jivesoftware/util/CacheSizes.java",java/org/jivesoftware/util/CacheSizes.java,1,1,1,1,12,0,6,6,,,,1,10,0,,10,0,0,10,,0,0,0,10,,158,13,67,20,33,78,,,33,52,23,32,,,,,5,5,5,1,,2,,1,16,18,18,18,10
File,"java/org/jivesoftware/util/Cacheable.java",java/org/jivesoftware/util/Cacheable.java,0,0,0,0,0,0,0,0,,,,1,0,0,,1,1,0,1,,0,0,0,1,,37,3,4,3,0,30,,,2,3,3,0,,,,,0,0,0,0,,0,,7,50,0,0,0,0
