Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"java/org/dom4j/io/XPPPacketReader.java",java/org/dom4j/io/XPPPacketReader.java,2,2,2,1,13,0,8,4,,,,1,0,0,,22,22,4,22,,0,0,3,19,,436,36,215,58,118,185,,,99,143,60,98,,,,,27,20,27,11,,4,,0,86,53,46,53,32
File,"java/org/jivesoftware/admin/AdminConsole.java",java/org/jivesoftware/admin/AdminConsole.java,3,3,3,1,18,0,13,6,,,,1,16,3,,17,1,0,17,,0,8,0,9,,382,25,251,76,152,122,,,117,169,74,132,,,,,11,11,11,1,,6,,0,49,53,53,53,17
File,"java/org/jivesoftware/admin/AdminPageBean.java",java/org/jivesoftware/admin/AdminPageBean.java,1,1,1,1,7,0,4,2,,,,2,0,0,,14,14,8,14,,0,0,0,14,,151,20,74,28,24,57,,,30,50,28,22,,,,,2,2,2,1,,1,,0,77,18,18,18,14
File,"java/org/jivesoftware/admin/AuthCheckFilter.java",java/org/jivesoftware/admin/AuthCheckFilter.java,4,4,4,2,17,0,16,0,,,,1,0,0,,4,4,3,4,,0,1,0,3,,108,9,83,34,44,16,,,44,61,33,38,,,,,6,6,6,5,,2,,0,19,16,16,16,8
File,"java/org/jivesoftware/admin/SidebarTag.java",java/org/jivesoftware/admin/SidebarTag.java,2,2,3,1,17,0,11,5,,,,1,0,0,,13,13,5,13,,0,1,0,12,,313,30,172,67,104,112,,,97,132,68,98,,,,,25,25,28,1,,10,,0,65,38,38,41,13
File,"java/org/jivesoftware/admin/SubSidebarTag.java",java/org/jivesoftware/admin/SubSidebarTag.java,1,1,1,1,10,0,4,5,,,,1,0,0,,4,4,2,4,,0,0,0,4,,80,9,25,10,9,46,,,13,19,10,9,,,,,2,2,2,1,,1,,1,84,5,5,5,4
File,"java/org/jivesoftware/admin/TabsTag.java",java/org/jivesoftware/admin/TabsTag.java,1,1,1,1,12,0,7,5,,,,1,0,0,,9,9,3,9,,0,1,0,8,,182,15,86,35,45,83,,,50,67,36,40,,,,,8,8,8,1,,3,,0,97,17,17,17,9
File,"java/org/jivesoftware/database/AbstractConnection.java",java/org/jivesoftware/database/AbstractConnection.java,1,1,1,1,3,0,3,0,,,,1,0,0,,37,37,1,37,,0,0,0,37,,186,41,129,51,40,16,,,41,79,42,37,,,,,1,1,1,1,,0,,0,12,37,37,37,37
File,"java/org/jivesoftware/database/CallableStatementWrapper.java",java/org/jivesoftware/database/CallableStatementWrapper.java,1,1,1,1,3,0,3,0,,,,1,0,0,,117,117,1,117,,0,0,0,117,,512,121,375,139,118,16,,,127,245,127,118,,,,,1,1,1,1,,0,,0,04,117,117,117,117
File,"java/org/jivesoftware/database/ConnectionPool.java",java/org/jivesoftware/database/ConnectionPool.java,7,7,7,3,50,6,37,7,,,,1,0,0,,8,8,16,8,,0,2,0,6,,459,63,328,48,208,74,,,155,227,53,183,,,,,18,18,20,9,,5,,0,23,60,60,62,29
File,"java/org/jivesoftware/database/ConnectionProvider.java",java/org/jivesoftware/database/ConnectionProvider.java,0,0,0,0,0,0,0,0,,,,1,0,0,,5,5,0,5,,0,0,0,5,,72,8,10,9,0,54,,,8,9,9,0,,,,,0,0,0,0,,0,,5,40,0,0,0,0
File,"java/org/jivesoftware/database/ConnectionWrapper.java",java/org/jivesoftware/database/ConnectionWrapper.java,1,1,1,1,7,0,5,1,,,,1,0,0,,5,5,7,5,,0,0,0,5,,78,13,42,18,17,23,,,24,32,18,14,,,,,2,2,2,1,,1,,0,55,6,6,6,5
File,"java/org/jivesoftware/database/DbConnectionManager.java",java/org/jivesoftware/database/DbConnectionManager.java,3,3,3,1,21,0,14,6,,,,2,25,14,,26,3,8,28,,0,3,0,25,,714,54,429,84,255,233,,,176,272,74,210,,,,,19,19,20,9,,5,,0,54,92,92,100,39
File,"java/org/jivesoftware/database/DefaultConnectionProvider.java",java/org/jivesoftware/database/DefaultConnectionProvider.java,1,1,1,1,10,0,5,4,,,,1,0,0,,24,24,10,24,,0,2,0,22,,320,37,156,44,81,127,,,71,107,44,67,,,,,5,5,5,3,,2,,0,81,33,33,33,26
File,"java/org/jivesoftware/database/DefaultConnectionProviderBeanInfo.java",java/org/jivesoftware/database/DefaultConnectionProviderBeanInfo.java,1,1,1,1,3,0,3,0,,,,1,0,1,,4,4,0,4,,0,0,0,4,,48,8,25,15,11,15,,,7,12,8,4,,,,,1,1,1,1,,0,,0,60,4,4,4,4
File,"java/org/jivesoftware/database/EmbeddedConnectionProvider.java",java/org/jivesoftware/database/EmbeddedConnectionProvider.java,3,3,3,2,18,0,16,1,,,,1,0,0,,7,7,2,7,,0,1,0,6,,174,14,130,37,83,30,,,62,92,35,64,,,,,11,11,11,6,,4,,0,23,27,27,27,14
