Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"(Unnamed_Package)",.mvn/wrapper/MavenWrapperDownloader.java,3,3,4,1,23,0,22,1,,,,2,2,5,1,,1,0,3,,0,1,1,1,,117,10,76,26,54,32,,,42,54,24,38,,,,,8,8,8,1,,3,,0,42,11,11,12,3
File,".mvn/wrapper/MavenWrapperDownloader.java",.mvn/wrapper/MavenWrapperDownloader.java,3,3,4,1,23,0,22,1,,,,2,2,5,,3,1,0,3,,0,1,1,1,,117,10,76,26,54,32,,,42,54,24,38,,,,,8,8,8,1,,3,,0,42,11,11,12,3
Public Class,"MavenWrapperDownloader",.mvn/wrapper/MavenWrapperDownloader.java,5,5,5,1,33,1,31,1,1,17,0,,2,5,,,0,0,2,14,0,1,0,1,,97,9,72,22,54,17,,,38,50,20,38,,,,,8,8,8,1,1,3,0,0,24,10,10,11,2
Private Static Method,"MavenWrapperDownloader.downloadFileFromURL(String,File)",.mvn/wrapper/MavenWrapperDownloader.java,,,,,,,,,,,,,,,,,,,,,,,,,4,19,0,19,6,14,0,11,2,11,14,7,11,2,2,3,1,,,,,,0,,0,00,2,2,3,1
Anonymous Class,"MavenWrapperDownloader.downloadFileFromURL.(Anon_1)",.mvn/wrapper/MavenWrapperDownloader.java,1,1,1,1,4,0,4,0,1,3,0,,0,0,,,1,0,1,31,0,0,1,0,,5,0,5,0,4,0,,,1,2,1,1,,,,,1,1,1,1,1,0,0,0,00,1,1,1,1
Protected Method,"MavenWrapperDownloader.downloadFileFromURL.(Anon_1).getPasswordAuthentication()",.mvn/wrapper/MavenWrapperDownloader.java,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,0,3,0,2,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Static Method,"MavenWrapperDownloader.main(String[])",.mvn/wrapper/MavenWrapperDownloader.java,,,,,,,,,,,,,,,,,,,,,,,,,7,48,2,43,7,34,3,16,42,22,30,7,27,8,8,8,1,,,,,,3,,0,07,8,8,8,1
Public Implicit Method,"clone()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,00,0,0,0,0
Package,"dom",,0,0,0,0,0,0,0,0,,,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,,0,,0,00,0,0,0,0
Package,"dom.io",xmppserver/src/test/java/dom/io/XMPPPacketReaderTest.java,1,1,1,1,20,1,10,9,,,,1,0,0,1,,6,1,6,,0,0,0,6,,164,19,74,36,37,75,,,29,36,27,15,,,,,1,1,1,1,,0,,1,01,6,6,6,6
Public Class,"dom.io.XMPPPacketReaderTest",xmppserver/src/test/java/dom/io/XMPPPacketReaderTest.java,1,1,1,1,20,1,10,9,1,8,0,,0,0,,,6,1,6,18,0,0,0,6,,137,15,67,29,37,59,,,22,29,20,15,,,,,1,1,1,1,1,0,0,0,88,6,6,6,6
Public Method,"dom.io.XMPPPacketReaderTest.setup()",xmppserver/src/test/java/dom/io/XMPPPacketReaderTest.java,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,5,2,1,0,2,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Method,"dom.io.XMPPPacketReaderTest.testAvoidStrippingInternalContentNamespace()",xmppserver/src/test/java/dom/io/XMPPPacketReaderTest.java,,,,,,,,,,,,,,,,,,,,,,,,,1,29,2,15,5,10,13,8,1,4,5,3,3,1,1,1,1,,,,,,0,,0,87,1,1,1,1
Public Method,"dom.io.XMPPPacketReaderTest.testAvoidStrippingPrefixFreeCanonicalization()",xmppserver/src/test/java/dom/io/XMPPPacketReaderTest.java,,,,,,,,,,,,,,,,,,,,,,,,,1,29,2,15,5,10,13,8,1,4,5,3,3,1,1,1,1,,,,,,0,,0,87,1,1,1,1
Public Method,"dom.io.XMPPPacketReaderTest.testStripContentNamespace()",xmppserver/src/test/java/dom/io/XMPPPacketReaderTest.java,,,,,,,,,,,,,,,,,,,,,,,,,1,20,2,7,4,3,12,5,1,3,4,3,2,1,1,1,1,,,,,,0,,1,71,1,1,1,1
Public Method,"dom.io.XMPPPacketReaderTest.testStripNamespacesForWebsocket()",xmppserver/src/test/java/dom/io/XMPPPacketReaderTest.java,,,,,,,,,,,,,,,,,,,,,,,,,1,19,1,14,7,10,4,8,1,6,7,5,4,1,1,1,1,,,,,,0,,0,29,1,1,1,1
