Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Public Implicit Method,"clone()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,00,0,0,0,0
Package,"com",,0,0,0,0,0,0,0,0,,,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,,0,,0,00,0,0,0,0
Package,"com.jivesoftware",,0,0,0,0,0,0,0,0,,,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,,0,,0,00,0,0,0,0
Package,"com.jivesoftware.openfire",plugins/clustering/src/java/com/jivesoftware/openfire/ClusteringPlugin.java,2,2,2,1,16,0,10,4,,,,4,0,4,2,,7,0,7,,0,0,0,7,,204,23,99,49,48,82,,,57,74,46,39,,,,,6,6,6,1,,1,,0,83,15,15,17,7
Public Class,"com.jivesoftware.openfire.ClusteringPlugin",plugins/clustering/src/java/com/jivesoftware/openfire/ClusteringPlugin.java,4,4,4,1,36,2,20,13,2,14,0,,0,2,,,2,0,2,14,0,0,0,2,,102,7,45,13,31,50,,,21,31,12,25,,,,,6,6,6,1,1,1,0,1,11,8,8,8,2
Public Method,"com.jivesoftware.openfire.ClusteringPlugin.destroyPlugin()",plugins/clustering/src/java/com/jivesoftware/openfire/ClusteringPlugin.java,,,,,,,,,,,,,,,,,,,,,,,,,0,6,0,5,1,2,1,3,2,1,3,1,2,2,2,2,1,,,,,,1,,0,20,2,2,2,1
Public Method,"com.jivesoftware.openfire.ClusteringPlugin.initializePlugin(PluginManager,File)",plugins/clustering/src/java/com/jivesoftware/openfire/ClusteringPlugin.java,,,,,,,,,,,,,,,,,,,,,,,,,8,66,5,36,9,27,25,18,32,18,25,8,23,6,6,6,1,,,,,,1,,0,69,6,6,6,1
Anonymous Class,"com.jivesoftware.openfire.ClusteringPlugin.initializePlugin.(Anon_1)",plugins/clustering/src/java/com/jivesoftware/openfire/ClusteringPlugin.java,1,1,2,1,4,0,4,0,2,2,0,,0,0,,,1,0,1,13,0,0,0,1,,5,0,5,2,4,0,,,2,3,2,2,,,,,1,1,2,1,1,0,0,0,00,1,1,2,1
Public Method,"com.jivesoftware.openfire.ClusteringPlugin.initializePlugin.(Anon_1).accept(File)",plugins/clustering/src/java/com/jivesoftware/openfire/ClusteringPlugin.java,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,3,0,4,1,2,3,2,2,1,1,2,1,,,,,,0,,0,00,1,1,2,1
Public Class,"com.jivesoftware.openfire.HazelcastPlugin",plugins/hazelcast/src/java/com/jivesoftware/openfire/HazelcastPlugin.java,1,1,1,1,10,0,8,1,2,13,0,,0,2,,,3,0,3,19,0,0,0,3,,69,7,30,12,17,32,,,12,19,10,14,,,,,2,2,2,1,1,1,66,1,07,5,5,5,3
Public Method,"com.jivesoftware.openfire.HazelcastPlugin.destroyPlugin()",plugins/hazelcast/src/java/com/jivesoftware/openfire/HazelcastPlugin.java,,,,,,,,,,,,,,,,,,,,,,,,,0,6,0,5,1,2,1,3,2,1,3,1,2,2,2,2,1,,,,,,1,,0,20,2,2,2,1
Public Method,"com.jivesoftware.openfire.HazelcastPlugin.initializePlugin(PluginManager,File)",plugins/hazelcast/src/java/com/jivesoftware/openfire/HazelcastPlugin.java,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,3,1,1,2,2,1,1,2,1,1,1,1,1,1,,,,,,0,,0,67,1,1,1,1
Public Method,"com.jivesoftware.openfire.HazelcastPlugin.run()",plugins/hazelcast/src/java/com/jivesoftware/openfire/HazelcastPlugin.java,,,,,,,,,,,,,,,,,,,,,,,,,3,20,1,17,6,12,2,7,2,8,11,5,9,2,2,2,1,,,,,,1,,0,12,2,2,2,1
Anonymous Class,"com.jivesoftware.openfire.HazelcastPlugin.run.(Anon_1)",plugins/hazelcast/src/java/com/jivesoftware/openfire/HazelcastPlugin.java,1,1,2,1,5,0,5,0,2,2,0,,0,0,,,1,0,1,13,0,0,0,1,,6,0,6,2,5,0,,,2,3,2,2,,,,,1,1,2,1,1,0,0,0,00,1,1,2,1
Public Method,"com.jivesoftware.openfire.HazelcastPlugin.run.(Anon_1).accept(File)",plugins/hazelcast/src/java/com/jivesoftware/openfire/HazelcastPlugin.java,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,5,1,4,0,4,1,2,3,2,2,1,1,2,1,,,,,,0,,0,00,1,1,2,1
Package,"com.jivesoftware.openfire.session",plugins/clustering/src/java/com/jivesoftware/openfire/session/ClientSessionTask.java,1,1,1,1,5,0,5,0,,,,62,0,1,30,,398,161,398,,52,0,40,306,,4004,554,2616,1022,1080,836,,,1214,1852,942,1025,,,,,17,17,17,6,,2,,0,32,591,583,602,404
Public Class,"com.jivesoftware.openfire.session.ClientSessionTask",plugins/clustering/src/java/com/jivesoftware/openfire/session/ClientSessionTask.java,1,1,1,1,7,0,6,0,1,20,6,,0,0,,,7,1,7,26,1,0,1,5,,89,9,51,13,27,29,,,20,33,13,24,,,,,6,6,6,1,2,2,14,0,57,12,12,12,7
Public Class,"com.jivesoftware.openfire.session.ClientSessionTask",plugins/hazelcast/src/java/com/jivesoftware/openfire/session/ClientSessionTask.java,2,2,2,1,8,0,7,0,1,22,6,,0,1,,,7,2,7,26,1,0,1,5,,100,11,60,15,33,29,,,25,40,15,30,,,,,7,7,8,1,2,2,61,0,48,14,14,15,7
Public Constructor,"com.jivesoftware.openfire.session.ClientSessionTask.ClientSessionTask()",plugins/clustering/src/java/com/jivesoftware/openfire/session/ClientSessionTask.java,,,,,,,,,,,,,,,,,,,,,,,,,6,3,0,3,1,1,0,2,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Constructor,"com.jivesoftware.openfire.session.ClientSessionTask.ClientSessionTask()",plugins/hazelcast/src/java/com/jivesoftware/openfire/session/ClientSessionTask.java,,,,,,,,,,,,,,,,,,,,,,,,,6,3,0,3,1,1,0,2,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Protected Constructor,"com.jivesoftware.openfire.session.ClientSessionTask.ClientSessionTask(JID,Operation)",plugins/clustering/src/java/com/jivesoftware/openfire/session/ClientSessionTask.java,,,,,,,,,,,,,,,,,,,,,,,,,10,4,0,4,1,2,0,3,1,2,3,1,2,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Protected Constructor,"com.jivesoftware.openfire.session.ClientSessionTask.ClientSessionTask(JID,Operation)",plugins/hazelcast/src/java/com/jivesoftware/openfire/session/ClientSessionTask.java,,,,,,,,,,,,,,,,,,,,,,,,,10,4,0,4,1,2,0,3,1,2,3,1,2,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Method,"com.jivesoftware.openfire.session.ClientSessionTask.getSession()",plugins/clustering/src/java/com/jivesoftware/openfire/session/ClientSessionTask.java,,,,,,,,,,,,,,,,,,,,,,,,,8,3,0,3,1,1,0,4,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
