Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"database/AbstractConnection.java",database/AbstractConnection.java,1,1,1,1,3,0,3,0,,,,1,0,0,,55,55,1,55,,0,0,0,55,,252,59,177,66,55,16,,,61,117,62,55,,,,,1,1,1,1,,0,,0,09,55,55,55,55
File,"database/CallableStatementWrapper.java",database/CallableStatementWrapper.java,1,1,1,1,3,0,3,0,,,,1,0,0,,211,211,1,211,,0,0,0,211,,879,215,648,224,212,16,,,221,433,221,212,,,,,1,1,1,1,,0,,0,02,211,211,211,211
File,"database/PreparedStatementWrapper.java",database/PreparedStatementWrapper.java,1,1,1,1,3,0,3,0,,,,1,0,0,,56,56,1,56,,0,0,0,56,,259,60,183,69,57,16,,,65,122,65,57,,,,,1,1,1,1,,0,,0,09,56,56,56,56
File,"database/ProfiledConnection.java",database/ProfiledConnection.java,4,2,4,0,22,1,18,2,,,,5,13,20,,41,30,9,43,,0,4,0,39,,1129,134,828,170,586,167,,,426,557,162,469,,,,,37,23,56,1,,3,,0,20,182,126,207,41
File,"database/ProfiledConnectionEntry.java",database/ProfiledConnectionEntry.java,1,1,1,1,5,0,5,0,,,,1,0,0,,1,1,3,1,,0,0,0,1,,40,5,11,6,3,24,,,7,9,6,3,,,,,1,1,1,1,,0,,2,18,1,1,1,1
File,"database/StatementWrapper.java",database/StatementWrapper.java,1,1,1,1,3,0,3,0,,,,1,0,0,,45,45,1,45,,0,0,0,45,,211,49,141,50,45,21,,,48,94,49,45,,,,,1,1,1,1,,0,,0,15,45,45,45,45
Package,"org",,0,0,0,0,0,0,0,0,,,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,,0,,0,00,0,0,0,0
Package,"org.jivesoftware",,0,0,0,0,0,0,0,0,,,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,,0,,0,00,0,0,0,0
Package,"org.jivesoftware.database",database/AbstractConnection.java,1,1,1,0,5,0,4,0,,,,10,13,20,6,,398,16,411,,0,4,0,407,,2770,522,1988,585,958,260,,,828,1332,565,841,,,,,37,23,56,1,,3,,0,13,550,494,575,409
Public Abstract Class,"org.jivesoftware.database.AbstractConnection",database/AbstractConnection.java,1,1,1,1,3,0,3,0,2,19,1,,0,0,,,55,1,55,67,0,0,0,55,,244,56,172,61,55,16,,,56,112,57,55,,,,,1,1,1,1,1,0,0,0,09,55,55,55,55
