Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"(Unnamed_Package)",examples/helloify.java,3,3,3,1,23,3,18,3,,,,11,19,6,11,,33,26,52,,5,10,0,37,,1599,219,1052,340,748,384,,,657,856,352,639,,,,,18,18,18,6,,5,,0,37,191,191,202,76
Public Class,"HelloWorldBuilder",examples/HelloWorldBuilder.java,2,2,2,1,137,19,90,39,1,22,0,,1,0,,,0,0,1,13,0,0,0,1,,165,19,92,23,85,65,,,51,54,17,52,,,,,2,2,2,1,1,1,0,0,71,2,2,2,1
Public Static Method,"HelloWorldBuilder.main(String[])",examples/HelloWorldBuilder.java,,,,,,,,,,,,,,,,,,,,,,,,,17,137,19,90,22,85,39,31,2,51,53,16,52,2,2,2,1,,,,,,1,,0,43,2,2,2,1
Public Class,"JasminVisitor",examples/JasminVisitor.java,3,3,3,1,17,2,13,1,1,42,0,,1,0,,,13,6,14,59,0,3,0,11,,276,55,201,61,149,29,,,136,180,73,136,,,,,18,18,18,3,2,5,73,0,14,44,44,46,16
Public Constructor,"JasminVisitor.JasminVisitor(JavaClass,OutputStream)",examples/JasminVisitor.java,,,,,,,,,,,,,,,,,,,,,,,,,3,6,0,6,1,4,0,9,1,4,5,1,4,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Method,"JasminVisitor.disassemble()",examples/JasminVisitor.java,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,4,1,2,3,2,1,2,3,1,2,1,1,1,1,,,,,,0,,0,75,1,1,1,1
Private Final Method,"JasminVisitor.get(InstructionHandle)",examples/JasminVisitor.java,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,4,2,2,0,6,1,2,3,2,2,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Static Method,"JasminVisitor.main(String[])",examples/JasminVisitor.java,,,,,,,,,,,,,,,,,,,,,,,,,6,32,4,28,9,21,0,16,7,17,23,10,18,6,6,6,1,,,,,,4,,0,00,6,6,6,1
Private Final Method,"JasminVisitor.printEndMethod(Attribute)",examples/JasminVisitor.java,,,,,,,,,,,,,,,,,,,,,,,,,8,11,1,5,2,3,5,2,2,2,4,2,3,2,2,2,1,,,,,,1,,1,00,2,2,2,1
Private Final Method,"JasminVisitor.put(InstructionHandle,String)",examples/JasminVisitor.java,,,,,,,,,,,,,,,,,,,,,,,,,4,12,2,10,2,7,2,4,3,4,7,2,6,3,3,4,3,,,,,,2,,0,20,3,3,4,3
