Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"(Unnamed_Package)",examples/ClassDumper.java,3,3,3,1,22,2,16,4,,,,14,20,6,13,,46,38,66,,6,20,0,40,,2227,302,1322,486,776,660,,,827,1096,517,712,,,,,18,18,18,6,,5,,0,50,224,224,236,90
Class,"ClassDumper",examples/ClassDumper.java,2,2,2,1,23,1,13,8,1,15,0,,0,0,,,12,13,12,24,0,10,0,2,,316,32,182,44,118,110,,,121,157,51,117,,,,,5,5,6,1,1,2,80,0,60,33,33,35,12
Public Constructor,"ClassDumper.ClassDumper(FileImageInputStream,String)",examples/ClassDumper.java,,,,,,,,,,,,,,,,,,,,,,,,,3,10,0,4,1,2,6,3,1,2,3,1,2,1,1,1,1,,,,,,0,,1,50,1,1,1,1
Private Final Method,"ClassDumper.constantToString(int)",examples/ClassDumper.java,,,,,,,,,,,,,,,,,,,,,,,,,5,4,0,4,2,2,0,2,1,2,3,2,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Method,"ClassDumper.dump()",examples/ClassDumper.java,,,,,,,,,,,,,,,,,,,,,,,,,2,37,0,19,1,14,18,9,3,9,13,1,12,3,3,3,1,,,,,,2,,0,95,3,3,3,1
Private Final Method,"ClassDumper.processAttributes()",examples/ClassDumper.java,,,,,,,,,,,,,,,,,,,,,,,,,5,22,2,13,3,8,7,7,3,9,13,5,9,3,3,3,1,,,,,,2,,0,54,3,3,3,1
Private Final Method,"ClassDumper.processClassInfo()",examples/ClassDumper.java,,,,,,,,,,,,,,,,,,,,,,,,,11,31,2,20,1,15,9,9,8,12,16,1,15,4,4,5,1,,,,,,1,,0,45,4,4,5,1
Private Final Method,"ClassDumper.processConstantPool()",examples/ClassDumper.java,,,,,,,,,,,,,,,,,,,,,,,,,6,34,3,22,3,16,9,8,7,14,19,4,16,5,5,6,1,,,,,,2,,0,41,5,5,6,1
Private Final Method,"ClassDumper.processFieldOrMethod()",examples/ClassDumper.java,,,,,,,,,,,,,,,,,,,,,,,,,6,49,4,28,10,24,17,11,3,23,26,11,23,3,3,3,1,,,,,,2,,0,61,3,3,3,1
Private Final Method,"ClassDumper.processFields()",examples/ClassDumper.java,,,,,,,,,,,,,,,,,,,,,,,,,3,21,2,12,2,7,7,5,3,8,11,3,8,3,3,3,1,,,,,,2,,0,58,3,3,3,1
