Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"(Unnamed_Package)",examples/ClassDumper.java,3,3,3,1,22,2,16,4,,,,14,20,6,13,,46,38,66,,6,20,0,40,,2268,297,1372,501,826,656,,,838,1098,521,714,,,,,18,18,18,6,,5,,0,48,222,222,234,90
Class,"ClassDumper",examples/ClassDumper.java,2,2,2,1,23,1,14,7,1,15,0,,0,0,,,12,13,12,24,0,10,0,2,,312,32,183,43,121,105,,,119,152,49,113,,,,,5,5,6,1,1,2,80,0,57,31,31,33,12
Public Constructor,"ClassDumper.ClassDumper(FileImageInputStream,String)",examples/ClassDumper.java,,,,,,,,,,,,,,,,,,,,,,,,,3,10,0,4,1,2,6,3,1,2,3,1,2,1,1,1,1,,,,,,0,,1,50,1,1,1,1
Private Final Method,"ClassDumper.constantToString(int)",examples/ClassDumper.java,,,,,,,,,,,,,,,,,,,,,,,,,5,4,0,4,2,2,0,2,1,2,3,2,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Method,"ClassDumper.dump()",examples/ClassDumper.java,,,,,,,,,,,,,,,,,,,,,,,,,2,39,0,19,1,14,20,9,3,9,13,1,12,3,3,3,1,,,,,,2,,1,05,3,3,3,1
Private Final Method,"ClassDumper.processAttributes()",examples/ClassDumper.java,,,,,,,,,,,,,,,,,,,,,,,,,5,17,2,10,2,6,5,4,2,8,10,3,7,2,2,2,1,,,,,,1,,0,50,2,2,2,1
Private Final Method,"ClassDumper.processClassInfo()",examples/ClassDumper.java,,,,,,,,,,,,,,,,,,,,,,,,,11,30,2,20,1,16,8,9,4,11,14,1,13,3,3,4,1,,,,,,1,,0,40,3,3,4,1
Private Final Method,"ClassDumper.processConstantPool()",examples/ClassDumper.java,,,,,,,,,,,,,,,,,,,,,,,,,6,34,3,23,3,17,8,8,7,14,19,4,16,5,5,6,1,,,,,,2,,0,35,5,5,6,1
Private Final Method,"ClassDumper.processFieldOrMethod()",examples/ClassDumper.java,,,,,,,,,,,,,,,,,,,,,,,,,6,49,4,29,10,25,16,11,3,23,26,11,23,3,3,3,1,,,,,,2,,0,55,3,3,3,1
Private Final Method,"ClassDumper.processFields()",examples/ClassDumper.java,,,,,,,,,,,,,,,,,,,,,,,,,3,20,2,12,2,7,6,5,3,8,11,3,8,3,3,3,1,,,,,,2,,0,50,3,3,3,1
