Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"java/org/apache/commons/io/CopyUtils.java",java/org/apache/commons/io/CopyUtils.java,1,1,1,1,14,0,7,7,,,,1,10,1,,11,1,0,11,,0,0,0,11,,250,26,93,62,32,132,,,40,54,36,25,,,,,2,2,2,1,,1,,1,42,13,13,13,11
File,"java/org/apache/commons/io/EndianUtils.java",java/org/apache/commons/io/EndianUtils.java,1,1,1,1,13,0,6,6,,,,1,30,0,,31,1,0,31,,0,1,0,30,,483,40,220,66,106,223,,,73,106,51,66,,,,,2,2,2,1,,1,,1,01,32,32,32,31
File,"java/org/apache/commons/io/FileCleaner.java",java/org/apache/commons/io/FileCleaner.java,1,1,1,1,11,0,4,6,,,,3,3,3,,7,4,1,7,,0,0,0,7,,155,16,52,21,23,89,,,28,37,20,20,,,,,3,3,3,3,,2,,1,71,9,9,9,9
File,"java/org/apache/commons/io/FileUtils.java",java/org/apache/commons/io/FileUtils.java,3,3,3,1,24,1,12,9,,,,1,28,3,,29,1,0,29,,0,4,0,25,,837,84,395,118,233,358,,,171,264,102,178,,,,,6,6,8,6,,3,,0,91,87,87,93,36
File,"java/org/apache/commons/io/HexDump.java",java/org/apache/commons/io/HexDump.java,3,3,4,1,19,0,14,4,,,,1,3,5,,4,1,0,4,,0,2,0,2,,132,10,76,25,44,46,,,41,56,21,39,,,,,9,9,11,1,,3,,0,61,14,14,16,4
File,"java/org/apache/commons/io/IOUtils.java",java/org/apache/commons/io/IOUtils.java,1,1,1,1,16,0,10,6,,,,1,13,1,,14,1,0,14,,0,0,0,14,,396,35,154,50,58,207,,,51,77,38,52,,,,,4,4,4,4,,2,,1,34,25,25,25,17
File,"java/org/apache/commons/io/filefilter/AbstractFileFilter.java",java/org/apache/commons/io/filefilter/AbstractFileFilter.java,1,1,1,1,10,0,3,6,,,,1,0,0,,2,2,0,2,,0,0,0,2,,57,5,11,6,3,41,,,5,8,6,3,,,,,1,1,1,1,,0,,3,73,2,2,2,2
File,"java/org/apache/commons/io/filefilter/AndFileFilter.java",java/org/apache/commons/io/filefilter/AndFileFilter.java,1,1,2,1,11,0,4,6,,,,1,0,0,,3,3,2,3,,0,0,0,3,,71,7,19,8,6,45,,,9,14,8,6,,,,,2,2,3,1,,1,,2,37,4,4,7,3
File,"java/org/apache/commons/io/filefilter/DelegateFileFilter.java",java/org/apache/commons/io/filefilter/DelegateFileFilter.java,2,2,2,1,12,0,6,5,,,,1,0,0,,4,4,2,4,,0,0,0,4,,91,8,34,11,14,49,,,14,23,11,12,,,,,2,2,2,1,,1,,1,44,8,8,8,4
File,"java/org/apache/commons/io/filefilter/DirectoryFileFilter.java",java/org/apache/commons/io/filefilter/DirectoryFileFilter.java,1,1,1,1,7,0,2,4,,,,1,0,1,,2,2,0,2,,0,0,1,1,,62,6,10,6,2,46,,,4,7,6,2,,,,,1,1,1,1,,0,,4,60,2,2,2,2
