Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"main/java/org/apache/commons/io/ByteOrderMark.java",main/java/org/apache/commons/io/ByteOrderMark.java,2,2,2,1,14,0,8,6,,,,1,0,7,,8,8,2,8,,0,0,0,8,,191,19,81,27,46,91,,,46,66,28,45,,,,,5,5,5,5,,2,,1,12,18,18,20,12
File,"main/java/org/apache/commons/io/ByteOrderUtils.java",main/java/org/apache/commons/io/ByteOrderUtils.java,2,2,3,2,17,0,7,10,,,,1,1,3,,2,1,0,2,,0,1,0,1,,79,9,23,12,12,47,,,12,17,12,8,,,,,3,3,5,3,,1,,2,04,4,4,6,4
File,"main/java/org/apache/commons/io/Charsets.java",main/java/org/apache/commons/io/Charsets.java,1,1,1,1,15,0,5,9,,,,1,3,6,,3,0,0,3,,0,0,0,3,,192,11,36,23,16,145,,,22,26,17,10,,,,,2,2,2,1,,0,,4,03,5,5,5,3
File,"main/java/org/apache/commons/io/CopyUtils.java",main/java/org/apache/commons/io/CopyUtils.java,1,1,1,1,17,0,7,9,,,,1,12,1,,13,1,0,13,,0,0,0,13,,391,28,118,81,39,245,,,48,64,42,32,,,,,2,2,2,1,,1,,2,08,15,15,15,13
File,"main/java/org/apache/commons/io/DirectoryWalker.java",main/java/org/apache/commons/io/DirectoryWalker.java,1,1,1,1,17,0,5,11,,,,2,0,1,,20,20,4,20,,0,1,15,4,,642,27,126,45,53,491,,,52,84,38,47,,,,,7,7,8,1,,5,,3,90,32,32,34,20
File,"main/java/org/apache/commons/io/EndianUtils.java",main/java/org/apache/commons/io/EndianUtils.java,1,1,1,1,13,0,6,6,,,,1,30,0,,31,1,0,31,,0,1,0,30,,481,45,200,71,102,236,,,81,115,57,71,,,,,2,2,2,1,,1,,1,18,33,33,33,31
File,"main/java/org/apache/commons/io/FileCleaner.java",main/java/org/apache/commons/io/FileCleaner.java,1,1,1,1,15,0,3,11,,,,1,7,1,,7,0,0,7,,0,0,0,7,,159,9,33,18,8,117,,,10,18,11,8,,,,,1,1,1,1,,0,,3,55,7,7,7,7
File,"main/java/org/apache/commons/io/FileCleaningTracker.java",main/java/org/apache/commons/io/FileCleaningTracker.java,1,1,1,1,14,0,5,8,,,,3,0,0,,13,13,7,13,,2,1,0,10,,287,20,97,36,41,172,,,43,68,33,39,,,,,4,4,5,3,,3,,1,77,22,22,23,15
File,"main/java/org/apache/commons/io/FileDeleteStrategy.java",main/java/org/apache/commons/io/FileDeleteStrategy.java,1,1,1,1,13,0,4,8,,,,2,0,2,,7,7,1,7,,1,0,3,3,,156,12,43,17,16,101,,,16,28,15,15,,,,,3,3,4,3,,1,,2,35,10,10,12,9
File,"main/java/org/apache/commons/io/FileExistsException.java",main/java/org/apache/commons/io/FileExistsException.java,1,1,1,1,7,0,3,4,,,,1,0,1,,3,3,0,3,,0,0,0,3,,59,7,15,8,4,37,,,7,11,8,3,,,,,1,1,1,1,,0,,2,47,3,3,3,3
File,"main/java/org/apache/commons/io/FileSystemUtils.java",main/java/org/apache/commons/io/FileSystemUtils.java,3,3,4,1,34,1,16,16,,,,1,5,8,,13,8,0,13,,7,0,0,6,,576,41,271,73,187,269,,,131,179,66,133,,,,,8,8,11,5,,2,,0,99,46,43,52,23
File,"main/java/org/apache/commons/io/FileUtils.java",main/java/org/apache/commons/io/FileUtils.java,2,2,2,1,23,0,9,13,,,,1,117,16,,118,1,0,118,,1,16,0,101,,3109,193,1154,285,640,1775,,,428,756,255,553,,,,,11,11,13,6,,5,,1,54,315,315,334,144
File,"main/java/org/apache/commons/io/FilenameUtils.java",main/java/org/apache/commons/io/FilenameUtils.java,3,3,4,2,31,0,12,18,,,,1,39,7,,40,1,0,40,,2,5,0,33,,1454,81,534,107,340,848,,,241,387,111,314,,,,,22,22,31,14,,5,,1,59,153,153,185,109
File,"main/java/org/apache/commons/io/HexDump.java",main/java/org/apache/commons/io/HexDump.java,3,3,4,1,27,0,14,11,,,,1,3,3,,4,1,0,4,,0,2,0,2,,162,12,75,24,41,75,,,39,54,20,36,,,,,9,9,11,1,,3,,1,00,14,14,16,4
File,"main/java/org/apache/commons/io/IOCase.java",main/java/org/apache/commons/io/IOCase.java,1,1,1,1,11,0,4,7,,,,1,1,1,,12,13,5,14,,0,2,0,12,,253,21,70,24,27,162,,,27,47,22,27,,,,,4,4,4,4,,3,,2,31,21,21,23,17
File,"main/java/org/apache/commons/io/IOExceptionWithCause.java",main/java/org/apache/commons/io/IOExceptionWithCause.java,1,1,1,1,14,0,3,11,,,,1,0,1,,2,2,0,2,,0,0,0,2,,66,7,12,7,3,47,,,5,8,6,2,,,,,1,1,1,1,,0,,3,92,2,2,2,2
File,"main/java/org/apache/commons/io/IOUtils.java",main/java/org/apache/commons/io/IOUtils.java,1,1,1,1,22,0,6,15,,,,1,129,11,,130,1,2,130,,0,0,0,130,,3246,175,876,311,400,2206,,,328,565,245,361,,,,,6,6,8,4,,2,,2,52,238,238,245,148
File,"main/java/org/apache/commons/io/LineIterator.java",main/java/org/apache/commons/io/LineIterator.java,2,2,2,1,16,0,9,6,,,,1,1,0,,8,7,3,8,,0,0,1,7,,200,13,86,26,43,101,,,34,56,21,36,,,,,8,8,8,7,,4,,1,17,21,21,21,14
File,"main/java/org/apache/commons/io/TaggedIOException.java",main/java/org/apache/commons/io/TaggedIOException.java,1,1,1,1,17,0,4,13,,,,1,2,1,,5,3,1,5,,0,0,0,5,,136,10,30,14,10,97,,,11,18,11,7,,,,,2,2,3,1,,1,,3,23,6,6,8,5
File,"main/java/org/apache/commons/io/ThreadMonitor.java",main/java/org/apache/commons/io/ThreadMonitor.java,1,1,1,1,13,0,6,7,,,,1,4,0,,6,2,2,6,,0,2,0,4,,134,10,43,15,22,81,,,20,30,14,18,,,,,2,2,2,1,,1,,1,88,10,10,10,6
