Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"main/java/org/apache/commons/io/ByteOrderMark.java",main/java/org/apache/commons/io/ByteOrderMark.java,2,2,2,1,14,0,8,6,,,,1,0,4,,8,8,2,8,,0,0,0,8,,169,14,78,24,43,77,,,43,63,25,43,,,,,5,5,5,5,,2,,0,99,18,18,20,12
File,"main/java/org/apache/commons/io/CopyUtils.java",main/java/org/apache/commons/io/CopyUtils.java,1,1,1,1,15,0,7,7,,,,1,10,1,,11,1,0,11,,0,0,0,11,,333,26,94,63,32,213,,,40,54,36,25,,,,,2,2,2,1,,1,,2,27,13,13,13,11
File,"main/java/org/apache/commons/io/DirectoryWalker.java",main/java/org/apache/commons/io/DirectoryWalker.java,1,1,1,1,16,0,5,11,,,,2,0,1,,20,20,4,20,,0,1,15,4,,636,27,120,39,53,491,,,52,84,38,47,,,,,7,7,8,1,,5,,4,09,32,32,34,20
File,"main/java/org/apache/commons/io/EndianUtils.java",main/java/org/apache/commons/io/EndianUtils.java,1,1,1,1,13,0,6,6,,,,1,30,0,,31,1,0,31,,0,1,0,30,,489,44,207,72,108,238,,,80,114,56,69,,,,,2,2,2,1,,1,,1,15,33,33,33,31
File,"main/java/org/apache/commons/io/FileCleaner.java",main/java/org/apache/commons/io/FileCleaner.java,1,1,1,1,15,0,3,11,,,,1,7,1,,7,0,0,7,,0,0,0,7,,161,9,33,18,8,119,,,10,18,11,8,,,,,1,1,1,1,,0,,3,61,7,7,7,7
File,"main/java/org/apache/commons/io/FileCleaningTracker.java",main/java/org/apache/commons/io/FileCleaningTracker.java,1,1,1,1,13,0,5,8,,,,3,0,0,,13,13,7,13,,2,1,0,10,,284,18,95,34,41,173,,,43,68,33,39,,,,,4,4,5,3,,3,,1,82,22,22,23,15
File,"main/java/org/apache/commons/io/FileDeleteStrategy.java",main/java/org/apache/commons/io/FileDeleteStrategy.java,1,1,1,1,13,0,4,8,,,,2,0,2,,7,7,1,7,,1,0,3,3,,158,12,43,17,16,103,,,16,28,15,15,,,,,3,3,4,3,,1,,2,40,10,10,12,9
File,"main/java/org/apache/commons/io/FileExistsException.java",main/java/org/apache/commons/io/FileExistsException.java,1,1,1,1,7,0,3,4,,,,1,0,1,,3,3,0,3,,0,0,0,3,,60,7,15,8,4,38,,,7,11,8,3,,,,,1,1,1,1,,0,,2,53,3,3,3,3
File,"main/java/org/apache/commons/io/FileSystemUtils.java",main/java/org/apache/commons/io/FileSystemUtils.java,3,3,3,1,31,1,14,16,,,,1,5,8,,13,8,0,13,,7,0,0,6,,544,36,248,65,174,265,,,121,166,64,121,,,,,8,8,11,5,,2,,1,07,43,40,49,23
File,"main/java/org/apache/commons/io/FileUtils.java",main/java/org/apache/commons/io/FileUtils.java,2,2,3,1,25,0,10,14,,,,1,88,11,,89,1,0,89,,1,6,0,82,,2491,143,999,228,595,1353,,,406,677,221,493,,,,,11,11,13,6,,5,,1,35,259,259,276,108
File,"main/java/org/apache/commons/io/FilenameUtils.java",main/java/org/apache/commons/io/FilenameUtils.java,3,3,4,2,31,0,12,18,,,,1,37,6,,38,1,0,38,,2,4,0,32,,1369,68,496,98,313,814,,,219,356,102,289,,,,,22,22,31,13,,5,,1,64,145,145,179,104
File,"main/java/org/apache/commons/io/HexDump.java",main/java/org/apache/commons/io/HexDump.java,3,3,4,1,26,0,14,11,,,,1,3,3,,4,1,0,4,,0,2,0,2,,163,12,74,23,41,77,,,38,53,19,36,,,,,9,9,11,1,,3,,1,04,14,14,16,4
File,"main/java/org/apache/commons/io/IOCase.java",main/java/org/apache/commons/io/IOCase.java,1,1,2,1,13,0,5,8,,,,1,1,4,,12,11,2,12,,0,2,0,10,,257,21,72,24,33,164,,,31,52,24,33,,,,,4,4,4,4,,3,,2,28,22,22,24,18
File,"main/java/org/apache/commons/io/IOExceptionWithCause.java",main/java/org/apache/commons/io/IOExceptionWithCause.java,1,1,1,1,15,0,4,11,,,,1,0,1,,2,2,0,2,,0,0,0,2,,69,7,13,6,5,49,,,7,10,6,4,,,,,2,2,2,1,,0,,3,77,3,3,3,2
File,"main/java/org/apache/commons/io/IOUtils.java",main/java/org/apache/commons/io/IOUtils.java,2,2,2,1,22,0,7,15,,,,1,66,10,,67,1,0,67,,0,0,0,67,,1759,86,536,181,267,1139,,,211,353,151,236,,,,,6,6,6,3,,3,,2,12,138,138,139,77
File,"main/java/org/apache/commons/io/LineIterator.java",main/java/org/apache/commons/io/LineIterator.java,2,2,2,1,13,0,7,6,,,,1,1,0,,8,7,3,8,,0,0,1,7,,182,13,71,20,37,98,,,32,51,20,32,,,,,7,7,7,7,,4,,1,38,18,18,18,14
