Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"java/org/apache/commons/io/CopyUtils.java",java/org/apache/commons/io/CopyUtils.java,1,1,1,1,15,0,7,7,,,,1,10,1,,11,1,0,11,,0,0,0,11,,332,26,93,62,32,213,,,40,54,36,25,,,,,2,2,2,1,,1,,2,29,13,13,13,11
File,"java/org/apache/commons/io/DirectoryWalker.java",java/org/apache/commons/io/DirectoryWalker.java,1,1,1,1,16,0,5,11,,,,2,0,1,,19,19,4,19,,0,1,14,4,,620,26,117,39,53,479,,,53,83,38,46,,,,,7,7,8,1,,5,,4,09,31,31,33,19
File,"java/org/apache/commons/io/EndianUtils.java",java/org/apache/commons/io/EndianUtils.java,1,1,1,1,13,0,6,6,,,,1,30,0,,31,1,0,31,,0,1,0,30,,483,40,205,66,106,238,,,76,110,52,69,,,,,2,2,2,1,,1,,1,16,33,33,33,31
File,"java/org/apache/commons/io/FileCleaner.java",java/org/apache/commons/io/FileCleaner.java,1,1,1,1,14,0,6,8,,,,3,7,4,,11,4,2,11,,2,1,0,8,,259,17,85,27,39,159,,,38,61,27,36,,,,,4,4,5,3,,2,,1,87,20,20,21,13
File,"java/org/apache/commons/io/FileDeleteStrategy.java",java/org/apache/commons/io/FileDeleteStrategy.java,1,1,1,1,12,0,4,8,,,,2,0,2,,7,7,1,7,,1,0,3,3,,156,12,41,15,16,103,,,16,28,15,15,,,,,3,3,4,3,,1,,2,51,10,10,12,9
File,"java/org/apache/commons/io/FileSystemUtils.java",java/org/apache/commons/io/FileSystemUtils.java,4,3,4,2,33,1,17,15,,,,1,2,7,,10,8,0,10,,7,0,0,3,,457,28,230,56,166,205,,,110,151,56,113,,,,,8,8,11,5,,2,,0,89,40,37,46,20
File,"java/org/apache/commons/io/FileUtils.java",java/org/apache/commons/io/FileUtils.java,2,2,3,1,24,0,11,12,,,,1,56,4,,57,1,0,57,,0,6,0,51,,1570,97,673,155,402,804,,,283,460,151,330,,,,,9,9,11,6,,3,,1,19,167,167,177,68
File,"java/org/apache/commons/io/FilenameUtils.java",java/org/apache/commons/io/FilenameUtils.java,3,3,4,2,29,0,12,16,,,,1,35,5,,36,1,0,36,,2,4,0,30,,1250,66,478,92,301,715,,,216,345,96,284,,,,,21,21,30,13,,5,,1,50,137,137,168,101
File,"java/org/apache/commons/io/HexDump.java",java/org/apache/commons/io/HexDump.java,3,3,4,1,23,0,15,7,,,,1,3,5,,4,1,0,4,,0,2,0,2,,151,12,78,25,45,61,,,42,57,21,40,,,,,9,9,11,1,,3,,0,78,14,14,16,4
File,"java/org/apache/commons/io/IOCase.java",java/org/apache/commons/io/IOCase.java,1,1,1,1,12,0,4,7,,,,1,1,4,,11,10,2,11,,1,2,0,8,,217,17,60,21,27,140,,,26,43,21,26,,,,,4,4,4,4,,1,,2,33,18,18,19,14
File,"java/org/apache/commons/io/IOUtils.java",java/org/apache/commons/io/IOUtils.java,2,2,2,1,21,0,7,14,,,,1,48,7,,49,1,0,49,,0,0,0,49,,1274,59,415,142,213,800,,,171,273,120,189,,,,,6,6,6,3,,3,,1,93,105,105,105,55
File,"java/org/apache/commons/io/LineIterator.java",java/org/apache/commons/io/LineIterator.java,2,2,2,1,13,0,7,6,,,,1,1,0,,8,7,3,8,,0,0,1,7,,181,12,71,20,37,98,,,32,51,20,32,,,,,7,7,7,7,,4,,1,38,18,18,18,14
File,"java/org/apache/commons/io/filefilter/AbstractFileFilter.java",java/org/apache/commons/io/filefilter/AbstractFileFilter.java,1,1,1,1,9,0,3,6,,,,1,0,0,,2,2,0,2,,0,0,0,2,,56,5,10,5,2,41,,,4,7,5,2,,,,,1,1,1,1,,0,,4,10,2,2,2,2
File,"java/org/apache/commons/io/filefilter/AgeFileFilter.java",java/org/apache/commons/io/filefilter/AgeFileFilter.java,1,1,1,1,11,0,3,8,,,,1,0,0,,7,7,2,7,,0,0,0,7,,140,12,31,15,9,97,,,15,23,15,9,,,,,2,2,2,1,,0,,3,13,8,8,8,7
File,"java/org/apache/commons/io/filefilter/AndFileFilter.java",java/org/apache/commons/io/filefilter/AndFileFilter.java,1,1,2,1,10,0,6,4,,,,1,0,0,,9,9,1,9,,0,0,0,9,,144,13,65,21,28,66,,,30,46,21,29,,,,,4,4,4,4,,2,,1,02,17,17,18,15
File,"java/org/apache/commons/io/filefilter/CanReadFileFilter.java",java/org/apache/commons/io/filefilter/CanReadFileFilter.java,1,1,1,1,7,0,2,5,,,,1,0,3,,2,2,0,2,,0,0,1,1,,91,8,13,9,5,70,,,6,9,8,4,,,,,1,1,1,1,,0,,5,38,2,2,2,2
File,"java/org/apache/commons/io/filefilter/CanWriteFileFilter.java",java/org/apache/commons/io/filefilter/CanWriteFileFilter.java,1,1,1,1,7,0,2,5,,,,1,0,2,,2,2,0,2,,0,0,1,1,,79,7,11,7,3,61,,,5,8,7,3,,,,,1,1,1,1,,0,,5,55,2,2,2,2
File,"java/org/apache/commons/io/filefilter/ConditionalFileFilter.java",java/org/apache/commons/io/filefilter/ConditionalFileFilter.java,0,0,0,0,0,0,0,0,,,,1,0,0,,4,4,0,4,,0,0,0,4,,67,7,8,7,0,52,,,6,7,7,0,,,,,0,0,0,0,,0,,6,50,0,0,0,0
File,"java/org/apache/commons/io/filefilter/DelegateFileFilter.java",java/org/apache/commons/io/filefilter/DelegateFileFilter.java,2,2,2,1,12,0,6,5,,,,1,0,0,,4,4,2,4,,0,0,0,4,,91,8,34,11,14,49,,,14,23,11,12,,,,,2,2,2,1,,1,,1,44,8,8,8,4
File,"java/org/apache/commons/io/filefilter/DirectoryFileFilter.java",java/org/apache/commons/io/filefilter/DirectoryFileFilter.java,1,1,1,1,7,0,2,4,,,,1,0,2,,2,2,0,2,,0,0,1,1,,72,6,11,7,3,55,,,5,8,7,2,,,,,1,1,1,1,,0,,5,00,2,2,2,2
File,"java/org/apache/commons/io/filefilter/EmptyFileFilter.java",java/org/apache/commons/io/filefilter/EmptyFileFilter.java,1,1,2,1,10,0,5,5,,,,1,0,2,,2,2,0,2,,0,0,1,1,,83,7,16,8,7,60,,,7,11,8,6,,,,,2,2,3,1,,1,,3,75,3,3,4,2
File,"java/org/apache/commons/io/filefilter/FalseFileFilter.java",java/org/apache/commons/io/filefilter/FalseFileFilter.java,1,1,1,1,8,0,2,5,,,,1,0,2,,3,3,0,3,,0,0,1,2,,71,7,14,8,4,50,,,6,10,8,3,,,,,1,1,1,1,,0,,3,57,3,3,3,3
File,"java/org/apache/commons/io/filefilter/FileFileFilter.java",java/org/apache/commons/io/filefilter/FileFileFilter.java,1,1,1,1,7,0,2,4,,,,1,0,1,,2,2,0,2,,0,0,1,1,,59,6,10,6,2,43,,,4,7,6,2,,,,,1,1,1,1,,0,,4,30,2,2,2,2
File,"java/org/apache/commons/io/filefilter/FileFilterUtils.java",java/org/apache/commons/io/filefilter/FileFilterUtils.java,1,1,1,1,10,0,3,6,,,,1,25,2,,26,1,0,26,,0,0,0,26,,361,31,110,36,43,220,,,40,73,36,39,,,,,3,3,3,1,,1,,2,00,32,32,32,26
File,"java/org/apache/commons/io/filefilter/HiddenFileFilter.java",java/org/apache/commons/io/filefilter/HiddenFileFilter.java,1,1,1,1,7,0,2,5,,,,1,0,2,,2,2,0,2,,0,0,1,1,,75,7,11,7,3,57,,,5,8,7,3,,,,,1,1,1,1,,0,,5,18,2,2,2,2
File,"java/org/apache/commons/io/filefilter/IOFileFilter.java",java/org/apache/commons/io/filefilter/IOFileFilter.java,0,0,0,0,0,0,0,0,,,,1,0,0,,2,2,0,2,,0,0,0,2,,55,5,8,7,0,42,,,6,7,7,0,,,,,0,0,0,0,,0,,5,25,0,0,0,0
File,"java/org/apache/commons/io/filefilter/NameFileFilter.java",java/org/apache/commons/io/filefilter/NameFileFilter.java,2,2,2,1,13,0,5,7,,,,1,0,0,,8,8,2,8,,0,0,0,8,,169,13,55,16,24,101,,,27,43,18,26,,,,,3,3,3,3,,2,,1,84,18,18,18,12
File,"java/org/apache/commons/io/filefilter/NotFileFilter.java",java/org/apache/commons/io/filefilter/NotFileFilter.java,1,1,1,1,10,0,4,6,,,,1,0,0,,3,3,1,3,,0,0,0,3,,68,7,17,7,5,44,,,7,12,7,5,,,,,2,2,2,1,,1,,2,59,4,4,4,3
File,"java/org/apache/commons/io/filefilter/OrFileFilter.java",java/org/apache/commons/io/filefilter/OrFileFilter.java,1,1,1,1,9,0,5,4,,,,1,0,0,,9,9,1,9,,0,0,0,9,,138,13,59,21,24,66,,,28,42,21,25,,,,,3,3,3,3,,2,,1,12,15,15,16,13
File,"java/org/apache/commons/io/filefilter/PrefixFileFilter.java",java/org/apache/commons/io/filefilter/PrefixFileFilter.java,2,2,2,1,14,0,7,7,,,,1,0,0,,5,5,1,5,,0,0,0,5,,124,9,41,11,18,74,,,19,32,13,20,,,,,3,3,3,3,,2,,1,80,12,12,12,9
File,"java/org/apache/commons/io/filefilter/SizeFileFilter.java",java/org/apache/commons/io/filefilter/SizeFileFilter.java,1,1,1,1,13,0,4,9,,,,1,0,0,,3,3,2,3,,0,0,0,3,,92,7,20,9,7,65,,,10,15,9,7,,,,,2,2,2,1,,1,,3,25,5,5,5,3
File,"java/org/apache/commons/io/filefilter/SuffixFileFilter.java",java/org/apache/commons/io/filefilter/SuffixFileFilter.java,2,2,2,1,14,0,7,7,,,,1,0,0,,5,5,1,5,,0,0,0,5,,125,9,41,11,18,75,,,19,32,13,20,,,,,3,3,3,3,,2,,1,83,12,12,12,9
File,"java/org/apache/commons/io/filefilter/TrueFileFilter.java",java/org/apache/commons/io/filefilter/TrueFileFilter.java,1,1,1,1,8,0,2,5,,,,1,0,2,,3,3,0,3,,0,0,1,2,,71,7,14,8,4,50,,,6,10,8,3,,,,,1,1,1,1,,0,,3,57,3,3,3,3
File,"java/org/apache/commons/io/filefilter/WildcardFileFilter.java",java/org/apache/commons/io/filefilter/WildcardFileFilter.java,2,2,2,1,13,0,5,7,,,,1,0,0,,8,8,2,8,,0,0,0,8,,174,13,56,17,24,105,,,28,44,19,26,,,,,3,3,3,3,,2,,1,88,18,18,18,12
File,"java/org/apache/commons/io/filefilter/WildcardFilter.java",java/org/apache/commons/io/filefilter/WildcardFilter.java,2,2,3,2,15,0,8,6,,,,1,0,0,,5,5,1,5,,0,0,0,5,,139,14,47,11,21,78,,,21,36,13,23,,,,,4,4,5,4,,2,,1,66,14,14,15,11
File,"java/org/apache/commons/io/input/ClassLoaderObjectInputStream.java",java/org/apache/commons/io/input/ClassLoaderObjectInputStream.java,1,1,1,1,18,1,7,9,,,,1,0,0,,2,2,1,2,,0,0,1,1,,77,7,24,14,7,46,,,12,16,11,6,,,,,2,2,2,1,,1,,1,92,3,3,3,2
File,"java/org/apache/commons/io/input/CountingInputStream.java",java/org/apache/commons/io/input/CountingInputStream.java,1,1,1,1,14,0,5,9,,,,1,0,0,,9,9,1,9,,0,0,0,9,,175,13,51,21,25,111,,,27,39,21,24,,,,,2,2,2,1,,1,,2,18,14,14,14,9
File,"java/org/apache/commons/io/input/DemuxInputStream.java",java/org/apache/commons/io/input/DemuxInputStream.java,1,1,1,1,13,0,8,5,,,,1,0,0,,4,4,1,4,,0,1,0,3,,91,6,40,15,13,45,,,13,20,12,12,,,,,2,2,2,1,,1,,1,12,6,6,6,4
File,"java/org/apache/commons/io/input/NullInputStream.java",java/org/apache/commons/io/input/NullInputStream.java,1,1,1,1,15,0,6,8,,,,1,0,0,,16,16,7,16,,0,1,2,13,,329,20,123,31,65,186,,,57,89,31,58,,,,,4,4,4,3,,1,,1,51,31,31,31,18
File,"java/org/apache/commons/io/input/NullReader.java",java/org/apache/commons/io/input/NullReader.java,1,1,1,1,15,0,6,8,,,,1,0,0,,15,15,7,15,,0,1,2,12,,313,19,113,29,58,181,,,53,82,29,53,,,,,4,4,4,1,,1,,1,60,28,28,28,15
File,"java/org/apache/commons/io/input/ProxyInputStream.java",java/org/apache/commons/io/input/ProxyInputStream.java,1,1,1,1,4,0,3,1,,,,1,0,0,,10,10,0,10,,0,0,0,10,,92,13,36,15,10,43,,,14,25,15,10,,,,,1,1,1,1,,0,,1,19,10,10,10,10
File,"java/org/apache/commons/io/input/ProxyReader.java",java/org/apache/commons/io/input/ProxyReader.java,1,1,1,1,4,0,3,1,,,,1,0,0,,10,10,0,10,,0,0,0,10,,92,13,36,15,10,43,,,14,25,15,10,,,,,1,1,1,1,,0,,1,19,10,10,10,10
File,"java/org/apache/commons/io/input/SwappedDataInputStream.java",java/org/apache/commons/io/input/SwappedDataInputStream.java,1,1,1,1,7,0,5,1,,,,1,0,0,,16,16,0,16,,0,0,0,16,,178,23,101,42,24,54,,,26,45,26,20,,,,,3,3,3,1,,2,,0,53,18,18,18,16
File,"java/org/apache/commons/io/output/ByteArrayOutputStream.java",java/org/apache/commons/io/output/ByteArrayOutputStream.java,2,2,2,1,15,0,9,5,,,,1,0,1,,13,13,5,13,,0,2,0,11,,274,20,131,40,79,123,,,71,99,42,63,,,,,5,5,9,4,,2,,0,94,26,26,30,20
File,"java/org/apache/commons/io/output/CountingOutputStream.java",java/org/apache/commons/io/output/CountingOutputStream.java,1,1,1,1,13,0,4,8,,,,1,0,0,,8,8,1,8,,0,0,0,8,,154,12,43,16,19,99,,,21,32,16,18,,,,,2,2,2,1,,1,,2,30,10,10,10,8
File,"java/org/apache/commons/io/output/DeferredFileOutputStream.java",java/org/apache/commons/io/output/DeferredFileOutputStream.java,1,1,1,1,15,0,7,7,,,,1,0,0,,8,8,4,8,,0,0,2,6,,220,35,74,23,27,111,,,31,44,22,24,,,,,3,3,3,1,,2,,1,50,11,11,11,8
