Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"java/org/apache/commons/io/CopyUtils.java",java/org/apache/commons/io/CopyUtils.java,1,1,1,1,15,0,7,7,,,,1,10,1,,11,1,0,11,,0,0,0,11,,332,26,93,62,32,213,,,40,54,36,25,,,,,2,2,2,1,,1,,2,29,13,13,13,11
File,"java/org/apache/commons/io/EndianUtils.java",java/org/apache/commons/io/EndianUtils.java,1,1,1,1,13,0,6,6,,,,1,30,0,,31,1,0,31,,0,1,0,30,,480,40,203,66,107,237,,,74,107,51,67,,,,,2,2,2,1,,1,,1,17,32,32,32,31
File,"java/org/apache/commons/io/FileCleaner.java",java/org/apache/commons/io/FileCleaner.java,1,1,1,1,11,0,4,6,,,,3,3,3,,7,4,1,7,,0,0,0,7,,158,16,52,21,23,92,,,28,37,20,20,,,,,3,3,3,3,,2,,1,77,9,9,9,9
File,"java/org/apache/commons/io/FileSystemUtils.java",java/org/apache/commons/io/FileSystemUtils.java,4,4,5,2,38,1,23,14,,,,1,1,6,,6,5,0,6,,4,0,0,2,,327,23,186,43,139,125,,,88,120,43,91,,,,,12,12,16,7,,4,,0,67,27,25,32,15
File,"java/org/apache/commons/io/FileUtils.java",java/org/apache/commons/io/FileUtils.java,3,3,3,1,25,0,13,11,,,,1,38,4,,39,1,0,39,,0,6,0,33,,1147,87,540,135,324,524,,,227,364,125,263,,,,,9,9,11,6,,3,,0,97,128,128,137,46
File,"java/org/apache/commons/io/FilenameUtils.java",java/org/apache/commons/io/FilenameUtils.java,3,3,4,2,30,0,13,16,,,,1,34,5,,35,1,0,35,,1,6,0,28,,1234,64,478,91,302,701,,,215,344,95,284,,,,,21,21,30,13,,5,,1,47,137,137,170,103
File,"java/org/apache/commons/io/HexDump.java",java/org/apache/commons/io/HexDump.java,3,3,4,1,20,0,15,4,,,,1,3,5,,4,1,0,4,,0,2,0,2,,137,11,78,25,45,48,,,42,57,21,40,,,,,9,9,11,1,,3,,0,62,14,14,16,4
File,"java/org/apache/commons/io/IOUtils.java",java/org/apache/commons/io/IOUtils.java,2,2,2,1,21,0,7,13,,,,1,44,7,,45,1,0,45,,0,0,0,45,,1142,55,388,134,198,699,,,160,255,113,176,,,,,6,6,6,3,,3,,1,80,98,98,98,51
File,"java/org/apache/commons/io/filefilter/AbstractFileFilter.java",java/org/apache/commons/io/filefilter/AbstractFileFilter.java,1,1,1,1,9,0,3,6,,,,1,0,0,,2,2,0,2,,0,0,0,2,,56,5,10,5,2,41,,,4,7,5,2,,,,,1,1,1,1,,0,,4,10,2,2,2,2
File,"java/org/apache/commons/io/filefilter/AndFileFilter.java",java/org/apache/commons/io/filefilter/AndFileFilter.java,1,1,2,1,10,0,6,4,,,,1,0,0,,9,9,1,9,,0,0,0,9,,143,13,65,21,28,65,,,30,46,21,29,,,,,4,4,4,4,,2,,1,00,17,17,18,15
File,"java/org/apache/commons/io/filefilter/ConditionalFileFilter.java",java/org/apache/commons/io/filefilter/ConditionalFileFilter.java,0,0,0,0,0,0,0,0,,,,1,0,0,,4,4,0,4,,0,0,0,4,,66,7,8,7,0,51,,,6,7,7,0,,,,,0,0,0,0,,0,,6,38,0,0,0,0
File,"java/org/apache/commons/io/filefilter/DelegateFileFilter.java",java/org/apache/commons/io/filefilter/DelegateFileFilter.java,2,2,2,1,12,0,6,5,,,,1,0,0,,4,4,2,4,,0,0,0,4,,91,8,34,11,14,49,,,14,23,11,12,,,,,2,2,2,1,,1,,1,44,8,8,8,4
