Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"bench/src/main/java/org/easymock/benchmark/EasyMockBenchmark.java",bench/src/main/java/org/easymock/benchmark/EasyMockBenchmark.java,1,1,1,1,4,0,4,0,,,,1,0,0,,2,2,2,2,,0,0,0,2,,54,7,32,27,4,15,,,18,21,19,2,,,,,1,1,1,1,,0,,0,47,2,2,2,2
File,"core/src/main/java/org/easymock/Capture.java",core/src/main/java/org/easymock/Capture.java,2,1,2,1,11,0,6,5,,,,1,2,1,,10,8,2,10,,0,2,0,8,,160,15,71,19,36,74,,,29,47,18,30,,,,,7,4,7,3,,2,,1,04,20,17,20,12
File,"core/src/main/java/org/easymock/CaptureType.java",core/src/main/java/org/easymock/CaptureType.java,0,0,0,0,0,0,0,0,,,,1,0,0,,0,2,4,2,,0,0,0,2,,44,4,7,6,0,33,,,1,2,2,0,,,,,0,0,0,0,,0,,4,71,0,0,0,0
File,"core/src/main/java/org/easymock/ConstructorArgs.java",core/src/main/java/org/easymock/ConstructorArgs.java,2,2,2,2,13,1,9,2,,,,1,0,0,,5,5,2,5,,0,2,0,3,,103,18,52,16,27,33,,,25,39,17,25,,,,,9,9,9,6,,4,,0,63,13,13,13,10
File,"core/src/main/java/org/easymock/EasyMock.java",core/src/main/java/org/easymock/EasyMock.java,1,1,1,1,13,0,4,8,,,,1,153,3,,154,1,0,154,,0,5,0,149,,2232,160,658,166,322,1415,,,305,480,172,310,,,,,4,4,4,1,,2,,2,15,182,182,182,154
File,"core/src/main/java/org/easymock/EasyMockExtension.java",core/src/main/java/org/easymock/EasyMockExtension.java,1,1,1,1,4,0,4,0,,,,1,0,0,,1,1,0,1,,0,0,0,1,,37,3,9,6,1,25,,,4,6,5,1,,,,,1,1,1,1,,0,,2,78,1,1,1,1
File,"core/src/main/java/org/easymock/EasyMockListener.java",core/src/main/java/org/easymock/EasyMockListener.java,1,1,1,1,2,0,2,0,,,,1,0,0,,2,2,0,2,,0,0,0,2,,30,4,11,7,1,15,,,5,8,7,1,,,,,1,1,1,1,,0,,1,36,2,2,2,2
File,"core/src/main/java/org/easymock/EasyMockRule.java",core/src/main/java/org/easymock/EasyMockRule.java,1,1,1,1,3,0,3,0,,,,1,0,0,,2,2,1,2,,0,0,0,2,,41,6,14,9,2,21,,,8,11,9,2,,,,,1,1,1,1,,0,,1,50,2,2,2,2
File,"core/src/main/java/org/easymock/EasyMockRunner.java",core/src/main/java/org/easymock/EasyMockRunner.java,1,1,1,1,9,0,4,5,,,,1,0,0,,2,2,0,2,,0,0,1,1,,52,4,16,10,3,32,,,8,11,8,3,,,,,1,1,1,1,,0,,2,00,2,2,2,2
File,"core/src/main/java/org/easymock/EasyMockSupport.java",core/src/main/java/org/easymock/EasyMockSupport.java,1,1,1,1,16,0,4,12,,,,2,3,0,,33,30,1,33,,0,0,0,33,,656,37,160,51,62,459,,,58,116,59,61,,,,,6,6,6,6,,2,,2,87,48,48,48,40
File,"core/src/main/java/org/easymock/IAnswer.java",core/src/main/java/org/easymock/IAnswer.java,0,0,0,0,0,0,0,0,,,,1,0,0,,1,1,0,1,,1,0,0,0,,40,2,4,3,0,34,,,2,3,3,0,,,,,0,0,0,0,,0,,8,50,0,0,0,0
File,"core/src/main/java/org/easymock/IArgumentMatcher.java",core/src/main/java/org/easymock/IArgumentMatcher.java,0,0,0,0,0,0,0,0,,,,1,0,0,,2,2,0,2,,2,0,0,0,,51,3,5,4,0,43,,,3,4,4,0,,,,,0,0,0,0,,0,,8,60,0,0,0,0
File,"core/src/main/java/org/easymock/IExpectationSetters.java",core/src/main/java/org/easymock/IExpectationSetters.java,0,0,0,0,0,0,0,0,,,,1,0,0,,15,15,0,15,,15,0,0,0,,162,16,18,17,0,128,,,16,17,17,0,,,,,0,0,0,0,,0,,7,11,0,0,0,0
File,"core/src/main/java/org/easymock/IMockBuilder.java",core/src/main/java/org/easymock/IMockBuilder.java,1,1,1,1,14,0,3,11,,,,1,0,0,,30,30,0,30,,30,0,0,0,,523,32,55,34,10,436,,,33,44,34,10,,,,,1,1,1,1,,0,,7,93,10,10,10,10
File,"core/src/main/java/org/easymock/IMocksControl.java",core/src/main/java/org/easymock/IMocksControl.java,1,1,1,1,21,0,3,18,,,,1,0,0,,17,17,0,17,,17,0,0,0,,226,19,27,20,3,180,,,19,23,20,3,,,,,1,1,1,1,,0,,6,67,3,3,3,3
File,"core/src/main/java/org/easymock/LogicalOperator.java",core/src/main/java/org/easymock/LogicalOperator.java,0,0,0,0,2,0,2,0,,,,6,0,0,,8,10,6,10,,1,0,0,9,,66,5,41,26,7,20,,,11,18,11,7,,,,,1,1,1,1,,0,,0,49,7,7,7,7
File,"core/src/main/java/org/easymock/Mock.java",core/src/main/java/org/easymock/Mock.java,0,0,0,0,0,0,0,0,,,,1,0,0,,4,4,0,4,,4,0,0,0,,58,6,11,10,0,41,,,6,7,7,0,,,,,0,0,0,0,,0,,3,73,0,0,0,0
File,"core/src/main/java/org/easymock/MockType.java",core/src/main/java/org/easymock/MockType.java,0,0,0,0,0,0,0,0,,,,1,0,0,,0,2,3,2,,0,0,0,2,,31,1,6,5,0,24,,,1,2,2,0,,,,,0,0,0,0,,0,,4,00,0,0,0,0
File,"core/src/main/java/org/easymock/Preview.java",core/src/main/java/org/easymock/Preview.java,0,0,0,0,0,0,0,0,,,,1,0,0,,0,0,0,0,,0,0,0,0,,31,2,8,7,0,21,,,4,5,5,0,,,,,0,0,0,0,,0,,2,62,0,0,0,0
File,"core/src/main/java/org/easymock/TestSubject.java",core/src/main/java/org/easymock/TestSubject.java,0,0,0,0,0,0,0,0,,,,1,0,0,,0,0,0,0,,0,0,0,0,,34,3,7,6,0,24,,,2,3,3,0,,,,,0,0,0,0,,0,,3,43,0,0,0,0
File,"core/src/main/java/org/easymock/internal/AndroidClassProxyFactory.java",core/src/main/java/org/easymock/internal/AndroidClassProxyFactory.java,2,2,3,1,11,0,10,0,,,,2,0,0,,5,5,2,5,,0,1,0,4,,101,12,68,30,35,21,,,32,44,27,24,,,,,4,4,7,1,,3,,0,31,11,11,16,5
File,"core/src/main/java/org/easymock/internal/AndroidSupport.java",core/src/main/java/org/easymock/internal/AndroidSupport.java,1,1,1,1,3,0,3,0,,,,1,1,1,,1,0,0,1,,0,0,0,1,,43,4,16,5,7,23,,,7,10,4,6,,,,,1,1,1,1,,0,,1,44,1,1,1,1
File,"core/src/main/java/org/easymock/internal/ArgumentToString.java",core/src/main/java/org/easymock/internal/ArgumentToString.java,3,3,3,1,17,0,12,4,,,,1,3,0,,4,1,0,4,,0,1,0,3,,102,9,53,9,35,40,,,27,42,11,33,,,,,8,8,8,1,,3,,0,75,14,14,14,4
File,"core/src/main/java/org/easymock/internal/AssertionErrorWrapper.java",core/src/main/java/org/easymock/internal/AssertionErrorWrapper.java,1,1,1,1,3,0,3,0,,,,1,0,1,,2,2,1,2,,0,0,0,2,,34,5,11,6,3,18,,,5,8,6,2,,,,,1,1,1,1,,0,,1,64,2,2,2,2
File,"core/src/main/java/org/easymock/internal/BridgeMethodResolver.java",core/src/main/java/org/easymock/internal/BridgeMethodResolver.java,4,4,4,2,23,0,14,7,,,,1,15,0,,16,1,0,16,,0,15,0,1,,441,32,238,63,156,171,,,107,176,65,135,,,,,9,9,9,7,,4,,0,72,67,67,75,33
File,"core/src/main/java/org/easymock/internal/ClassInstantiatorFactory.java",core/src/main/java/org/easymock/internal/ClassInstantiatorFactory.java,1,1,1,1,6,0,2,3,,,,1,6,1,,7,1,0,7,,0,1,0,6,,81,10,24,10,7,47,,,8,16,10,7,,,,,1,1,1,1,,0,,1,96,7,7,7,7
File,"core/src/main/java/org/easymock/internal/ClassProxyFactory.java",core/src/main/java/org/easymock/internal/ClassProxyFactory.java,2,2,2,1,16,1,11,3,,,,4,1,2,,12,10,2,11,,0,3,1,7,,261,35,164,60,86,63,,,79,111,55,64,,,,,8,8,8,5,,2,,0,38,30,30,34,16
File,"core/src/main/java/org/easymock/internal/DefaultClassInstantiator.java",core/src/main/java/org/easymock/internal/DefaultClassInstantiator.java,2,2,2,1,20,1,12,6,,,,1,4,1,,8,4,0,8,,0,5,0,3,,203,22,110,25,73,73,,,55,78,26,59,,,,,5,5,5,4,,2,,0,66,23,23,23,14
File,"core/src/main/java/org/easymock/internal/EasyMockProperties.java",core/src/main/java/org/easymock/internal/EasyMockProperties.java,2,2,2,1,12,0,8,4,,,,1,1,2,,7,6,1,7,,0,3,0,4,,139,12,66,18,34,61,,,25,43,18,27,,,,,4,4,4,1,,2,,0,92,16,16,16,7
File,"core/src/main/java/org/easymock/internal/EasyMockStatement.java",core/src/main/java/org/easymock/internal/EasyMockStatement.java,1,1,1,1,4,0,4,0,,,,1,0,0,,2,2,2,2,,0,0,0,2,,45,6,18,11,4,21,,,11,14,10,4,,,,,1,1,1,1,,0,,1,17,2,2,2,2
File,"core/src/main/java/org/easymock/internal/ErrorMessage.java",core/src/main/java/org/easymock/internal/ErrorMessage.java,1,1,1,1,5,0,5,0,,,,1,0,0,,5,5,3,5,,0,0,0,5,,60,9,33,10,15,18,,,15,23,10,13,,,,,3,3,3,1,,2,,0,55,7,7,7,5
File,"core/src/main/java/org/easymock/internal/ExpectedInvocation.java",core/src/main/java/org/easymock/internal/ExpectedInvocation.java,2,2,3,1,9,0,9,0,,,,1,0,1,,8,8,2,8,,0,2,0,6,,125,15,92,28,48,20,,,40,59,27,35,,,,,5,5,7,4,,2,,0,22,18,18,26,11
File,"core/src/main/java/org/easymock/internal/ExpectedInvocationAndResult.java",core/src/main/java/org/easymock/internal/ExpectedInvocationAndResult.java,1,1,1,1,3,0,3,0,,,,1,0,1,,3,3,2,3,,0,0,0,3,,43,8,17,9,5,18,,,9,13,9,4,,,,,1,1,1,1,,0,,1,06,3,3,3,3
File,"core/src/main/java/org/easymock/internal/ExpectedInvocationAndResults.java",core/src/main/java/org/easymock/internal/ExpectedInvocationAndResults.java,1,1,1,1,3,0,3,0,,,,1,0,1,,4,4,2,4,,0,0,0,4,,48,9,21,11,6,18,,,10,15,10,5,,,,,1,1,1,1,,0,,0,86,4,4,4,4
File,"core/src/main/java/org/easymock/internal/IClassInstantiator.java",core/src/main/java/org/easymock/internal/IClassInstantiator.java,0,0,0,0,0,0,0,0,,,,1,0,0,,1,1,0,1,,1,0,0,0,,36,2,4,3,0,30,,,2,3,3,0,,,,,0,0,0,0,,0,,7,50,0,0,0,0
File,"core/src/main/java/org/easymock/internal/IMocksBehavior.java",core/src/main/java/org/easymock/internal/IMocksBehavior.java,0,0,0,0,0,0,0,0,,,,1,0,0,,11,11,0,11,,11,0,0,0,,47,12,14,13,0,21,,,12,13,13,0,,,,,0,0,0,0,,0,,1,50,0,0,0,0
File,"core/src/main/java/org/easymock/internal/IMocksControlState.java",core/src/main/java/org/easymock/internal/IMocksControlState.java,0,0,0,0,0,0,0,0,,,,1,0,0,,20,20,0,20,,20,0,0,0,,64,22,24,23,0,18,,,22,23,23,0,,,,,0,0,0,0,,0,,0,75,0,0,0,0
File,"core/src/main/java/org/easymock/internal/IProxyFactory.java",core/src/main/java/org/easymock/internal/IProxyFactory.java,0,0,0,0,0,0,0,0,,,,1,0,0,,2,2,0,2,,2,0,0,0,,48,5,9,8,0,34,,,6,7,7,0,,,,,0,0,0,0,,0,,3,78,0,0,0,0
File,"core/src/main/java/org/easymock/internal/Injection.java",core/src/main/java/org/easymock/internal/Injection.java,1,1,1,1,7,0,3,4,,,,1,0,0,,6,6,3,6,,0,0,0,6,,84,11,26,12,8,47,,,12,19,12,7,,,,,1,1,1,1,,0,,1,81,6,6,6,6
File,"core/src/main/java/org/easymock/internal/InjectionPlan.java",core/src/main/java/org/easymock/internal/InjectionPlan.java,1,1,1,1,8,0,4,3,,,,1,0,0,,6,6,4,6,,0,1,0,5,,98,15,39,18,17,44,,,19,28,18,15,,,,,2,2,2,1,,1,,1,13,8,8,8,6
File,"core/src/main/java/org/easymock/internal/InjectionTarget.java",core/src/main/java/org/easymock/internal/InjectionTarget.java,1,1,1,1,10,0,4,5,,,,1,0,0,,4,4,1,4,,0,0,0,4,,76,10,23,8,9,43,,,10,16,8,8,,,,,2,2,2,1,,1,,1,87,5,5,5,4
File,"core/src/main/java/org/easymock/internal/Injector.java",core/src/main/java/org/easymock/internal/Injector.java,3,3,3,1,19,1,14,3,,,,1,12,0,,12,0,0,12,,1,10,0,1,,283,33,182,51,107,68,,,81,129,51,96,,,,,9,9,9,4,,3,,0,37,42,42,45,20
File,"core/src/main/java/org/easymock/internal/Invocation.java",core/src/main/java/org/easymock/internal/Invocation.java,2,2,2,1,8,0,7,0,,,,1,3,2,,19,16,4,19,,0,7,0,12,,219,33,159,51,82,27,,,74,117,52,72,,,,,6,6,6,6,,3,,0,17,40,40,45,31
File,"core/src/main/java/org/easymock/internal/JavaProxyFactory.java",core/src/main/java/org/easymock/internal/JavaProxyFactory.java,1,1,1,1,4,0,4,0,,,,1,0,0,,2,2,0,2,,0,0,0,2,,36,3,15,10,2,18,,,7,10,8,2,,,,,1,1,1,1,,0,,1,20,2,2,2,2
File,"core/src/main/java/org/easymock/internal/LastControl.java",core/src/main/java/org/easymock/internal/LastControl.java,1,1,1,1,6,0,6,0,,,,1,12,4,,13,1,0,13,,0,3,0,10,,133,21,92,36,49,22,,,51,72,37,48,,,,,2,2,3,1,,1,,0,24,20,20,21,13
File,"core/src/main/java/org/easymock/internal/LinkedClassLoader.java",core/src/main/java/org/easymock/internal/LinkedClassLoader.java,2,2,2,1,9,0,8,0,,,,1,0,0,,2,2,1,2,,0,0,1,1,,48,5,23,9,9,20,,,9,16,9,7,,,,,4,4,4,1,,2,,0,87,5,5,5,2
File,"core/src/main/java/org/easymock/internal/MethodSerializationWrapper.java",core/src/main/java/org/easymock/internal/MethodSerializationWrapper.java,2,2,2,1,14,3,11,0,,,,1,0,2,,2,2,3,2,,0,0,0,2,,79,16,45,18,26,18,,,33,39,19,24,,,,,3,3,3,1,,2,,0,40,5,5,5,2
File,"core/src/main/java/org/easymock/internal/MockBuilder.java",core/src/main/java/org/easymock/internal/MockBuilder.java,1,1,1,1,6,0,5,0,,,,1,0,1,,25,24,5,24,,0,1,0,23,,246,38,168,58,87,40,,,82,122,54,77,,,,,4,4,4,1,,1,,0,24,44,44,45,25
File,"core/src/main/java/org/easymock/internal/MockInvocationHandler.java",core/src/main/java/org/easymock/internal/MockInvocationHandler.java,2,2,2,2,7,0,6,0,,,,1,0,1,,3,3,1,3,,0,0,0,3,,54,7,28,10,13,19,,,13,19,10,9,,,,,5,5,5,4,,2,,0,68,7,7,7,6
File,"core/src/main/java/org/easymock/internal/MocksBehavior.java",core/src/main/java/org/easymock/internal/MocksBehavior.java,2,2,3,1,12,1,11,0,,,,1,0,1,,15,15,9,15,,0,3,0,12,,256,48,184,54,104,25,,,80,131,51,90,,,,,12,12,13,5,,3,,0,14,43,43,45,23
File,"core/src/main/java/org/easymock/internal/MocksControl.java",core/src/main/java/org/easymock/internal/MocksControl.java,2,2,2,1,8,0,8,0,,,,1,5,6,,37,32,3,37,,0,1,0,36,,420,56,321,94,171,43,,,113,183,59,133,,,,,7,7,8,3,,3,,0,13,74,74,75,41
