Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"bench/src/main/java/org/easymock/benchmark/EasyMockBenchmark.java",bench/src/main/java/org/easymock/benchmark/EasyMockBenchmark.java,1,1,1,1,4,0,4,0,,,,1,0,0,,2,2,2,2,,0,0,0,2,,54,7,32,27,4,15,,,18,21,19,2,,,,,1,1,1,1,,0,,0,47,2,2,2,2
File,"core/src/main/java/org/easymock/Capture.java",core/src/main/java/org/easymock/Capture.java,2,1,2,1,11,0,6,5,,,,1,2,1,,10,8,2,10,,0,0,0,10,,167,15,75,23,36,77,,,29,47,18,30,,,,,7,4,7,3,,2,,1,03,20,17,20,12
File,"core/src/main/java/org/easymock/CaptureType.java",core/src/main/java/org/easymock/CaptureType.java,0,0,0,0,0,0,0,0,,,,1,0,0,,0,2,4,2,,0,0,0,2,,44,4,7,6,0,33,,,1,2,2,0,,,,,0,0,0,0,,0,,4,71,0,0,0,0
File,"core/src/main/java/org/easymock/ConstructorArgs.java",core/src/main/java/org/easymock/ConstructorArgs.java,2,2,2,2,13,1,9,2,,,,1,0,0,,5,5,2,5,,0,2,0,3,,103,18,52,16,27,33,,,25,39,17,25,,,,,9,9,9,6,,4,,0,63,13,13,13,10
File,"core/src/main/java/org/easymock/EasyMock.java",core/src/main/java/org/easymock/EasyMock.java,1,1,1,1,12,0,3,9,,,,1,148,3,,149,1,0,149,,0,2,1,146,,2123,155,585,161,271,1385,,,266,430,165,267,,,,,2,2,2,1,,1,,2,37,157,157,157,149
File,"core/src/main/java/org/easymock/EasyMockRule.java",core/src/main/java/org/easymock/EasyMockRule.java,1,1,1,1,3,0,3,0,,,,1,0,0,,2,2,1,2,,0,0,0,2,,41,6,14,9,2,21,,,8,11,9,2,,,,,1,1,1,1,,0,,1,50,2,2,2,2
File,"core/src/main/java/org/easymock/EasyMockRunner.java",core/src/main/java/org/easymock/EasyMockRunner.java,1,1,1,1,9,0,4,5,,,,1,0,0,,2,2,0,2,,0,0,1,1,,52,4,16,10,3,32,,,8,11,8,3,,,,,1,1,1,1,,0,,2,00,2,2,2,2
File,"core/src/main/java/org/easymock/EasyMockSupport.java",core/src/main/java/org/easymock/EasyMockSupport.java,1,1,1,1,15,0,3,11,,,,1,1,0,,29,28,1,29,,0,0,0,29,,530,33,113,39,42,384,,,41,83,45,42,,,,,2,2,2,1,,1,,3,40,35,35,35,29
File,"core/src/main/java/org/easymock/IAnswer.java",core/src/main/java/org/easymock/IAnswer.java,0,0,0,0,0,0,0,0,,,,1,0,0,,1,1,0,1,,1,0,0,0,,40,2,4,3,0,34,,,2,3,3,0,,,,,0,0,0,0,,0,,8,50,0,0,0,0
File,"core/src/main/java/org/easymock/IArgumentMatcher.java",core/src/main/java/org/easymock/IArgumentMatcher.java,0,0,0,0,0,0,0,0,,,,1,0,0,,2,2,0,2,,2,0,0,0,,51,3,5,4,0,43,,,3,4,4,0,,,,,0,0,0,0,,0,,8,60,0,0,0,0
