Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"easymock-android-tck/src/org/easymock/android/AndroidTck.java",easymock-android-tck/src/org/easymock/android/AndroidTck.java,2,2,2,1,14,0,13,0,,,,1,0,0,,3,3,0,3,,0,2,0,1,,83,10,53,20,32,20,,,38,45,20,31,,,,,2,2,2,1,,1,,0,38,6,6,6,3
File,"easymock-classextension/src/main/java/org/easymock/classextension/ConstructorArgs.java",easymock-classextension/src/main/java/org/easymock/classextension/ConstructorArgs.java,1,1,1,1,9,0,3,6,,,,1,0,0,,1,1,0,1,,0,0,0,1,,40,3,8,5,1,29,,,3,5,4,1,,,,,1,1,1,1,,0,,3,62,1,1,1,1
File,"easymock-classextension/src/main/java/org/easymock/classextension/EasyMock.java",easymock-classextension/src/main/java/org/easymock/classextension/EasyMock.java,1,1,1,1,3,0,2,0,,,,1,4,0,,5,1,0,5,,0,0,1,4,,58,7,20,10,4,31,,,7,13,9,4,,,,,1,1,1,1,,0,,1,55,5,5,5,5
File,"easymock-classextension/src/main/java/org/easymock/classextension/EasyMockSupport.java",easymock-classextension/src/main/java/org/easymock/classextension/EasyMockSupport.java,1,1,1,1,20,0,5,14,,,,1,0,0,,15,15,0,15,,0,0,0,15,,349,18,86,46,27,245,,,23,39,21,21,,,,,1,1,1,1,,0,,2,85,15,15,15,15
File,"easymock-classextension/src/main/java/org/easymock/classextension/IMockBuilder.java",easymock-classextension/src/main/java/org/easymock/classextension/IMockBuilder.java,0,0,0,0,0,0,0,0,,,,1,0,0,,0,0,0,0,,0,0,0,0,,31,1,4,3,0,26,,,1,2,2,0,,,,,0,0,0,0,,0,,6,50,0,0,0,0
File,"easymock-classextension/src/main/java/org/easymock/classextension/IMocksControl.java",easymock-classextension/src/main/java/org/easymock/classextension/IMocksControl.java,0,0,0,0,0,0,0,0,,,,1,0,0,,0,0,0,0,,0,0,0,0,,30,1,4,3,0,25,,,1,2,2,0,,,,,0,0,0,0,,0,,6,25,0,0,0,0
File,"easymock-classextension/src/main/java/org/easymock/classextension/internal/MockBuilder.java",easymock-classextension/src/main/java/org/easymock/classextension/internal/MockBuilder.java,1,1,1,1,3,0,3,0,,,,1,0,0,,1,1,0,1,,0,0,0,1,,35,4,10,7,1,21,,,3,5,4,1,,,,,1,1,1,1,,0,,2,10,1,1,1,1
File,"easymock-classextension/src/main/java/org/easymock/classextension/internal/MocksClassControl.java",easymock-classextension/src/main/java/org/easymock/classextension/internal/MocksClassControl.java,1,1,1,1,3,0,3,0,,,,1,0,1,,1,1,0,1,,0,0,0,1,,33,4,10,7,2,19,,,5,7,6,1,,,,,1,1,1,1,,0,,1,90,1,1,1,1
File,"easymock-classextension/src/samples/java/org/easymock/classextension/samples/BasicClassMockTest.java",easymock-classextension/src/samples/java/org/easymock/classextension/samples/BasicClassMockTest.java,1,1,1,1,5,0,4,0,,,,3,0,0,,9,9,4,9,,0,0,0,9,,104,21,56,27,18,29,,,29,40,22,18,,,,,1,1,1,1,,0,,0,52,8,8,8,8
File,"easymock-classextension/src/samples/java/org/easymock/classextension/samples/ConstructorCalledMockTest.java",easymock-classextension/src/samples/java/org/easymock/classextension/samples/ConstructorCalledMockTest.java,1,1,1,1,6,1,5,0,,,,2,0,0,,7,7,2,7,,0,0,1,6,,93,20,50,25,17,25,,,23,33,21,12,,,,,2,2,2,1,,1,,0,50,7,7,7,6
