Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"main/java/org/easymock/classextension/ConstructorArgs.java",main/java/org/easymock/classextension/ConstructorArgs.java,2,2,2,2,12,1,9,1,,,,1,0,0,,5,5,2,5,,0,2,0,3,,94,18,55,17,29,21,,,25,39,17,25,,,,,9,9,9,6,,4,,0,38,13,13,13,10
File,"main/java/org/easymock/classextension/EasyMock.java",main/java/org/easymock/classextension/EasyMock.java,1,1,1,1,5,0,4,1,,,,1,30,0,,31,1,0,31,,0,0,1,30,,228,34,140,60,42,54,,,36,80,44,36,,,,,2,2,2,1,,1,,0,39,37,37,37,31
File,"main/java/org/easymock/classextension/IMockBuilder.java",main/java/org/easymock/classextension/IMockBuilder.java,0,0,0,0,0,0,0,0,,,,1,0,0,,19,19,0,19,,19,0,0,0,,324,21,25,24,0,278,,,22,23,23,0,,,,,0,0,0,0,,0,,11,12,0,0,0,0
File,"main/java/org/easymock/classextension/IMocksControl.java",main/java/org/easymock/classextension/IMocksControl.java,0,0,0,0,0,0,0,0,,,,1,0,0,,4,4,0,4,,4,0,0,0,,30,5,10,9,0,15,,,6,7,7,0,,,,,0,0,0,0,,0,,1,50,0,0,0,0
File,"main/java/org/easymock/classextension/MockClassControl.java",main/java/org/easymock/classextension/MockClassControl.java,1,1,1,1,11,0,5,6,,,,1,12,1,,14,2,0,14,,0,2,0,12,,212,19,79,43,22,114,,,21,36,21,15,,,,,1,1,1,1,,0,,1,44,14,14,14,14
File,"main/java/org/easymock/classextension/internal/BridgeMethodResolver.java",main/java/org/easymock/classextension/internal/BridgeMethodResolver.java,4,4,4,2,25,0,16,7,,,,1,15,0,,16,1,0,16,,0,15,0,1,,473,32,271,78,182,170,,,124,189,71,143,,,,,9,9,9,7,,4,,0,63,69,69,76,33
File,"main/java/org/easymock/classextension/internal/ClassExtensionHelper.java",main/java/org/easymock/classextension/internal/ClassExtensionHelper.java,1,1,1,1,6,0,6,0,,,,1,4,1,,5,1,0,5,,0,1,0,4,,71,12,42,17,19,17,,,19,28,17,12,,,,,4,4,4,1,,2,,0,40,8,8,8,5
File,"main/java/org/easymock/classextension/internal/ClassInstantiatorFactory.java",main/java/org/easymock/classextension/internal/ClassInstantiatorFactory.java,1,1,1,1,6,0,2,3,,,,1,6,1,,7,1,0,7,,0,1,0,6,,79,10,24,10,7,45,,,8,16,10,7,,,,,1,1,1,1,,0,,1,88,7,7,7,7
File,"main/java/org/easymock/classextension/internal/ClassProxyFactory.java",main/java/org/easymock/classextension/internal/ClassProxyFactory.java,2,2,3,1,21,1,14,4,,,,3,0,1,,11,11,2,11,,0,5,1,5,,287,35,183,58,111,70,,,79,112,49,74,,,,,8,8,10,7,,3,,0,38,31,31,34,17
File,"main/java/org/easymock/classextension/internal/DefaultClassInstantiator.java",main/java/org/easymock/classextension/internal/DefaultClassInstantiator.java,3,3,3,2,22,1,15,6,,,,1,4,0,,8,4,0,8,,0,7,0,1,,215,21,127,30,89,69,,,60,81,28,62,,,,,7,7,7,7,,2,,0,54,26,26,26,17
File,"main/java/org/easymock/classextension/internal/IClassInstantiator.java",main/java/org/easymock/classextension/internal/IClassInstantiator.java,0,0,0,0,0,0,0,0,,,,1,0,0,,1,1,0,1,,1,0,0,0,,33,2,4,3,0,27,,,2,3,3,0,,,,,0,0,0,0,,0,,6,75,0,0,0,0
File,"main/java/org/easymock/classextension/internal/MockBuilder.java",main/java/org/easymock/classextension/internal/MockBuilder.java,1,1,1,1,6,0,6,0,,,,1,0,0,,21,21,4,21,,0,1,0,20,,213,33,154,44,83,26,,,67,103,42,67,,,,,3,3,3,1,,1,,0,17,33,33,33,21
File,"main/java/org/easymock/classextension/internal/MocksClassControl.java",main/java/org/easymock/classextension/internal/MocksClassControl.java,1,1,1,1,9,1,7,0,,,,1,0,1,,6,6,0,6,,0,0,1,5,,93,19,55,21,25,19,,,25,37,17,22,,,,,2,2,2,1,,1,,0,35,9,9,9,6
File,"main/java/org/easymock/classextension/internal/ObjenesisClassInstantiator.java",main/java/org/easymock/classextension/internal/ObjenesisClassInstantiator.java,1,1,1,1,3,0,3,0,,,,1,0,0,,1,1,0,1,,0,0,0,1,,26,4,7,4,1,15,,,3,5,4,1,,,,,1,1,1,1,,0,,2,14,1,1,1,1
File,"main/java/org/easymock/classextension/internal/ReflectionUtils.java",main/java/org/easymock/classextension/internal/ReflectionUtils.java,3,3,4,2,25,1,13,10,,,,1,5,1,,6,1,0,6,,0,3,0,3,,199,20,100,27,56,79,,,42,68,24,47,,,,,9,9,10,8,,5,,0,79,23,23,24,17
Package,"org",,0,0,0,0,0,0,0,0,,,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,,0,,0,00,0,0,0,0
Package,"org.easymock",,0,0,0,0,0,0,0,0,,,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,,0,,0,00,0,0,0,0
Package,"org.easymock.classextension",main/java/org/easymock/classextension/ConstructorArgs.java,1,1,1,1,7,0,5,2,,,,5,42,1,5,,31,2,73,,23,4,1,45,,888,97,309,153,93,482,,,110,185,112,76,,,,,9,9,9,6,,4,,1,56,64,64,64,55
Public Class,"org.easymock.classextension.ConstructorArgs",main/java/org/easymock/classextension/ConstructorArgs.java,2,2,2,2,12,1,9,1,1,5,0,,0,0,,,5,2,5,17,0,2,0,3,,89,16,52,14,29,21,,,22,36,14,25,,,,,9,9,9,6,1,4,40,0,40,13,13,13,10
Public Constructor,"org.easymock.classextension.ConstructorArgs.ConstructorArgs(Constructor<?>,Object...)",main/java/org/easymock/classextension/ConstructorArgs.java,,,,,,,,,,,,,,,,,,,,,,,,,23,12,1,5,1,3,6,4,1,3,4,1,3,1,1,1,1,,,,,,0,,1,20,1,1,1,1
Public Method,"org.easymock.classextension.ConstructorArgs.getConstructor()",main/java/org/easymock/classextension/ConstructorArgs.java,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,3,1,1,0,1,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
