Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"main/java/org/easymock/AbstractMatcher.java",main/java/org/easymock/AbstractMatcher.java,3,3,4,3,24,1,12,11,,,,1,0,1,,4,4,0,4,,0,0,2,2,,139,14,55,14,31,70,,,27,43,15,30,,,,,9,9,13,9,,2,,1,27,15,15,19,12
File,"main/java/org/easymock/ArgumentsMatcher.java",main/java/org/easymock/ArgumentsMatcher.java,0,0,0,0,0,0,0,0,,,,1,0,0,,2,2,0,2,,2,0,0,0,,53,3,5,4,0,45,,,3,4,4,0,,,,,0,0,0,0,,0,,9,00,0,0,0,0
File,"main/java/org/easymock/Capture.java",main/java/org/easymock/Capture.java,2,1,2,1,11,0,7,4,,,,1,0,1,,8,8,2,8,,0,0,0,8,,138,13,66,17,35,59,,,27,43,16,28,,,,,7,4,7,3,,2,,0,89,18,15,18,10
File,"main/java/org/easymock/CaptureType.java",main/java/org/easymock/CaptureType.java,0,0,0,0,0,0,0,0,,,,1,0,0,,0,2,4,2,,0,0,0,2,,43,4,7,6,0,32,,,1,2,2,0,,,,,0,0,0,0,,0,,4,57,0,0,0,0
File,"main/java/org/easymock/EasyMock.java",main/java/org/easymock/EasyMock.java,1,1,1,1,12,0,3,8,,,,1,128,2,,129,1,0,129,,0,2,1,126,,1727,137,521,141,246,1069,,,241,385,145,242,,,,,2,2,2,1,,1,,2,05,137,137,137,129
File,"main/java/org/easymock/IAnswer.java",main/java/org/easymock/IAnswer.java,0,0,0,0,0,0,0,0,,,,1,0,0,,1,1,0,1,,1,0,0,0,,34,1,4,3,0,29,,,2,3,3,0,,,,,0,0,0,0,,0,,7,25,0,0,0,0
File,"main/java/org/easymock/IArgumentMatcher.java",main/java/org/easymock/IArgumentMatcher.java,0,0,0,0,0,0,0,0,,,,1,0,0,,2,2,0,2,,2,0,0,0,,47,3,5,4,0,39,,,3,4,4,0,,,,,0,0,0,0,,0,,7,80,0,0,0,0
File,"main/java/org/easymock/IExpectationSetters.java",main/java/org/easymock/IExpectationSetters.java,0,0,0,0,0,0,0,0,,,,1,0,0,,14,14,0,14,,14,0,0,0,,151,15,17,16,0,119,,,15,16,16,0,,,,,0,0,0,0,,0,,7,00,0,0,0,0
File,"main/java/org/easymock/IMocksControl.java",main/java/org/easymock/IMocksControl.java,0,0,0,0,0,0,0,0,,,,1,0,0,,11,11,0,11,,11,0,0,0,,94,11,14,13,0,69,,,12,13,13,0,,,,,0,0,0,0,,0,,4,93,0,0,0,0
File,"main/java/org/easymock/LogicalOperator.java",main/java/org/easymock/LogicalOperator.java,0,0,0,0,2,0,2,0,,,,6,0,0,,8,10,6,10,,0,1,0,9,,59,5,36,21,7,18,,,11,18,11,7,,,,,1,1,1,1,,0,,0,50,7,7,7,7
