Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ant/src/main/java/org/apache/pdfbox/ant/PDFToTextTask.java",ant/src/main/java/org/apache/pdfbox/ant/PDFToTextTask.java,3,3,3,1,22,0,17,4,,,,1,0,0,,2,2,1,2,,0,0,0,2,,86,8,47,19,20,31,,,25,32,20,20,,,,,5,5,5,1,,4,,0,66,6,6,6,2
Public Implicit Method,"clone()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,00,0,0,0,0
File,"examples/src/main/java/org/apache/pdfbox/examples/AbstractExample.java",examples/src/main/java/org/apache/pdfbox/examples/AbstractExample.java,2,2,2,1,14,0,7,7,,,,1,1,0,,5,4,0,5,,0,0,0,5,,111,9,45,13,10,57,,,12,23,13,10,,,,,2,2,2,1,,1,,1,27,10,10,10,5
File,"examples/src/main/java/org/apache/pdfbox/examples/fdf/PrintFields.java",examples/src/main/java/org/apache/pdfbox/examples/fdf/PrintFields.java,3,3,3,1,26,0,20,5,,,,1,2,0,,4,2,0,4,,0,2,0,2,,149,12,94,28,41,43,,,36,51,27,34,,,,,5,5,5,1,,4,,0,46,13,13,13,4
File,"examples/src/main/java/org/apache/pdfbox/examples/fdf/SetField.java",examples/src/main/java/org/apache/pdfbox/examples/fdf/SetField.java,1,1,1,1,18,0,12,5,,,,1,2,0,,4,2,0,4,,0,2,0,2,,114,11,59,19,22,44,,,23,32,19,18,,,,,3,3,3,1,,2,,0,75,7,7,7,4
File,"examples/src/main/java/org/apache/pdfbox/examples/pdmodel/AddImageToPDF.java",examples/src/main/java/org/apache/pdfbox/examples/pdmodel/AddImageToPDF.java,2,2,3,1,28,1,19,8,,,,1,1,0,,3,2,0,3,,0,1,0,2,,134,14,72,22,27,48,,,29,39,21,21,,,,,4,4,5,1,,2,,0,67,8,8,9,3
File,"examples/src/main/java/org/apache/pdfbox/examples/pdmodel/AddJavascript.java",examples/src/main/java/org/apache/pdfbox/examples/pdmodel/AddJavascript.java,2,2,2,1,16,0,12,3,,,,1,2,0,,3,1,0,3,,0,2,0,1,,82,5,44,11,16,33,,,13,21,10,12,,,,,4,4,4,1,,3,,0,75,6,6,6,3
File,"examples/src/main/java/org/apache/pdfbox/examples/pdmodel/AddMessageToEachPage.java",examples/src/main/java/org/apache/pdfbox/examples/pdmodel/AddMessageToEachPage.java,3,3,3,1,26,0,18,7,,,,1,1,0,,4,3,0,4,,0,1,0,3,,151,13,86,30,41,52,,,43,54,31,32,,,,,8,8,9,1,,3,,0,60,13,13,14,4
File,"examples/src/main/java/org/apache/pdfbox/examples/pdmodel/AddMetadataFromDocInfo.java",examples/src/main/java/org/apache/pdfbox/examples/pdmodel/AddMetadataFromDocInfo.java,2,2,2,1,24,2,18,3,,,,1,2,0,,3,1,0,3,,0,2,0,1,,115,13,67,22,33,35,,,36,44,22,29,,,,,4,4,4,1,,3,,0,52,6,6,6,3
File,"examples/src/main/java/org/apache/pdfbox/examples/pdmodel/Annotation.java",examples/src/main/java/org/apache/pdfbox/examples/pdmodel/Annotation.java,1,1,1,1,72,15,44,23,,,,1,2,0,,3,1,0,3,,0,2,0,1,,262,53,151,45,114,93,,,125,131,43,108,,,,,2,2,2,1,,2,,0,62,4,4,4,3
File,"examples/src/main/java/org/apache/pdfbox/examples/pdmodel/CreateBlankPDF.java",examples/src/main/java/org/apache/pdfbox/examples/pdmodel/CreateBlankPDF.java,1,1,1,1,18,0,11,7,,,,1,2,0,,3,1,0,3,,0,1,0,2,,94,7,42,12,15,45,,,15,22,12,12,,,,,2,2,2,1,,1,,1,07,5,5,5,3
File,"examples/src/main/java/org/apache/pdfbox/examples/pdmodel/CreateBookmarks.java",examples/src/main/java/org/apache/pdfbox/examples/pdmodel/CreateBookmarks.java,2,2,2,1,21,0,17,3,,,,1,2,0,,3,1,0,3,,0,2,0,1,,105,6,63,18,30,36,,,32,41,19,28,,,,,5,5,5,1,,3,,0,57,7,7,7,3
File,"examples/src/main/java/org/apache/pdfbox/examples/pdmodel/CreateLandscapePDF.java",examples/src/main/java/org/apache/pdfbox/examples/pdmodel/CreateLandscapePDF.java,1,1,1,1,24,0,17,5,,,,1,1,0,,4,3,0,4,,0,1,0,3,,135,10,82,25,44,43,,,46,55,25,36,,,,,3,3,3,1,,2,,0,52,7,7,7,4
File,"examples/src/main/java/org/apache/pdfbox/examples/pdmodel/EmbeddedFiles.java",examples/src/main/java/org/apache/pdfbox/examples/pdmodel/EmbeddedFiles.java,1,1,1,1,27,1,18,7,,,,1,1,0,,4,3,0,4,,0,1,0,3,,160,17,92,36,45,51,,,55,64,35,40,,,,,3,3,3,1,,2,,0,55,7,7,7,4
File,"examples/src/main/java/org/apache/pdfbox/examples/pdmodel/ExtractEmbeddedFiles.java",examples/src/main/java/org/apache/pdfbox/examples/pdmodel/ExtractEmbeddedFiles.java,3,3,3,1,23,0,20,2,,,,1,3,0,,4,1,0,4,,0,3,0,1,,138,6,99,33,40,33,,,40,56,33,33,,,,,9,9,9,1,,5,,0,33,13,13,13,4
File,"examples/src/main/java/org/apache/pdfbox/examples/pdmodel/ExtractMetadata.java",examples/src/main/java/org/apache/pdfbox/examples/pdmodel/ExtractMetadata.java,3,3,3,1,19,0,17,1,,,,1,6,0,,7,1,0,7,,0,6,0,1,,189,15,139,33,61,35,,,55,77,33,53,,,,,11,11,11,1,,4,,0,25,21,21,21,7
File,"examples/src/main/java/org/apache/pdfbox/examples/pdmodel/ExtractTTFFonts.java",examples/src/main/java/org/apache/pdfbox/examples/pdmodel/ExtractTTFFonts.java,5,5,5,1,30,0,28,2,,,,1,2,3,,6,4,1,6,,0,5,0,1,,240,15,193,55,94,32,,,79,111,56,72,,,,,14,14,16,1,,5,,0,17,30,30,34,6
File,"examples/src/main/java/org/apache/pdfbox/examples/pdmodel/GoToSecondBookmarkOnOpen.java",examples/src/main/java/org/apache/pdfbox/examples/pdmodel/GoToSecondBookmarkOnOpen.java,2,2,2,1,21,0,17,3,,,,1,2,0,,3,1,0,3,,0,2,0,1,,104,7,62,18,26,35,,,25,35,18,22,,,,,6,6,6,1,,3,,0,56,8,8,8,3
File,"examples/src/main/java/org/apache/pdfbox/examples/pdmodel/HelloWorld.java",examples/src/main/java/org/apache/pdfbox/examples/pdmodel/HelloWorld.java,1,1,1,1,19,0,13,5,,,,1,1,0,,4,3,0,4,,0,1,0,3,,123,12,64,18,27,47,,,28,37,18,22,,,,,3,3,3,1,,2,,0,73,7,7,7,4
File,"examples/src/main/java/org/apache/pdfbox/examples/pdmodel/HelloWorldTTF.java",examples/src/main/java/org/apache/pdfbox/examples/pdmodel/HelloWorldTTF.java,2,2,2,1,26,1,17,7,,,,1,1,0,,3,2,0,3,,0,1,0,2,,120,11,64,19,29,45,,,28,36,17,23,,,,,3,3,3,1,,2,,0,70,6,6,6,3
File,"examples/src/main/java/org/apache/pdfbox/examples/pdmodel/HelloWorldType1AfmPfb.java",examples/src/main/java/org/apache/pdfbox/examples/pdmodel/HelloWorldType1AfmPfb.java,2,2,2,1,26,1,17,7,,,,1,1,0,,3,2,0,3,,0,1,0,2,,120,11,64,19,29,45,,,28,36,17,23,,,,,3,3,3,1,,2,,0,70,6,6,6,3
File,"examples/src/main/java/org/apache/pdfbox/examples/pdmodel/ImageToPDF.java",examples/src/main/java/org/apache/pdfbox/examples/pdmodel/ImageToPDF.java,2,2,3,1,27,1,19,7,,,,1,1,0,,3,2,0,3,,0,1,0,2,,132,14,72,21,28,46,,,30,40,21,22,,,,,4,4,5,1,,2,,0,64,8,8,9,3
File,"examples/src/main/java/org/apache/pdfbox/examples/pdmodel/PrintBookmarks.java",examples/src/main/java/org/apache/pdfbox/examples/pdmodel/PrintBookmarks.java,3,3,3,1,28,0,22,6,,,,1,2,0,,3,1,0,3,,0,1,0,2,,128,8,78,19,33,42,,,30,42,19,27,,,,,7,7,7,1,,4,,0,54,10,10,10,3
File,"examples/src/main/java/org/apache/pdfbox/examples/pdmodel/PrintDocumentMetaData.java",examples/src/main/java/org/apache/pdfbox/examples/pdmodel/PrintDocumentMetaData.java,2,2,2,1,25,0,19,6,,,,1,2,0,,4,2,0,4,,0,2,0,2,,151,11,92,25,44,48,,,44,57,25,38,,,,,6,6,6,1,,4,,0,52,11,11,11,4
File,"examples/src/main/java/org/apache/pdfbox/examples/pdmodel/PrintURLs.java",examples/src/main/java/org/apache/pdfbox/examples/pdmodel/PrintURLs.java,4,4,4,1,32,1,25,6,,,,1,2,0,,3,1,0,3,,0,2,0,1,,141,10,90,35,41,41,,,45,60,38,38,,,,,11,11,11,1,,6,,0,46,13,13,13,3
File,"examples/src/main/java/org/apache/pdfbox/examples/pdmodel/RemoveFirstPage.java",examples/src/main/java/org/apache/pdfbox/examples/pdmodel/RemoveFirstPage.java,2,2,2,1,17,0,13,3,,,,1,2,0,,3,1,0,3,,0,2,0,1,,84,5,46,8,17,33,,,12,21,8,13,,,,,5,5,5,1,,3,,0,72,7,7,7,3
File,"examples/src/main/java/org/apache/pdfbox/examples/pdmodel/ReplaceString.java",examples/src/main/java/org/apache/pdfbox/examples/pdmodel/ReplaceString.java,3,3,3,1,30,0,22,7,,,,1,1,0,,4,3,0,4,,0,1,0,3,,172,10,107,37,50,55,,,54,70,39,46,,,,,9,9,9,1,,7,,0,51,14,14,14,4
File,"examples/src/main/java/org/apache/pdfbox/examples/pdmodel/ReplaceURLs.java",examples/src/main/java/org/apache/pdfbox/examples/pdmodel/ReplaceURLs.java,3,3,3,1,23,0,17,6,,,,1,2,0,,3,1,0,3,,0,2,0,1,,113,8,64,22,26,42,,,29,40,24,22,,,,,7,7,7,1,,6,,0,66,9,9,9,3
File,"examples/src/main/java/org/apache/pdfbox/examples/pdmodel/RubberStamp.java",examples/src/main/java/org/apache/pdfbox/examples/pdmodel/RubberStamp.java,2,2,2,1,20,1,15,3,,,,1,2,0,,3,1,0,3,,0,2,0,1,,99,9,57,17,23,33,,,26,35,18,21,,,,,5,5,5,1,,3,,0,58,7,7,7,3
File,"examples/src/main/java/org/apache/pdfbox/examples/pdmodel/RubberStampWithImage.java",examples/src/main/java/org/apache/pdfbox/examples/pdmodel/RubberStampWithImage.java,2,2,2,1,27,1,21,4,,,,1,1,6,,5,4,0,5,,0,3,0,2,,197,18,137,52,80,42,,,96,107,52,71,,,,,6,6,6,1,,3,,0,31,10,10,10,5
File,"examples/src/main/java/org/apache/pdfbox/examples/pdmodel/ShowColorBoxes.java",examples/src/main/java/org/apache/pdfbox/examples/pdmodel/ShowColorBoxes.java,1,1,1,1,19,1,12,6,,,,1,1,0,,4,3,0,4,,0,1,0,3,,121,12,61,16,25,48,,,25,34,16,21,,,,,3,3,3,1,,2,,0,79,7,7,7,4
File,"examples/src/main/java/org/apache/pdfbox/examples/pdmodel/UsingTextMatrix.java",examples/src/main/java/org/apache/pdfbox/examples/pdmodel/UsingTextMatrix.java,2,2,2,1,35,3,25,7,,,,1,1,0,,4,3,0,4,,0,1,0,3,,182,22,112,25,68,48,,,72,84,28,63,,,,,5,5,5,1,,2,,0,43,10,10,10,4
File,"examples/src/main/java/org/apache/pdfbox/examples/persistence/CopyDoc.java",examples/src/main/java/org/apache/pdfbox/examples/persistence/CopyDoc.java,2,2,2,1,21,1,14,5,,,,1,1,0,,4,3,0,4,,0,1,0,3,,126,14,67,17,28,45,,,25,36,17,22,,,,,4,4,4,1,,2,,0,67,9,9,9,4
File,"examples/src/main/java/org/apache/pdfbox/examples/signature/CreateSignature.java",examples/src/main/java/org/apache/pdfbox/examples/signature/CreateSignature.java,2,2,2,1,25,1,17,7,,,,2,2,1,,8,6,4,8,,0,1,0,7,,303,32,183,76,79,89,,,101,119,72,65,,,,,5,5,5,1,,2,,0,49,18,18,19,8
File,"examples/src/main/java/org/apache/pdfbox/examples/signature/ShowSignature.java",examples/src/main/java/org/apache/pdfbox/examples/signature/ShowSignature.java,3,3,3,1,28,0,25,2,,,,1,2,0,,4,2,0,4,,0,3,0,1,,160,12,113,39,56,35,,,49,64,38,45,,,,,10,10,10,1,,7,,0,31,13,13,13,4
File,"examples/src/main/java/org/apache/pdfbox/examples/util/ExtractTextByArea.java",examples/src/main/java/org/apache/pdfbox/examples/util/ExtractTextByArea.java,2,2,2,1,20,0,16,3,,,,1,2,0,,3,1,0,3,,0,2,0,1,,105,10,60,16,25,35,,,24,33,16,21,,,,,5,5,5,1,,4,,0,58,7,7,7,3
File,"examples/src/main/java/org/apache/pdfbox/examples/util/PrintImageLocations.java",examples/src/main/java/org/apache/pdfbox/examples/util/PrintImageLocations.java,3,3,4,1,39,1,30,8,,,,1,2,1,,4,2,0,4,,0,1,1,2,,216,15,145,52,77,56,,,83,100,53,69,,,,,7,7,8,1,,4,,0,39,15,15,16,4
File,"examples/src/main/java/org/apache/pdfbox/examples/util/PrintTextLocations.java",examples/src/main/java/org/apache/pdfbox/examples/util/PrintTextLocations.java,2,2,2,1,20,0,15,5,,,,1,2,0,,4,2,0,4,,0,1,1,2,,129,10,74,19,30,45,,,27,39,20,23,,,,,7,7,7,1,,4,,0,61,10,10,10,4
File,"examples/src/main/java/org/apache/pdfbox/examples/util/RemoveAllText.java",examples/src/main/java/org/apache/pdfbox/examples/util/RemoveAllText.java,3,3,3,2,26,0,21,5,,,,1,2,0,,3,1,0,3,,0,2,0,1,,122,8,75,23,34,39,,,37,49,25,32,,,,,8,8,9,6,,6,,0,52,10,10,11,8
File,"fontbox/src/main/java/org/apache/fontbox/afm/AFMParser.java",fontbox/src/main/java/org/apache/fontbox/afm/AFMParser.java,5,5,6,1,41,0,34,6,,,,1,1,63,,18,17,2,18,,0,14,0,4,,1062,32,696,190,435,334,,,350,457,199,350,,,,,37,37,37,1,,3,,0,48,106,106,111,18
File,"fontbox/src/main/java/org/apache/fontbox/afm/CharMetric.java",fontbox/src/main/java/org/apache/fontbox/afm/CharMetric.java,1,1,1,1,7,0,4,3,,,,1,0,0,,29,29,14,29,,0,0,0,29,,285,37,137,48,30,111,,,47,77,48,30,,,,,1,1,1,1,,0,,0,81,29,29,29,29
File,"fontbox/src/main/java/org/apache/fontbox/afm/Composite.java",fontbox/src/main/java/org/apache/fontbox/afm/Composite.java,1,1,1,1,7,0,4,3,,,,1,0,0,,5,5,2,5,,0,0,0,5,,75,8,28,11,6,39,,,10,16,11,6,,,,,1,1,1,1,,0,,1,39,5,5,5,5
File,"fontbox/src/main/java/org/apache/fontbox/afm/CompositePart.java",fontbox/src/main/java/org/apache/fontbox/afm/CompositePart.java,1,1,1,1,7,0,4,3,,,,1,0,0,,6,6,3,6,,0,0,0,6,,79,8,31,11,6,40,,,10,17,11,6,,,,,1,1,1,1,,0,,1,29,6,6,6,6
File,"fontbox/src/main/java/org/apache/fontbox/afm/FontMetric.java",fontbox/src/main/java/org/apache/fontbox/afm/FontMetric.java,1,1,1,1,9,0,4,4,,,,1,0,0,,80,80,36,80,,0,0,0,80,,911,89,416,134,118,406,,,142,230,134,108,,,,,4,4,4,1,,2,,0,98,87,87,88,80
File,"fontbox/src/main/java/org/apache/fontbox/afm/KernPair.java",fontbox/src/main/java/org/apache/fontbox/afm/KernPair.java,1,1,1,1,7,0,4,3,,,,1,0,0,,8,8,4,8,,0,0,0,8,,96,10,40,14,8,46,,,13,22,14,8,,,,,1,1,1,1,,0,,1,15,8,8,8,8
File,"fontbox/src/main/java/org/apache/fontbox/afm/Ligature.java",fontbox/src/main/java/org/apache/fontbox/afm/Ligature.java,1,1,1,1,7,0,4,3,,,,1,0,0,,4,4,2,4,,0,0,0,4,,62,6,22,8,4,34,,,7,12,8,4,,,,,1,1,1,1,,0,,1,55,4,4,4,4
File,"fontbox/src/main/java/org/apache/fontbox/afm/TrackKern.java",fontbox/src/main/java/org/apache/fontbox/afm/TrackKern.java,1,1,1,1,7,0,4,3,,,,1,0,0,,10,10,5,10,,0,0,0,10,,113,12,49,17,10,52,,,16,27,17,10,,,,,1,1,1,1,,0,,1,06,10,10,10,10
File,"fontbox/src/main/java/org/apache/fontbox/cff/AFMFormatter.java",fontbox/src/main/java/org/apache/fontbox/cff/AFMFormatter.java,1,1,1,1,12,0,11,0,,,,2,7,0,,9,2,4,9,,0,7,0,2,,168,13,123,37,61,32,,,61,80,35,53,,,,,3,3,3,1,,2,,0,26,14,14,14,9
File,"fontbox/src/main/java/org/apache/fontbox/cff/CFFDataInput.java",fontbox/src/main/java/org/apache/fontbox/cff/CFFDataInput.java,1,1,1,1,9,0,4,5,,,,1,0,0,,6,6,0,6,,0,0,0,6,,94,8,34,10,9,52,,,12,20,11,9,,,,,2,2,2,1,,1,,1,53,7,7,7,6
File,"fontbox/src/main/java/org/apache/fontbox/cff/CFFFont.java",fontbox/src/main/java/org/apache/fontbox/cff/CFFFont.java,1,1,1,1,11,0,7,3,,,,2,0,0,,32,32,12,32,,0,4,1,27,,461,43,272,88,127,146,,,121,177,92,114,,,,,11,11,11,11,,3,,0,54,54,54,54,46
File,"fontbox/src/main/java/org/apache/fontbox/cff/CFFFontROS.java",fontbox/src/main/java/org/apache/fontbox/cff/CFFFontROS.java,1,1,1,1,11,0,5,5,,,,1,0,0,,13,13,6,13,,0,0,0,13,,189,23,78,34,38,89,,,40,60,35,35,,,,,9,9,10,5,,3,,1,14,21,21,22,17
File,"fontbox/src/main/java/org/apache/fontbox/cff/CFFOperator.java",fontbox/src/main/java/org/apache/fontbox/cff/CFFOperator.java,1,1,1,1,7,0,4,2,,,,2,3,2,,19,16,3,19,,0,6,0,13,,261,26,159,34,85,76,,,87,110,33,80,,,,,2,2,2,1,,1,,0,48,21,21,21,19
File,"fontbox/src/main/java/org/apache/fontbox/cff/CFFParser.java",fontbox/src/main/java/org/apache/fontbox/cff/CFFParser.java,2,2,2,1,16,0,15,0,,,,18,10,0,,61,51,42,61,,3,31,0,27,,1295,119,1043,289,536,134,,,489,646,275,473,,,,,20,18,20,6,,4,,0,13,160,144,171,94
File,"fontbox/src/main/java/org/apache/fontbox/cff/CFFStandardString.java",fontbox/src/main/java/org/apache/fontbox/cff/CFFStandardString.java,1,1,1,1,6,0,3,2,,,,1,1,1,,2,1,0,2,,0,1,0,1,,435,4,405,397,392,26,,,3,6,5,1,,,,,1,1,1,1,,0,,0,06,2,2,2,2
File,"fontbox/src/main/java/org/apache/fontbox/cff/CIDKeyedFDSelect.java",fontbox/src/main/java/org/apache/fontbox/cff/CIDKeyedFDSelect.java,1,1,1,1,7,0,3,4,,,,1,0,0,,2,2,1,2,,0,0,0,2,,38,4,8,5,2,26,,,4,6,5,1,,,,,1,1,1,1,,0,,3,25,1,1,1,1
File,"fontbox/src/main/java/org/apache/fontbox/cff/CharStringCommand.java",fontbox/src/main/java/org/apache/fontbox/cff/CharStringCommand.java,1,1,1,1,9,0,5,3,,,,2,0,2,,16,16,2,16,,0,2,0,14,,307,28,189,33,110,90,,,111,135,31,106,,,,,4,4,6,4,,3,,0,48,22,22,24,21
File,"fontbox/src/main/java/org/apache/fontbox/cff/CharStringConverter.java",fontbox/src/main/java/org/apache/fontbox/cff/CharStringConverter.java,4,4,4,1,21,0,19,1,,,,1,1,0,,16,15,4,16,,0,12,0,4,,392,25,321,54,173,46,,,109,164,46,133,,,,,16,16,17,14,,2,,0,14,72,72,74,29
