Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"benchmark/src/main/java/org/apache/pdfbox/benchmark/LoadAndSave.java",benchmark/src/main/java/org/apache/pdfbox/benchmark/LoadAndSave.java,1,1,1,1,8,0,8,0,,,,1,0,2,,8,8,0,8,,0,0,0,8,,109,13,80,55,26,16,,,38,47,31,24,,,,,1,1,1,1,,0,,0,20,8,8,8,8
File,"benchmark/src/main/java/org/apache/pdfbox/benchmark/NullOutputStream.java",benchmark/src/main/java/org/apache/pdfbox/benchmark/NullOutputStream.java,1,1,1,1,4,0,3,1,,,,1,0,0,,3,3,0,3,,0,0,0,3,,38,5,14,10,0,19,,,3,7,7,0,,,,,1,1,1,1,,0,,1,36,3,3,3,3
File,"benchmark/src/main/java/org/apache/pdfbox/benchmark/Rendering.java",benchmark/src/main/java/org/apache/pdfbox/benchmark/Rendering.java,2,2,2,1,13,0,13,0,,,,1,0,4,,6,6,0,6,,0,0,0,6,,146,12,116,71,50,18,,,72,86,58,50,,,,,2,2,2,1,,1,,0,16,12,12,12,6
File,"benchmark/src/main/java/org/apache/pdfbox/benchmark/TextExtraction.java",benchmark/src/main/java/org/apache/pdfbox/benchmark/TextExtraction.java,1,1,1,1,11,0,11,0,,,,1,0,1,,2,2,0,2,,0,0,0,2,,66,8,42,29,16,16,,,27,30,22,14,,,,,1,1,1,1,,0,,0,38,2,2,2,2
Public Implicit Method,"clone()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,00,0,0,0,0
File,"debugger/src/main/java/org/apache/pdfbox/debugger/PDFDebugger.java",debugger/src/main/java/org/apache/pdfbox/debugger/PDFDebugger.java,2,2,2,1,20,1,17,1,,,,7,2,8,,67,60,27,62,,5,37,2,18,,1504,149,1235,333,618,121,,,591,761,323,535,,,,,13,13,13,9,,3,,0,10,170,170,195,99
File,"debugger/src/main/java/org/apache/pdfbox/debugger/colorpane/CSArrayBased.java",debugger/src/main/java/org/apache/pdfbox/debugger/colorpane/CSArrayBased.java,5,3,5,1,30,1,27,1,,,,1,0,0,,3,3,4,3,,0,1,0,2,,139,11,102,28,61,26,,,61,71,28,48,,,,,11,5,11,1,,2,,0,25,15,9,15,3
File,"debugger/src/main/java/org/apache/pdfbox/debugger/colorpane/CSDeviceN.java",debugger/src/main/java/org/apache/pdfbox/debugger/colorpane/CSDeviceN.java,1,1,1,1,14,0,10,3,,,,1,0,0,,5,5,2,5,,0,3,0,2,,119,12,69,32,33,38,,,50,57,33,31,,,,,2,2,2,1,,1,,0,55,6,6,6,5
File,"debugger/src/main/java/org/apache/pdfbox/debugger/colorpane/CSIndexed.java",debugger/src/main/java/org/apache/pdfbox/debugger/colorpane/CSIndexed.java,1,1,1,1,19,2,14,3,,,,1,0,0,,5,5,3,5,,0,3,0,2,,147,18,93,37,54,36,,,74,81,38,54,,,,,2,2,2,1,,1,,0,39,6,6,6,5
File,"debugger/src/main/java/org/apache/pdfbox/debugger/colorpane/CSSeparation.java",debugger/src/main/java/org/apache/pdfbox/debugger/colorpane/CSSeparation.java,1,1,1,1,19,1,15,2,,,,1,0,0,,10,10,6,10,,0,6,0,4,,264,30,188,62,114,46,,,137,150,59,110,,,,,3,3,3,1,,1,,0,24,13,13,13,10
File,"debugger/src/main/java/org/apache/pdfbox/debugger/colorpane/ColorBarCellRenderer.java",debugger/src/main/java/org/apache/pdfbox/debugger/colorpane/ColorBarCellRenderer.java,1,1,1,1,9,0,9,0,,,,1,0,0,,1,1,0,1,,0,0,0,1,,43,3,18,11,4,22,,,10,12,9,4,,,,,1,1,1,1,,0,,1,22,1,1,1,1
File,"debugger/src/main/java/org/apache/pdfbox/debugger/colorpane/DeviceNColorant.java",debugger/src/main/java/org/apache/pdfbox/debugger/colorpane/DeviceNColorant.java,1,1,1,1,4,0,3,0,,,,1,0,0,,7,7,3,7,,0,0,0,7,,66,9,35,13,6,22,,,11,19,13,6,,,,,1,1,1,1,,0,,0,63,7,7,7,7
