Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ant/src/main/java/org/apache/pdfbox/ant/PDFToTextTask.java",ant/src/main/java/org/apache/pdfbox/ant/PDFToTextTask.java,3,3,3,1,22,0,17,4,,,,1,0,0,,2,2,1,2,,0,0,0,2,,86,8,47,19,20,31,,,25,32,20,20,,,,,5,5,5,1,,4,,0,66,6,6,6,2
Public Implicit Method,"clone()",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,00,0,0,0,0
File,"fontbox/src/main/java/org/apache/fontbox/afm/AFMParser.java",fontbox/src/main/java/org/apache/fontbox/afm/AFMParser.java,5,5,6,1,41,0,34,6,,,,1,1,63,,18,17,2,18,,0,14,0,4,,1062,32,696,190,435,334,,,350,457,199,350,,,,,37,37,37,1,,3,,0,48,106,106,111,18
File,"fontbox/src/main/java/org/apache/fontbox/afm/CharMetric.java",fontbox/src/main/java/org/apache/fontbox/afm/CharMetric.java,1,1,1,1,7,0,4,3,,,,1,0,0,,29,29,14,29,,0,0,0,29,,285,37,137,48,30,111,,,47,77,48,30,,,,,1,1,1,1,,0,,0,81,29,29,29,29
File,"fontbox/src/main/java/org/apache/fontbox/afm/Composite.java",fontbox/src/main/java/org/apache/fontbox/afm/Composite.java,1,1,1,1,7,0,4,3,,,,1,0,0,,5,5,2,5,,0,0,0,5,,75,8,28,11,6,39,,,10,16,11,6,,,,,1,1,1,1,,0,,1,39,5,5,5,5
File,"fontbox/src/main/java/org/apache/fontbox/afm/CompositePart.java",fontbox/src/main/java/org/apache/fontbox/afm/CompositePart.java,1,1,1,1,7,0,4,3,,,,1,0,0,,6,6,3,6,,0,0,0,6,,79,8,31,11,6,40,,,10,17,11,6,,,,,1,1,1,1,,0,,1,29,6,6,6,6
File,"fontbox/src/main/java/org/apache/fontbox/afm/FontMetric.java",fontbox/src/main/java/org/apache/fontbox/afm/FontMetric.java,1,1,1,1,9,0,4,4,,,,1,0,0,,80,80,36,80,,0,0,0,80,,911,89,416,134,118,406,,,142,230,134,108,,,,,4,4,4,1,,2,,0,98,87,87,88,80
File,"fontbox/src/main/java/org/apache/fontbox/afm/KernPair.java",fontbox/src/main/java/org/apache/fontbox/afm/KernPair.java,1,1,1,1,7,0,4,3,,,,1,0,0,,8,8,4,8,,0,0,0,8,,96,10,40,14,8,46,,,13,22,14,8,,,,,1,1,1,1,,0,,1,15,8,8,8,8
File,"fontbox/src/main/java/org/apache/fontbox/afm/Ligature.java",fontbox/src/main/java/org/apache/fontbox/afm/Ligature.java,1,1,1,1,7,0,4,3,,,,1,0,0,,4,4,2,4,,0,0,0,4,,62,6,22,8,4,34,,,7,12,8,4,,,,,1,1,1,1,,0,,1,55,4,4,4,4
File,"fontbox/src/main/java/org/apache/fontbox/afm/TrackKern.java",fontbox/src/main/java/org/apache/fontbox/afm/TrackKern.java,1,1,1,1,7,0,4,3,,,,1,0,0,,10,10,5,10,,0,0,0,10,,113,12,49,17,10,52,,,16,27,17,10,,,,,1,1,1,1,,0,,1,06,10,10,10,10
File,"fontbox/src/main/java/org/apache/fontbox/cff/AFMFormatter.java",fontbox/src/main/java/org/apache/fontbox/cff/AFMFormatter.java,1,1,1,1,12,0,11,0,,,,2,7,0,,9,2,4,9,,0,7,0,2,,168,13,123,37,61,32,,,61,80,35,53,,,,,3,3,3,1,,2,,0,26,14,14,14,9
File,"fontbox/src/main/java/org/apache/fontbox/cff/CFFDataInput.java",fontbox/src/main/java/org/apache/fontbox/cff/CFFDataInput.java,1,1,1,1,9,0,4,5,,,,1,0,0,,6,6,0,6,,0,0,0,6,,94,8,34,10,9,52,,,12,20,11,9,,,,,2,2,2,1,,1,,1,53,7,7,7,6
File,"fontbox/src/main/java/org/apache/fontbox/cff/CFFFont.java",fontbox/src/main/java/org/apache/fontbox/cff/CFFFont.java,1,1,1,1,12,0,7,3,,,,2,0,0,,27,27,10,27,,0,4,0,23,,408,36,242,74,110,130,,,103,153,78,99,,,,,11,11,11,11,,3,,0,54,47,47,47,41
File,"fontbox/src/main/java/org/apache/fontbox/cff/CFFFontROS.java",fontbox/src/main/java/org/apache/fontbox/cff/CFFFontROS.java,1,1,1,1,11,0,5,5,,,,1,0,0,,13,13,6,13,,0,0,0,13,,189,23,78,34,38,89,,,40,60,35,35,,,,,9,9,10,5,,3,,1,14,21,21,22,17
File,"fontbox/src/main/java/org/apache/fontbox/cff/CFFOperator.java",fontbox/src/main/java/org/apache/fontbox/cff/CFFOperator.java,1,1,1,1,7,0,4,2,,,,2,3,2,,19,16,3,19,,0,6,0,13,,261,26,159,34,85,76,,,87,110,33,80,,,,,2,2,2,1,,1,,0,48,21,21,21,19
File,"fontbox/src/main/java/org/apache/fontbox/cff/CFFParser.java",fontbox/src/main/java/org/apache/fontbox/cff/CFFParser.java,2,2,2,1,15,0,13,0,,,,19,8,0,,61,53,47,61,,3,29,0,29,,1205,115,959,278,500,132,,,467,618,265,437,,,,,19,16,19,6,,4,,0,14,153,137,163,89
File,"fontbox/src/main/java/org/apache/fontbox/cff/CFFStandardString.java",fontbox/src/main/java/org/apache/fontbox/cff/CFFStandardString.java,1,1,1,1,6,0,3,2,,,,1,1,1,,2,1,0,2,,0,1,0,1,,435,4,405,397,392,26,,,3,6,5,1,,,,,1,1,1,1,,0,,0,06,2,2,2,2
File,"fontbox/src/main/java/org/apache/fontbox/cff/CIDKeyedFDSelect.java",fontbox/src/main/java/org/apache/fontbox/cff/CIDKeyedFDSelect.java,1,1,1,1,7,0,3,4,,,,1,0,0,,2,2,1,2,,0,0,0,2,,38,4,8,5,2,26,,,4,6,5,1,,,,,1,1,1,1,,0,,3,25,1,1,1,1
File,"fontbox/src/main/java/org/apache/fontbox/cff/CharStringCommand.java",fontbox/src/main/java/org/apache/fontbox/cff/CharStringCommand.java,1,1,1,1,9,0,5,3,,,,2,0,2,,16,16,2,16,,0,2,0,14,,307,28,189,33,110,90,,,111,135,31,106,,,,,4,4,6,4,,3,,0,48,22,22,24,21
File,"fontbox/src/main/java/org/apache/fontbox/cff/CharStringConverter.java",fontbox/src/main/java/org/apache/fontbox/cff/CharStringConverter.java,4,4,4,1,21,0,19,1,,,,1,1,0,,15,14,4,15,,0,12,0,3,,373,25,309,53,166,39,,,103,156,45,126,,,,,16,16,17,1,,2,,0,13,70,70,72,15
File,"fontbox/src/main/java/org/apache/fontbox/cff/CharStringHandler.java",fontbox/src/main/java/org/apache/fontbox/cff/CharStringHandler.java,3,3,3,1,21,0,16,5,,,,1,0,0,,2,2,0,2,,0,0,0,2,,58,3,22,10,8,33,,,11,15,10,7,,,,,3,3,3,1,,2,,1,50,3,3,3,1
File,"fontbox/src/main/java/org/apache/fontbox/cff/CharStringRenderer.java",fontbox/src/main/java/org/apache/fontbox/cff/CharStringRenderer.java,4,4,5,1,20,0,18,2,,,,1,0,0,,14,14,6,14,,0,8,0,6,,341,21,272,38,156,55,,,93,156,37,129,,,,,35,35,44,1,,2,,0,20,62,62,71,14
File,"fontbox/src/main/java/org/apache/fontbox/cff/DataInput.java",fontbox/src/main/java/org/apache/fontbox/cff/DataInput.java,1,1,1,1,11,0,6,4,,,,1,0,0,,12,12,2,12,,0,1,0,11,,178,15,89,27,35,74,,,34,52,28,31,,,,,2,2,2,1,,1,,0,83,17,17,17,12
File,"fontbox/src/main/java/org/apache/fontbox/cff/DataOutput.java",fontbox/src/main/java/org/apache/fontbox/cff/DataOutput.java,1,1,1,1,8,0,4,4,,,,1,0,0,,9,9,2,9,,0,0,0,9,,118,13,45,15,12,60,,,15,25,15,11,,,,,1,1,1,1,,0,,1,33,9,9,9,9
File,"fontbox/src/main/java/org/apache/fontbox/cff/Type1CharStringFormatter.java",fontbox/src/main/java/org/apache/fontbox/cff/Type1CharStringFormatter.java,3,3,4,1,22,0,20,1,,,,1,0,0,,3,3,1,3,,0,2,0,1,,102,7,69,18,36,26,,,32,44,20,26,,,,,4,4,7,1,,2,,0,38,10,10,13,3
File,"fontbox/src/main/java/org/apache/fontbox/cff/Type1CharStringParser.java",fontbox/src/main/java/org/apache/fontbox/cff/Type1CharStringParser.java,3,3,5,2,22,0,20,2,,,,1,0,0,,3,3,2,3,,0,2,0,1,,104,8,69,18,33,27,,,27,39,18,29,,,,,5,5,8,5,,2,,0,39,11,11,16,7
File,"fontbox/src/main/java/org/apache/fontbox/cff/Type1FontFormatter.java",fontbox/src/main/java/org/apache/fontbox/cff/Type1FontFormatter.java,2,2,2,1,26,3,21,0,,,,1,7,0,,8,1,0,8,,0,7,0,1,,249,41,181,38,122,27,,,99,121,39,95,,,,,6,6,6,4,,2,,0,15,21,21,23,11
File,"fontbox/src/main/java/org/apache/fontbox/cff/Type1FontUtil.java",fontbox/src/main/java/org/apache/fontbox/cff/Type1FontUtil.java,1,1,1,1,14,1,9,3,,,,1,8,0,,9,1,0,9,,0,3,0,6,,164,24,86,26,41,54,,,45,62,31,34,,,,,3,3,3,1,,2,,0,63,16,16,16,9
File,"fontbox/src/main/java/org/apache/fontbox/cff/Type2CharStringParser.java",fontbox/src/main/java/org/apache/fontbox/cff/Type2CharStringParser.java,4,4,6,2,30,4,24,1,,,,1,0,0,,5,5,4,5,,0,4,0,1,,192,32,131,30,69,30,,,57,81,32,63,,,,,6,6,11,6,,2,,0,23,23,23,34,14
File,"fontbox/src/main/java/org/apache/fontbox/cff/charset/CFFCharset.java",fontbox/src/main/java/org/apache/fontbox/cff/charset/CFFCharset.java,1,1,1,1,9,0,5,4,,,,2,0,0,,10,10,3,10,,0,0,1,9,,149,13,67,18,18,69,,,19,37,20,18,,,,,3,3,3,3,,2,,1,03,14,14,14,14
File,"fontbox/src/main/java/org/apache/fontbox/cff/charset/CFFExpertCharset.java",fontbox/src/main/java/org/apache/fontbox/cff/charset/CFFExpertCharset.java,1,1,1,1,5,0,3,2,,,,1,1,1,,2,1,0,2,,0,1,0,1,,211,5,180,6,167,26,,,168,171,5,167,,,,,1,1,1,1,,0,,0,14,2,2,2,2
File,"fontbox/src/main/java/org/apache/fontbox/cff/charset/CFFExpertSubsetCharset.java",fontbox/src/main/java/org/apache/fontbox/cff/charset/CFFExpertSubsetCharset.java,1,1,1,1,5,0,3,2,,,,1,1,1,,2,1,0,2,,0,1,0,1,,133,6,101,6,88,26,,,89,92,5,88,,,,,1,1,1,1,,0,,0,26,2,2,2,2
File,"fontbox/src/main/java/org/apache/fontbox/cff/charset/CFFISOAdobeCharset.java",fontbox/src/main/java/org/apache/fontbox/cff/charset/CFFISOAdobeCharset.java,1,1,1,1,5,0,3,2,,,,1,1,1,,2,1,0,2,,0,1,0,1,,275,6,243,6,230,26,,,231,234,5,230,,,,,1,1,1,1,,0,,0,11,2,2,2,2
File,"fontbox/src/main/java/org/apache/fontbox/cff/encoding/CFFEncoding.java",fontbox/src/main/java/org/apache/fontbox/cff/encoding/CFFEncoding.java,1,1,1,1,9,0,5,4,,,,2,0,0,,10,10,3,10,,0,0,1,9,,150,14,67,18,18,69,,,19,37,20,18,,,,,3,3,3,3,,2,,1,03,14,14,14,14
File,"fontbox/src/main/java/org/apache/fontbox/cff/encoding/CFFExpertEncoding.java",fontbox/src/main/java/org/apache/fontbox/cff/encoding/CFFExpertEncoding.java,1,1,1,1,5,0,3,2,,,,1,1,1,,2,1,0,2,,0,1,0,1,,302,5,271,6,258,26,,,259,262,5,258,,,,,1,1,1,1,,0,,0,10,2,2,2,2
File,"fontbox/src/main/java/org/apache/fontbox/cff/encoding/CFFStandardEncoding.java",fontbox/src/main/java/org/apache/fontbox/cff/encoding/CFFStandardEncoding.java,1,1,1,1,5,0,3,2,,,,1,1,1,,2,1,0,2,,0,1,0,1,,302,5,271,6,258,26,,,259,262,5,258,,,,,1,1,1,1,,0,,0,10,2,2,2,2
File,"fontbox/src/main/java/org/apache/fontbox/cmap/CMap.java",fontbox/src/main/java/org/apache/fontbox/cmap/CMap.java,1,1,1,1,14,0,7,6,,,,1,0,0,,10,10,3,10,,0,0,0,10,,189,14,90,27,36,85,,,36,53,27,31,,,,,3,3,4,3,,2,,0,94,16,16,17,12
File,"fontbox/src/main/java/org/apache/fontbox/cmap/CMapParser.java",fontbox/src/main/java/org/apache/fontbox/cmap/CMapParser.java,5,3,6,1,32,0,28,2,,,,3,1,7,,15,14,3,15,,0,11,0,4,,561,35,462,106,263,64,,,208,271,112,200,,,,,34,21,46,4,,7,,0,14,76,59,94,18
File,"fontbox/src/main/java/org/apache/fontbox/cmap/CodespaceRange.java",fontbox/src/main/java/org/apache/fontbox/cmap/CodespaceRange.java,2,2,2,2,13,0,8,4,,,,1,0,0,,6,6,2,6,,0,0,0,6,,115,9,57,14,19,49,,,19,33,16,17,,,,,8,8,9,8,,3,,0,86,13,13,14,13
File,"fontbox/src/main/java/org/apache/fontbox/encoding/Encoding.java",fontbox/src/main/java/org/apache/fontbox/encoding/Encoding.java,1,1,1,1,16,0,7,8,,,,1,1,2,,6,5,2,6,,0,0,1,5,,148,12,56,19,23,80,,,23,34,19,23,,,,,2,2,2,1,,1,,1,43,10,10,10,6
File,"fontbox/src/main/java/org/apache/fontbox/encoding/MacRomanEncoding.java",fontbox/src/main/java/org/apache/fontbox/encoding/MacRomanEncoding.java,1,1,1,1,213,0,210,3,,,,1,0,0,,1,1,0,1,,0,0,0,1,,240,1,214,3,207,25,,,208,210,3,207,,,,,1,1,1,1,,0,,0,12,1,1,1,1
File,"fontbox/src/main/java/org/apache/fontbox/pfb/PfbParser.java",fontbox/src/main/java/org/apache/fontbox/pfb/PfbParser.java,1,1,1,1,13,0,8,4,,,,1,0,6,,8,8,2,8,,0,2,0,6,,197,22,85,34,38,90,,,44,58,34,29,,,,,5,5,5,1,,2,,1,06,13,13,13,8
File,"fontbox/src/main/java/org/apache/fontbox/ttf/CMAPEncodingEntry.java",fontbox/src/main/java/org/apache/fontbox/ttf/CMAPEncodingEntry.java,2,2,2,1,18,0,13,4,,,,2,0,0,,14,14,9,14,,0,5,0,9,,320,24,203,68,105,96,,,110,143,75,95,,,,,17,17,18,1,,7,,0,47,31,31,32,14
File,"fontbox/src/main/java/org/apache/fontbox/ttf/CMAPTable.java",fontbox/src/main/java/org/apache/fontbox/ttf/CMAPTable.java,1,1,1,1,12,0,8,4,,,,1,0,9,,3,3,1,3,,0,0,0,3,,108,7,39,19,20,62,,,25,31,21,13,,,,,3,3,3,1,,1,,1,59,5,5,5,3
File,"fontbox/src/main/java/org/apache/fontbox/ttf/DigitalSignatureTable.java",fontbox/src/main/java/org/apache/fontbox/ttf/DigitalSignatureTable.java,0,0,0,0,0,0,0,0,,,,1,0,1,,0,0,0,0,,0,0,0,0,,31,1,5,3,1,25,,,2,3,3,0,,,,,0,0,0,0,,0,,5,00,0,0,0,0
File,"fontbox/src/main/java/org/apache/fontbox/ttf/GlyphData.java",fontbox/src/main/java/org/apache/fontbox/ttf/GlyphData.java,1,1,1,1,13,0,4,7,,,,1,0,5,,5,5,7,5,,0,0,0,5,,111,10,42,21,15,59,,,24,30,21,10,,,,,1,1,1,1,,0,,1,40,5,5,5,5
File,"fontbox/src/main/java/org/apache/fontbox/ttf/GlyphTable.java",fontbox/src/main/java/org/apache/fontbox/ttf/GlyphTable.java,1,1,1,1,12,0,8,4,,,,1,0,1,,3,3,1,3,,0,0,0,3,,74,4,32,15,15,38,,,19,24,16,15,,,,,2,2,2,1,,1,,1,19,4,4,4,3
File,"fontbox/src/main/java/org/apache/fontbox/ttf/HeaderTable.java",fontbox/src/main/java/org/apache/fontbox/ttf/HeaderTable.java,1,1,1,1,7,0,4,3,,,,1,0,1,,35,35,17,35,,0,0,0,35,,318,4,180,57,52,134,,,72,108,57,51,,,,,1,1,1,1,,0,,0,74,35,35,35,35
File,"fontbox/src/main/java/org/apache/fontbox/ttf/HorizontalHeaderTable.java",fontbox/src/main/java/org/apache/fontbox/ttf/HorizontalHeaderTable.java,1,1,1,1,7,0,4,3,,,,1,0,1,,35,35,17,35,,0,0,0,35,,318,5,179,56,52,134,,,71,107,56,51,,,,,1,1,1,1,,0,,0,75,35,35,35,35
File,"fontbox/src/main/java/org/apache/fontbox/ttf/HorizontalMetricsTable.java",fontbox/src/main/java/org/apache/fontbox/ttf/HorizontalMetricsTable.java,1,1,1,1,14,0,9,4,,,,1,0,1,,3,3,3,3,,0,0,0,3,,81,6,37,15,16,38,,,23,29,17,16,,,,,3,3,3,1,,1,,1,03,5,5,5,3
File,"fontbox/src/main/java/org/apache/fontbox/ttf/IndexToLocationTable.java",fontbox/src/main/java/org/apache/fontbox/ttf/IndexToLocationTable.java,2,2,2,1,14,0,10,4,,,,1,0,3,,3,3,1,3,,0,0,0,3,,82,5,39,13,16,38,,,17,24,14,13,,,,,4,4,4,1,,2,,0,97,6,6,6,3
File,"fontbox/src/main/java/org/apache/fontbox/ttf/MaximumProfileTable.java",fontbox/src/main/java/org/apache/fontbox/ttf/MaximumProfileTable.java,1,1,1,1,7,0,4,3,,,,1,0,1,,31,31,15,31,,0,0,0,31,,286,5,159,50,46,122,,,63,95,50,45,,,,,1,1,1,1,,0,,0,77,31,31,31,31
File,"fontbox/src/main/java/org/apache/fontbox/ttf/MemoryTTFDataStream.java",fontbox/src/main/java/org/apache/fontbox/ttf/MemoryTTFDataStream.java,1,1,1,1,14,0,8,5,,,,1,0,0,,11,11,2,11,,0,0,0,11,,205,16,104,36,43,85,,,41,60,33,37,,,,,3,3,3,1,,2,,0,82,17,17,17,11
File,"fontbox/src/main/java/org/apache/fontbox/ttf/NameRecord.java",fontbox/src/main/java/org/apache/fontbox/ttf/NameRecord.java,1,1,1,1,7,0,4,3,,,,1,0,14,,16,16,7,16,,0,0,0,16,,228,11,99,40,39,118,,,44,61,40,21,,,,,1,1,1,1,,0,,1,19,16,16,16,16
File,"fontbox/src/main/java/org/apache/fontbox/ttf/NamingTable.java",fontbox/src/main/java/org/apache/fontbox/ttf/NamingTable.java,4,4,5,1,29,0,22,6,,,,1,0,1,,2,2,1,2,,0,0,0,2,,98,6,54,18,27,38,,,28,38,20,27,,,,,8,8,9,1,,3,,0,70,9,9,10,2
File,"fontbox/src/main/java/org/apache/fontbox/ttf/OS2WindowsMetricsTable.java",fontbox/src/main/java/org/apache/fontbox/ttf/OS2WindowsMetricsTable.java,1,1,1,1,7,0,4,3,,,,1,0,30,,65,65,32,65,,0,0,0,65,,680,8,361,130,130,311,,,160,227,130,97,,,,,2,2,2,1,,1,,0,86,66,66,66,65
File,"fontbox/src/main/java/org/apache/fontbox/ttf/PostScriptTable.java",fontbox/src/main/java/org/apache/fontbox/ttf/PostScriptTable.java,1,1,1,1,11,0,7,3,,,,1,0,1,,21,21,10,21,,0,0,0,21,,288,8,183,49,73,97,,,81,118,55,72,,,,,16,16,17,1,,3,,0,53,36,36,37,21
File,"fontbox/src/main/java/org/apache/fontbox/ttf/RAFDataStream.java",fontbox/src/main/java/org/apache/fontbox/ttf/RAFDataStream.java,1,1,1,1,11,0,4,6,,,,1,0,0,,11,11,2,11,,0,0,0,11,,168,13,61,24,15,94,,,22,34,21,13,,,,,1,1,1,1,,0,,1,54,11,11,11,11
