Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"com",,0,0,0,0,0,0,0,0,,,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,,0,,0,00,0,0,0,0
Package,"com.yahoo",,0,0,0,0,0,0,0,0,,,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,,0,,0,00,0,0,0,0
Package,"com.yahoo.platform",,0,0,0,0,0,0,0,0,,,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,,0,,0,00,0,0,0,0
Package,"com.yahoo.platform.yui",,0,0,0,0,0,0,0,0,,,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,,0,,0,00,0,0,0,0
Package,"com.yahoo.platform.yui.compressor",wro4j-extensions/src/main/java/com/yahoo/platform/yui/compressor/CssCompressor.java,4,4,5,1,28,3,20,3,,,,5,9,9,5,,42,24,51,,20,27,0,4,,1864,283,1317,241,964,267,,,838,1053,246,877,,,,,43,28,66,14,,6,,0,20,239,205,298,88
Public Class,"com.yahoo.platform.yui.compressor.CssCompressor",wro4j-extensions/src/main/java/com/yahoo/platform/yui/compressor/CssCompressor.java,13,13,14,2,133,20,86,27,1,9,0,,0,0,,,2,1,2,14,0,0,0,2,,272,44,176,27,140,55,,,126,153,26,140,,,,,24,24,27,4,1,4,0,0,31,26,26,29,5
Public Constructor,"com.yahoo.platform.yui.compressor.CssCompressor.CssCompressor(Reader)",wro4j-extensions/src/main/java/com/yahoo/platform/yui/compressor/CssCompressor.java,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,6,2,2,1,3,2,2,4,2,2,2,2,2,1,,,,,,1,,0,17,2,2,2,1
Public Method,"com.yahoo.platform.yui.compressor.CssCompressor.compress(Writer,int)",wro4j-extensions/src/main/java/com/yahoo/platform/yui/compressor/CssCompressor.java,,,,,,,,,,,,,,,,,,,,,,,,,5,259,41,167,23,137,54,37,156672,123,147,22,137,24,24,27,4,,,,,,4,,0,32,24,24,27,4
Public Class,"com.yahoo.platform.yui.compressor.JavaScriptCompressor",wro4j-extensions/src/main/java/com/yahoo/platform/yui/compressor/JavaScriptCompressor.java,6,5,8,2,37,5,27,4,1,27,0,,9,9,,,18,10,27,39,0,25,0,2,,1299,190,945,130,735,164,,,599,745,135,655,,,,,43,28,66,14,1,6,80,0,17,174,140,230,61
Public Constructor,"com.yahoo.platform.yui.compressor.JavaScriptCompressor.JavaScriptCompressor(Reader,ErrorReporter)",wro4j-extensions/src/main/java/com/yahoo/platform/yui/compressor/JavaScriptCompressor.java,,,,,,,,,,,,,,,,,,,,,,,,,3,6,1,5,2,2,0,4,1,2,3,1,2,1,1,1,1,,,,,,0,,0,00,1,1,1,1
