Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"com",,0,0,0,0,0,0,0,0,,,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,,0,,0,00,0,0,0,0
Package,"com.yahoo",,0,0,0,0,0,0,0,0,,,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,,0,,0,00,0,0,0,0
Package,"com.yahoo.platform",,0,0,0,0,0,0,0,0,,,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,,0,,0,00,0,0,0,0
Package,"com.yahoo.platform.yui",,0,0,0,0,0,0,0,0,,,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,,0,,0,00,0,0,0,0
Package,"com.yahoo.platform.yui.compressor",wro4j-extensions/src/main/java/com/yahoo/platform/yui/compressor/CssCompressor.java,4,4,6,2,28,3,21,3,,,,5,9,9,5,,42,24,51,,20,27,0,4,,1903,277,1365,250,995,265,,,862,1082,255,901,,,,,48,30,74,15,,6,,0,19,252,212,314,103
Public Class,"com.yahoo.platform.yui.compressor.CssCompressor",wro4j-extensions/src/main/java/com/yahoo/platform/yui/compressor/CssCompressor.java,13,13,15,2,142,20,87,35,1,9,0,,0,0,,,2,1,2,14,0,0,0,2,,290,44,178,27,142,71,,,127,155,26,142,,,,,25,25,28,4,1,4,0,0,40,27,27,30,5
Public Constructor,"com.yahoo.platform.yui.compressor.CssCompressor.CssCompressor(Reader)",wro4j-extensions/src/main/java/com/yahoo/platform/yui/compressor/CssCompressor.java,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,6,2,2,1,3,2,2,4,2,2,2,2,2,1,,,,,,1,,0,17,2,2,2,1
Public Method,"com.yahoo.platform.yui.compressor.CssCompressor.compress(Writer,int)",wro4j-extensions/src/main/java/com/yahoo/platform/yui/compressor/CssCompressor.java,,,,,,,,,,,,,,,,,,,,,,,,,5,277,41,169,23,139,70,38,208896,124,149,22,139,25,25,28,4,,,,,,4,,0,41,25,25,28,4
Public Class,"com.yahoo.platform.yui.compressor.JavaScriptCompressor",wro4j-extensions/src/main/java/com/yahoo/platform/yui/compressor/JavaScriptCompressor.java,6,5,9,2,37,5,28,3,1,34,0,,9,9,,,18,10,27,39,0,25,0,2,,1316,190,986,134,764,141,,,617,767,139,677,,,,,48,30,74,15,1,6,80,0,14,186,146,245,76
Public Constructor,"com.yahoo.platform.yui.compressor.JavaScriptCompressor.JavaScriptCompressor(Reader,ErrorReporter)",wro4j-extensions/src/main/java/com/yahoo/platform/yui/compressor/JavaScriptCompressor.java,,,,,,,,,,,,,,,,,,,,,,,,,3,6,1,5,2,2,0,4,1,2,3,1,2,1,1,1,1,,,,,,0,,0,00,1,1,1,1
