Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"com",,0,0,0,0,0,0,0,0,,,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,,0,,0,00,0,0,0,0
Package,"com.yahoo",,0,0,0,0,0,0,0,0,,,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,,0,,0,00,0,0,0,0
Package,"com.yahoo.platform",,0,0,0,0,0,0,0,0,,,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,,0,,0,00,0,0,0,0
Package,"com.yahoo.platform.yui",,0,0,0,0,0,0,0,0,,,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,,0,,0,00,0,0,0,0
Package,"com.yahoo.platform.yui.compressor",wro4j-extensions/src/main/java/com/yahoo/platform/yui/compressor/Configuration.java,3,2,4,1,18,2,14,2,,,,7,9,9,7,,76,37,85,,20,27,0,38,,2087,324,1495,300,1041,272,,,910,1174,304,945,,,,,43,28,66,14,,6,,0,18,286,252,348,122
Public Class,"com.yahoo.platform.yui.compressor.Configuration",wro4j-extensions/src/main/java/com/yahoo/platform/yui/compressor/Configuration.java,1,1,1,1,4,0,4,0,2,10,0,,0,0,,,31,13,31,43,0,0,0,31,,197,37,156,46,67,5,,,60,105,45,60,,,,,4,4,5,1,1,2,93,0,03,44,44,47,31
Public Method,"com.yahoo.platform.yui.compressor.Configuration.clone()",wro4j-extensions/src/main/java/com/yahoo/platform/yui/compressor/Configuration.java,,,,,,,,,,,,,,,,,,,,,,,,,0,8,0,8,2,4,0,2,2,2,4,1,3,2,2,2,1,,,,,,1,,0,00,2,2,2,1
Public Method,"com.yahoo.platform.yui.compressor.Configuration.getCharset()",wro4j-extensions/src/main/java/com/yahoo/platform/yui/compressor/Configuration.java,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Method,"com.yahoo.platform.yui.compressor.Configuration.getFiles()",wro4j-extensions/src/main/java/com/yahoo/platform/yui/compressor/Configuration.java,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Method,"com.yahoo.platform.yui.compressor.Configuration.getInputType()",wro4j-extensions/src/main/java/com/yahoo/platform/yui/compressor/Configuration.java,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,1,2,1,1,1,1,1,1,,,,,,0,,0,00,1,1,1,1
