Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"ro",,0,0,0,0,0,0,0,0,,,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,,0,,0,00,0,0,0,0
Package,"ro.isdc",,0,0,0,0,0,0,0,0,,,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,,0,,0,00,0,0,0,0
Package,"ro.isdc.wro",wro4j-core/src/main/java/ro/isdc/wro/WroRuntimeException.java,1,1,1,1,10,0,5,5,,,,2,0,2,2,,6,1,6,,0,1,1,4,,134,15,59,37,19,60,,,38,46,34,16,,,,,1,1,1,1,,0,,1,02,6,6,6,6
Public Abstract Class,"ro.isdc.wro.AbstractWroTest",wro4j-core/src/test/java/ro/isdc/wro/AbstractWroTest.java,1,1,1,1,12,0,6,6,1,16,16,,0,0,,,4,1,4,16,0,1,1,2,,66,5,27,12,13,34,,,12,17,9,11,,,,,1,1,1,1,1,0,25,1,26,4,4,4,4
Protected Method,"ro.isdc.wro.AbstractWroTest.compareProcessedResourceContents(String,String,ResourceProcessor)",wro4j-core/src/test/java/ro/isdc/wro/AbstractWroTest.java,,,,,,,,,,,,,,,,,,,,,,,,,24,19,0,8,5,4,11,2,1,3,4,3,3,1,1,1,1,,,,,,0,,1,38,1,1,1,1
Public Method,"ro.isdc.wro.AbstractWroTest.getInputStream(String)",wro4j-core/src/test/java/ro/isdc/wro/AbstractWroTest.java,,,,,,,,,,,,,,,,,,,,,,,,,4,8,0,3,1,1,5,3,1,1,2,1,1,1,1,1,1,,,,,,0,,1,67,1,1,1,1
Private Method,"ro.isdc.wro.AbstractWroTest.getReaderFromUri(String)",wro4j-core/src/test/java/ro/isdc/wro/AbstractWroTest.java,,,,,,,,,,,,,,,,,,,,,,,,,3,9,0,4,1,2,5,5,1,1,2,1,1,1,1,1,1,,,,,,0,,1,25,1,1,1,1
Public Method,"ro.isdc.wro.AbstractWroTest.initUriLocatorFactory()",wro4j-core/src/test/java/ro/isdc/wro/AbstractWroTest.java,,,,,,,,,,,,,,,,,,,,,,,,,1,13,0,9,3,6,4,4,1,6,7,2,6,1,1,1,1,,,,,,0,,0,44,1,1,1,1
Public Class,"ro.isdc.wro.WroRuntimeException",wro4j-core/src/main/java/ro/isdc/wro/WroRuntimeException.java,1,1,1,1,7,0,4,3,1,5,3,,0,2,,,2,0,2,50,0,0,0,2,,35,3,12,5,6,20,,,6,9,5,5,,,,,1,1,1,1,1,0,0,1,67,2,2,2,2
Public Constructor,"ro.isdc.wro.WroRuntimeException.WroRuntimeException(String)",wro4j-core/src/main/java/ro/isdc/wro/WroRuntimeException.java,,,,,,,,,,,,,,,,,,,,,,,,,17,7,0,4,1,2,3,6,1,2,3,1,2,1,1,1,1,,,,,,0,,0,75,1,1,1,1
