Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"ro",,0,0,0,0,0,0,0,0,,,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,,0,,0,00,0,0,0,0
Package,"ro.isdc",,0,0,0,0,0,0,0,0,,,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,,0,,0,00,0,0,0,0
Package,"ro.isdc.wro",wro4j-core/src/main/java/ro/isdc/wro/WroRuntimeException.java,1,1,1,1,8,0,4,3,,,,2,2,2,2,,5,0,7,,0,0,0,7,,98,12,46,25,19,40,,,24,34,23,16,,,,,2,2,2,1,,1,,0,87,8,8,8,7
Public Class,"ro.isdc.wro.TestWroRuntimeException",wro4j-core/src/test/java/ro/isdc/wro/TestWroRuntimeException.java,1,1,1,1,7,0,7,0,1,7,0,,0,0,,,2,0,2,14,0,0,0,2,,20,1,16,11,8,3,,,8,11,9,6,,,,,1,1,1,1,1,0,0,0,19,2,2,2,2
Public Method,"ro.isdc.wro.TestWroRuntimeException.shouldNotWrapWhenExceptionIsAWroRuntimeException()",wro4j-core/src/test/java/ro/isdc/wro/TestWroRuntimeException.java,,,,,,,,,,,,,,,,,,,,,,,,,0,7,0,7,5,4,0,3,1,4,5,4,3,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Method,"ro.isdc.wro.TestWroRuntimeException.shouldPreserveOriginalExceptionMessageWhenWrap()",wro4j-core/src/test/java/ro/isdc/wro/TestWroRuntimeException.java,,,,,,,,,,,,,,,,,,,,,,,,,0,7,0,7,5,4,0,4,1,4,5,4,3,1,1,1,1,,,,,,0,,0,00,1,1,1,1
Public Class,"ro.isdc.wro.WroRuntimeException",wro4j-core/src/main/java/ro/isdc/wro/WroRuntimeException.java,1,1,1,1,8,0,4,4,1,4,6,,2,2,,,3,0,5,53,0,0,0,5,,63,5,24,8,11,34,,,10,17,8,10,,,,,2,2,2,1,1,1,0,1,42,6,6,6,5
Public Constructor,"ro.isdc.wro.WroRuntimeException.WroRuntimeException(String)",wro4j-core/src/main/java/ro/isdc/wro/WroRuntimeException.java,,,,,,,,,,,,,,,,,,,,,,,,,48,6,0,3,1,1,3,2,1,1,2,1,1,1,1,1,1,,,,,,0,,1,00,1,1,1,1
Public Constructor,"ro.isdc.wro.WroRuntimeException.WroRuntimeException(String,Throwable)",wro4j-core/src/main/java/ro/isdc/wro/WroRuntimeException.java,,,,,,,,,,,,,,,,,,,,,,,,,28,8,0,4,1,2,4,3,1,2,3,1,2,1,1,1,1,,,,,,0,,1,00,1,1,1,1
Public Method,"ro.isdc.wro.WroRuntimeException.logError()",wro4j-core/src/main/java/ro/isdc/wro/WroRuntimeException.java,,,,,,,,,,,,,,,,,,,,,,,,,5,7,0,4,1,2,3,3,1,2,3,1,2,1,1,1,1,,,,,,0,,0,75,1,1,1,1
