project,commit,commitprevious,release,file,method,BOM,TACH,FCH,LCH,CHO,FRCH,CHD,WCH,WCD,WFR,ATAF,LCA,LCD,CSB,CSBS,ACDF
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVRecordTest.java,/src/test/java/org/apache/commons/csv/CSVRecordTest/testIsSet(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVRecordTest.java,/src/test/java/org/apache/commons/csv/CSVRecordTest/testToMapWithNoHeader(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVRecordTest.java,/src/test/java/org/apache/commons/csv/CSVRecordTest/testIsMapped(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVRecordTest.java,/src/test/java/org/apache/commons/csv/CSVRecordTest/testGetUnmappedEnum(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVRecordTest.java,/src/test/java/org/apache/commons/csv/CSVRecordTest/testGetUnmappedName(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVRecordTest.java,"/src/test/java/org/apache/commons/csv/CSVRecordTest/validateMap(Map, boolean)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVRecordTest.java,/src/test/java/org/apache/commons/csv/CSVRecordTest/testGetUnmappedNegativeInt(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVRecordTest.java,/src/test/java/org/apache/commons/csv/CSVRecordTest/testIsConsistent(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVRecordTest.java,/src/test/java/org/apache/commons/csv/CSVRecordTest/testPutInMap(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons-csv,222426dd79ed51fae3f3b372f12bdd35a6121e65,,1,/users/farah/cpmp/5.evometrics/projectA/src/test/java/org/apache/commons/csv/CSVRecordTest.java,/src/test/java/org/apache/commons/csv/CSVRecordTest/testGetUnmappedPositiveInt(),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
