metrics,count,percent
tryCatchQty,1,0.3
numbersQty,1,0.3
methodsInvokedIndirectLocalQty,1,0.3
loc,1,0.3
fanin,1,0.3
comparisonsQty,1,0.3
assignmentsQty,1,0.3
SumEssential,1,0.3
CyclomaticModified,1,0.3
Cyclomatic,1,0.3
CountStmtDecl,1,0.3
CountPath,1,0.3
CountLineCodeDecl,1,0.3
variablesQty,2,0.6
stringLiteralsQty,2,0.6
rfc,2,0.6
methodsInvokedQty,2,0.6
methodsInvokedLocalQty,2,0.6
fanout,2,0.6
cbo,2,0.6
WFR,2,0.6
SumCyclomaticModified,2,0.6
LCH,2,0.6
LCD,2,0.6
LCA,2,0.6
FCH,2,0.6
CSBS,2,0.6
CSB,2,0.6
BOM,2,0.6
returnsQty,3,0.9
modifiers,3,0.9
loopQty,3,0.9
lambdasQty,3,0.9
WCH,3,0.9
WCD,3,0.9
SumCyclomaticStrict,3,0.9
parenthesizedExpsQty,4,1.2
parametersQty,4,1.2
logStatementsQty,4,1.2
hasJavaDoc,4,1.2
anonymousClassesQty,4,1.2
MaxNesting,4,1.2
CountLineBlank,4,1.2
maxNestedBlocksQty,5,1.5
mathOperationsQty,5,1.5
FRCH,5,1.5
ATAF,5,1.5
ACDF,5,1.5
innerClassesQty,6,1.9
TACH,6,1.9
PercentLackOfCohesion,6,1.9
MaxInheritanceTree,6,1.9
MaxEssential,6,1.9
MaxCyclomaticStrict,6,1.9
MaxCyclomaticModified,6,1.9
MaxCyclomatic,6,1.9
CountDeclMethodPublic,6,1.9
CountDeclMethodProtected,6,1.9
CountDeclMethodPrivate,6,1.9
CountDeclMethodDefault,6,1.9
CountDeclMethodAll,6,1.9
CountDeclMethod,6,1.9
CountDeclInstanceVariable,6,1.9
CountDeclInstanceMethod,6,1.9
CountDeclFunction,6,1.9
CountDeclFile,6,1.9
CountDeclClassVariable,6,1.9
CountDeclClassMethod,6,1.9
CountDeclClass,6,1.9
CountClassDerived,6,1.9
CountClassCoupled,6,1.9
CountClassBase,6,1.9
CHO,6,1.9
CHD,6,1.9
AvgLineComment,6,1.9
AvgLineCode,6,1.9
AvgLineBlank,6,1.9
AvgLine,6,1.9
AvgEssential,6,1.9
AvgCyclomaticStrict,6,1.9
AvgCyclomaticModified,6,1.9
AvgCyclomatic,6,1.9
