position,metric,information_gain,total_ocurences,rank,application
0,ATAF,0.06334273379905675,,1.0,Openfire
1,anonymousClassesQty,0.06334273379905674,,2.0,Openfire
2,FRCH,0.06334273379905671,,3.0,Openfire
3,fanin,0.06334273379905639,,4.0,Openfire
4,maxNestedBlocksQty,0.06334273379905637,,5.0,Openfire
5,MaxNesting,0.06334273379905611,,6.0,Openfire
6,rfc,0.06334273379905514,,7.0,Openfire
7,methodsInvokedQty,0.06334273379905514,,7.0,Openfire
8,logStatementsQty,0.06334273379905503,,8.0,Openfire
9,returnsQty,0.06334273379905501,,9.0,Openfire
10,innerClassesQty,0.063342733799055,,10.0,Openfire
11,AvgCyclomatic,0.063342733799055,,10.0,Openfire
12,AvgCyclomaticModified,0.063342733799055,,10.0,Openfire
13,AvgCyclomaticStrict,0.063342733799055,,10.0,Openfire
14,AvgEssential,0.063342733799055,,10.0,Openfire
15,AvgLine,0.063342733799055,,10.0,Openfire
16,AvgLineBlank,0.063342733799055,,10.0,Openfire
17,AvgLineCode,0.063342733799055,,10.0,Openfire
18,AvgLineComment,0.063342733799055,,10.0,Openfire
19,CountClassBase,0.063342733799055,,10.0,Openfire
20,CountClassCoupled,0.063342733799055,,10.0,Openfire
21,CountClassDerived,0.063342733799055,,10.0,Openfire
22,CountDeclClass,0.063342733799055,,10.0,Openfire
23,CountDeclClassMethod,0.063342733799055,,10.0,Openfire
24,CountDeclClassVariable,0.063342733799055,,10.0,Openfire
25,CountDeclFile,0.063342733799055,,10.0,Openfire
26,CountDeclFunction,0.063342733799055,,10.0,Openfire
27,CountDeclInstanceMethod,0.063342733799055,,10.0,Openfire
28,CountDeclInstanceVariable,0.063342733799055,,10.0,Openfire
29,CountDeclMethod,0.063342733799055,,10.0,Openfire
30,CountDeclMethodAll,0.063342733799055,,10.0,Openfire
31,CountDeclMethodDefault,0.063342733799055,,10.0,Openfire
32,CountDeclMethodPrivate,0.063342733799055,,10.0,Openfire
33,CountDeclMethodProtected,0.063342733799055,,10.0,Openfire
34,CountDeclMethodPublic,0.063342733799055,,10.0,Openfire
35,MaxCyclomatic,0.063342733799055,,10.0,Openfire
36,MaxCyclomaticModified,0.063342733799055,,10.0,Openfire
37,MaxCyclomaticStrict,0.063342733799055,,10.0,Openfire
38,MaxEssential,0.063342733799055,,10.0,Openfire
39,MaxInheritanceTree,0.063342733799055,,10.0,Openfire
40,PercentLackOfCohesion,0.063342733799055,,10.0,Openfire
41,TACH,0.063342733799055,,10.0,Openfire
42,FCH,0.063342733799055,,10.0,Openfire
43,LCH,0.063342733799055,,10.0,Openfire
44,CHO,0.063342733799055,,10.0,Openfire
45,CHD,0.063342733799055,,10.0,Openfire
46,WCH,0.063342733799055,,10.0,Openfire
47,WCD,0.063342733799055,,10.0,Openfire
48,WFR,0.063342733799055,,10.0,Openfire
49,LCA,0.063342733799055,,10.0,Openfire
50,LCD,0.063342733799055,,10.0,Openfire
51,CSB,0.063342733799055,,10.0,Openfire
52,CSBS,0.063342733799055,,10.0,Openfire
53,ACDF,0.063342733799055,,10.0,Openfire
54,cbo,0.06334273379905464,,11.0,Openfire
55,hasJavaDoc,0.06334273379905417,,12.0,Openfire
56,tryCatchQty,0.06334273379905346,,13.0,Openfire
57,parenthesizedExpsQty,0.06334273379905338,,14.0,Openfire
58,loopQty,0.06333679078755847,,15.0,Openfire
59,variablesQty,0.06333563154637324,,16.0,Openfire
60,parametersQty,0.06333211452668458,,17.0,Openfire
61,comparisonsQty,0.06333197979283961,,18.0,Openfire
62,mathOperationsQty,0.06333194315265689,,19.0,Openfire
63,Essential,0.06333183767843051,,20.0,Openfire
64,lambdasQty,0.06333174634639827,,21.0,Openfire
65,fanout,0.06332437147655129,,22.0,Openfire
66,cboModified,0.06332383915668974,,23.0,Openfire
67,methodsInvokedLocalQty,0.06332253909453323,,24.0,Openfire
68,uniqueWordsQty,0.0633185995208511,,25.0,Openfire
69,wmc,0.06331217774502448,,26.0,Openfire
70,modifiers,0.0633109200246503,,27.0,Openfire
71,RatioCommentToCode,0.06330764030225029,,28.0,Openfire
72,assignmentsQty,0.06330610186017589,,29.0,Openfire
73,methodsInvokedIndirectLocalQty,0.06330503413833313,,30.0,Openfire
74,CountLineCodeDecl,0.06330230139047967,,31.0,Openfire
75,CountLineComment,0.06330219701143158,,32.0,Openfire
76,numbersQty,0.06330049084790569,,33.0,Openfire
77,CountStmtDecl,0.06329936754251397,,34.0,Openfire
78,CyclomaticStrict,0.0632769177939096,,35.0,Openfire
79,SumCyclomaticStrict,0.0632707256244819,,36.0,Openfire
80,CyclomaticModified,0.06327024040580395,,37.0,Openfire
81,Cyclomatic,0.06326967689400283,,38.0,Openfire
82,CountLineBlank,0.0632438358060036,,39.0,Openfire
83,SumEssential,0.06322713804987348,,40.0,Openfire
84,BOM,0.0632259099100386,,41.0,Openfire
85,SumCyclomaticModified,0.06322454509619191,,42.0,Openfire
86,stringLiteralsQty,0.06322286311970138,,43.0,Openfire
87,CountOutput,0.06317722121866362,,44.0,Openfire
88,CountStmt,0.06312177647394018,,45.0,Openfire
89,CountInput,0.06306948200472921,,46.0,Openfire
90,CountStmtExe,0.06306313799988844,,47.0,Openfire
91,CountLineCodeExe,0.06304545316527244,,48.0,Openfire
92,CountSemicolon,0.06304156365705407,,49.0,Openfire
93,loc,0.0629332739056981,,50.0,Openfire
94,SumCyclomatic,0.06280655808575057,,51.0,Openfire
95,CountLineCode,0.06264764902159463,,52.0,Openfire
96,CountLine,0.062434175794122235,,53.0,Openfire
97,CountPath,0.06187165262142141,,54.0,Openfire
98,line,0.05218987042773912,,55.0,Openfire
