position,metric,information_gain,total_ocurences,rank,application
0,anonymousClassesQty,0.10472516513445919,,1.0,commons-bcel
1,parametersQty,0.10472516513445917,,2.0,commons-bcel
2,loopQty,0.104725165134459,,3.0,commons-bcel
3,variablesQty,0.10472516513445894,,4.0,commons-bcel
4,CountStmtDecl,0.10472516513445883,,5.0,commons-bcel
5,maxNestedBlocksQty,0.10472516513445881,,6.0,commons-bcel
6,hasJavaDoc,0.10472516513445852,,7.0,commons-bcel
7,SumCyclomaticStrict,0.10472516513445852,,7.0,commons-bcel
8,modifiers,0.10472516513445762,,8.0,commons-bcel
9,FRCH,0.10472516513445748,,9.0,commons-bcel
10,ATAF,0.10472516513445748,,9.0,commons-bcel
11,innerClassesQty,0.10472516513445744,,10.0,commons-bcel
12,logStatementsQty,0.10472516513445744,,10.0,commons-bcel
13,AvgCyclomatic,0.10472516513445744,,10.0,commons-bcel
14,AvgCyclomaticModified,0.10472516513445744,,10.0,commons-bcel
15,AvgCyclomaticStrict,0.10472516513445744,,10.0,commons-bcel
16,AvgEssential,0.10472516513445744,,10.0,commons-bcel
17,AvgLine,0.10472516513445744,,10.0,commons-bcel
18,AvgLineBlank,0.10472516513445744,,10.0,commons-bcel
19,AvgLineCode,0.10472516513445744,,10.0,commons-bcel
20,AvgLineComment,0.10472516513445744,,10.0,commons-bcel
21,CountClassBase,0.10472516513445744,,10.0,commons-bcel
22,CountClassCoupled,0.10472516513445744,,10.0,commons-bcel
23,CountClassDerived,0.10472516513445744,,10.0,commons-bcel
24,CountDeclClass,0.10472516513445744,,10.0,commons-bcel
25,CountDeclClassMethod,0.10472516513445744,,10.0,commons-bcel
26,CountDeclClassVariable,0.10472516513445744,,10.0,commons-bcel
27,CountDeclFile,0.10472516513445744,,10.0,commons-bcel
28,CountDeclFunction,0.10472516513445744,,10.0,commons-bcel
29,CountDeclInstanceMethod,0.10472516513445744,,10.0,commons-bcel
30,CountDeclInstanceVariable,0.10472516513445744,,10.0,commons-bcel
31,CountDeclMethod,0.10472516513445744,,10.0,commons-bcel
32,CountDeclMethodAll,0.10472516513445744,,10.0,commons-bcel
33,CountDeclMethodDefault,0.10472516513445744,,10.0,commons-bcel
34,CountDeclMethodPrivate,0.10472516513445744,,10.0,commons-bcel
35,CountDeclMethodProtected,0.10472516513445744,,10.0,commons-bcel
36,CountDeclMethodPublic,0.10472516513445744,,10.0,commons-bcel
37,MaxCyclomatic,0.10472516513445744,,10.0,commons-bcel
38,MaxCyclomaticModified,0.10472516513445744,,10.0,commons-bcel
39,MaxCyclomaticStrict,0.10472516513445744,,10.0,commons-bcel
40,MaxEssential,0.10472516513445744,,10.0,commons-bcel
41,MaxInheritanceTree,0.10472516513445744,,10.0,commons-bcel
42,PercentLackOfCohesion,0.10472516513445744,,10.0,commons-bcel
43,TACH,0.10472516513445744,,10.0,commons-bcel
44,FCH,0.10472516513445744,,10.0,commons-bcel
45,LCH,0.10472516513445744,,10.0,commons-bcel
46,CHO,0.10472516513445744,,10.0,commons-bcel
47,CHD,0.10472516513445744,,10.0,commons-bcel
48,WCH,0.10472516513445744,,10.0,commons-bcel
49,WCD,0.10472516513445744,,10.0,commons-bcel
50,WFR,0.10472516513445744,,10.0,commons-bcel
51,LCA,0.10472516513445744,,10.0,commons-bcel
52,LCD,0.10472516513445744,,10.0,commons-bcel
53,CSB,0.10472516513445744,,10.0,commons-bcel
54,CSBS,0.10472516513445744,,10.0,commons-bcel
55,ACDF,0.10472516513445744,,10.0,commons-bcel
56,cbo,0.10472516513445741,,11.0,commons-bcel
57,lambdasQty,0.10472516513445741,,11.0,commons-bcel
58,RatioCommentToCode,0.10472516513445737,,12.0,commons-bcel
59,CyclomaticModified,0.1047251651344566,,13.0,commons-bcel
60,methodsInvokedIndirectLocalQty,0.10472516513445607,,14.0,commons-bcel
61,MaxNesting,0.10472516513445607,,14.0,commons-bcel
62,BOM,0.1047251651344559,,15.0,commons-bcel
63,parenthesizedExpsQty,0.10472516513445586,,16.0,commons-bcel
64,tryCatchQty,0.10472516513445583,,17.0,commons-bcel
65,CountLineBlank,0.10470079458454509,,18.0,commons-bcel
66,SumEssential,0.10468384176962461,,19.0,commons-bcel
67,CyclomaticStrict,0.10468384176962335,,20.0,commons-bcel
68,CountLineCodeDecl,0.1046786449714473,,21.0,commons-bcel
69,Cyclomatic,0.10465536862108218,,22.0,commons-bcel
70,SumCyclomaticModified,0.10465536862108091,,23.0,commons-bcel
71,methodsInvokedLocalQty,0.10465448927268242,,24.0,commons-bcel
72,wmc,0.10458338970269256,,25.0,commons-bcel
