position,metric,information_gain,total_ocurences,rank,application
0,parenthesizedExpsQty,0.1365223246979,,1.0,commons-csv
1,parametersQty,0.1365223246978996,,2.0,commons-csv
2,MaxNesting,0.13652232469789924,,3.0,commons-csv
3,BOM,0.1365223246978991,,4.0,commons-csv
4,hasJavaDoc,0.1365223246978987,,5.0,commons-csv
5,methodsInvokedLocalQty,0.13652232469789835,,6.0,commons-csv
6,innerClassesQty,0.13652232469789832,,7.0,commons-csv
7,modifiers,0.13652232469789832,,7.0,commons-csv
8,logStatementsQty,0.13652232469789832,,7.0,commons-csv
9,AvgCyclomatic,0.13652232469789832,,7.0,commons-csv
10,AvgCyclomaticModified,0.13652232469789832,,7.0,commons-csv
11,AvgCyclomaticStrict,0.13652232469789832,,7.0,commons-csv
12,AvgEssential,0.13652232469789832,,7.0,commons-csv
13,AvgLine,0.13652232469789832,,7.0,commons-csv
14,AvgLineBlank,0.13652232469789832,,7.0,commons-csv
15,AvgLineCode,0.13652232469789832,,7.0,commons-csv
16,AvgLineComment,0.13652232469789832,,7.0,commons-csv
17,CountClassBase,0.13652232469789832,,7.0,commons-csv
18,CountClassCoupled,0.13652232469789832,,7.0,commons-csv
19,CountClassDerived,0.13652232469789832,,7.0,commons-csv
20,CountDeclClass,0.13652232469789832,,7.0,commons-csv
21,CountDeclClassMethod,0.13652232469789832,,7.0,commons-csv
22,CountDeclClassVariable,0.13652232469789832,,7.0,commons-csv
23,CountDeclFile,0.13652232469789832,,7.0,commons-csv
24,CountDeclFunction,0.13652232469789832,,7.0,commons-csv
25,CountDeclInstanceMethod,0.13652232469789832,,7.0,commons-csv
26,CountDeclInstanceVariable,0.13652232469789832,,7.0,commons-csv
27,CountDeclMethod,0.13652232469789832,,7.0,commons-csv
28,CountDeclMethodAll,0.13652232469789832,,7.0,commons-csv
29,CountDeclMethodDefault,0.13652232469789832,,7.0,commons-csv
30,CountDeclMethodPrivate,0.13652232469789832,,7.0,commons-csv
31,CountDeclMethodProtected,0.13652232469789832,,7.0,commons-csv
32,CountDeclMethodPublic,0.13652232469789832,,7.0,commons-csv
33,MaxCyclomatic,0.13652232469789832,,7.0,commons-csv
34,MaxCyclomaticModified,0.13652232469789832,,7.0,commons-csv
35,MaxCyclomaticStrict,0.13652232469789832,,7.0,commons-csv
36,MaxEssential,0.13652232469789832,,7.0,commons-csv
37,MaxInheritanceTree,0.13652232469789832,,7.0,commons-csv
38,PercentLackOfCohesion,0.13652232469789832,,7.0,commons-csv
39,TACH,0.13652232469789832,,7.0,commons-csv
40,CHO,0.13652232469789832,,7.0,commons-csv
41,CHD,0.13652232469789832,,7.0,commons-csv
42,WCH,0.13652232469789832,,7.0,commons-csv
43,WCD,0.13652232469789832,,7.0,commons-csv
44,loopQty,0.1365223246978982,,8.0,commons-csv
45,mathOperationsQty,0.13652232469789813,,9.0,commons-csv
46,returnsQty,0.13652232469789788,,10.0,commons-csv
47,methodsInvokedIndirectLocalQty,0.13652232469789777,,11.0,commons-csv
48,cbo,0.1365223246978975,,12.0,commons-csv
49,FRCH,0.13652232469789738,,13.0,commons-csv
50,ATAF,0.13652232469789738,,13.0,commons-csv
51,maxNestedBlocksQty,0.13652232469789677,,14.0,commons-csv
52,lambdasQty,0.13652232469789677,,14.0,commons-csv
53,tryCatchQty,0.13652232469789669,,15.0,commons-csv
54,anonymousClassesQty,0.1365223246978966,,16.0,commons-csv
55,FCH,0.1365223246978966,,16.0,commons-csv
56,LCH,0.1365223246978966,,16.0,commons-csv
57,WFR,0.1365223246978966,,16.0,commons-csv
58,LCA,0.1365223246978966,,16.0,commons-csv
59,LCD,0.1365223246978966,,16.0,commons-csv
60,CSB,0.1365223246978966,,16.0,commons-csv
61,CSBS,0.1365223246978966,,16.0,commons-csv
62,ACDF,0.1365223246978966,,16.0,commons-csv
63,Essential,0.1362828596403132,,17.0,commons-csv
64,RatioCommentToCode,0.136280785539799,,18.0,commons-csv
65,CountLineBlank,0.13621927379529206,,19.0,commons-csv
66,rfc,0.13620766959717404,,20.0,commons-csv
67,methodsInvokedQty,0.13620766959717404,,20.0,commons-csv
68,assignmentsQty,0.1361598383545899,,21.0,commons-csv
69,variablesQty,0.13614746249789794,,22.0,commons-csv
