position,metric,information_gain,total_ocurences,rank,application
0,CountLineBlank,0.0943607853322855,,1.0,commons-io
1,cbo,0.0943607853322843,,2.0,commons-io
2,MaxNesting,0.09436078533228402,,3.0,commons-io
3,loopQty,0.094360785332284,,4.0,commons-io
4,comparisonsQty,0.09436078533228398,,5.0,commons-io
5,anonymousClassesQty,0.09436078533228398,,5.0,commons-io
6,innerClassesQty,0.09436078533228398,,5.0,commons-io
7,lambdasQty,0.09436078533228398,,5.0,commons-io
8,AvgCyclomatic,0.09436078533228398,,5.0,commons-io
9,AvgCyclomaticModified,0.09436078533228398,,5.0,commons-io
10,AvgCyclomaticStrict,0.09436078533228398,,5.0,commons-io
11,AvgEssential,0.09436078533228398,,5.0,commons-io
12,AvgLine,0.09436078533228398,,5.0,commons-io
13,AvgLineBlank,0.09436078533228398,,5.0,commons-io
14,AvgLineCode,0.09436078533228398,,5.0,commons-io
15,AvgLineComment,0.09436078533228398,,5.0,commons-io
16,CountClassBase,0.09436078533228398,,5.0,commons-io
17,CountClassCoupled,0.09436078533228398,,5.0,commons-io
18,CountClassDerived,0.09436078533228398,,5.0,commons-io
19,CountDeclClass,0.09436078533228398,,5.0,commons-io
20,CountDeclClassMethod,0.09436078533228398,,5.0,commons-io
21,CountDeclClassVariable,0.09436078533228398,,5.0,commons-io
22,CountDeclFile,0.09436078533228398,,5.0,commons-io
23,CountDeclFunction,0.09436078533228398,,5.0,commons-io
24,CountDeclInstanceMethod,0.09436078533228398,,5.0,commons-io
25,CountDeclInstanceVariable,0.09436078533228398,,5.0,commons-io
26,CountDeclMethod,0.09436078533228398,,5.0,commons-io
27,CountDeclMethodAll,0.09436078533228398,,5.0,commons-io
28,CountDeclMethodDefault,0.09436078533228398,,5.0,commons-io
29,CountDeclMethodPrivate,0.09436078533228398,,5.0,commons-io
30,CountDeclMethodProtected,0.09436078533228398,,5.0,commons-io
31,CountDeclMethodPublic,0.09436078533228398,,5.0,commons-io
32,MaxCyclomatic,0.09436078533228398,,5.0,commons-io
33,MaxCyclomaticModified,0.09436078533228398,,5.0,commons-io
34,MaxCyclomaticStrict,0.09436078533228398,,5.0,commons-io
35,MaxEssential,0.09436078533228398,,5.0,commons-io
36,MaxInheritanceTree,0.09436078533228398,,5.0,commons-io
37,PercentLackOfCohesion,0.09436078533228398,,5.0,commons-io
38,logStatementsQty,0.09436078533228395,,6.0,commons-io
39,hasJavaDoc,0.09436078533228395,,6.0,commons-io
40,tryCatchQty,0.09436078533228394,,7.0,commons-io
41,mathOperationsQty,0.09436078533228388,,8.0,commons-io
42,maxNestedBlocksQty,0.09436078533228386,,9.0,commons-io
43,FRCH,0.09436078533228377,,10.0,commons-io
44,ATAF,0.09436078533228377,,10.0,commons-io
45,RatioCommentToCode,0.09436078533228359,,11.0,commons-io
46,methodsInvokedLocalQty,0.0943607853322835,,12.0,commons-io
47,returnsQty,0.09436078533228338,,13.0,commons-io
48,fanout,0.09436078533228319,,14.0,commons-io
49,parenthesizedExpsQty,0.09436078533228227,,15.0,commons-io
50,TACH,0.09436078533228225,,16.0,commons-io
51,CHO,0.09436078533228225,,16.0,commons-io
52,CHD,0.09436078533228225,,16.0,commons-io
53,parametersQty,0.09436078533228215,,17.0,commons-io
54,WCH,0.09434111014017056,,18.0,commons-io
55,WCD,0.09434111014017056,,18.0,commons-io
56,ACDF,0.09434111014017056,,18.0,commons-io
57,FCH,0.09430443618076442,,19.0,commons-io
58,LCH,0.09430443618076442,,19.0,commons-io
59,WFR,0.09430443618076442,,19.0,commons-io
60,LCA,0.09430443618076442,,19.0,commons-io
61,LCD,0.09430443618076442,,19.0,commons-io
62,CSB,0.09430443618076442,,19.0,commons-io
63,CSBS,0.09430443618076442,,19.0,commons-io
64,variablesQty,0.09429478056171606,,20.0,commons-io
65,CountStmtDecl,0.09428723844075046,,21.0,commons-io
66,methodsInvokedIndirectLocalQty,0.09428379246188065,,22.0,commons-io
67,stringLiteralsQty,0.09427956150098656,,23.0,commons-io
68,cboModified,0.09427756419095888,,24.0,commons-io
69,rfc,0.09425553646544806,,25.0,commons-io
70,methodsInvokedQty,0.09425553646544806,,25.0,commons-io
71,modifiers,0.09424312894004559,,26.0,commons-io
72,BOM,0.09423462831930818,,27.0,commons-io
73,CountLineCodeDecl,0.09423315169293504,,28.0,commons-io
74,CountInput,0.09417975552321686,,29.0,commons-io
75,fanin,0.09416955047487754,,30.0,commons-io
76,CountLineComment,0.09416744206959832,,31.0,commons-io
77,Essential,0.09414748514698792,,32.0,commons-io
78,Cyclomatic,0.09414656755102023,,33.0,commons-io
79,CyclomaticModified,0.09414656755102023,,33.0,commons-io
80,SumCyclomaticModified,0.09414656755101976,,34.0,commons-io
81,SumCyclomaticStrict,0.09414636465303702,,35.0,commons-io
82,loc,0.09411006079149828,,36.0,commons-io
83,wmc,0.09402324118125895,,37.0,commons-io
84,CountPath,0.09401600889228652,,38.0,commons-io
85,assignmentsQty,0.09400306892276712,,39.0,commons-io
86,CyclomaticStrict,0.09383936672101008,,40.0,commons-io
87,SumEssential,0.09383906655783998,,41.0,commons-io
88,CountOutput,0.09381744822046294,,42.0,commons-io
89,numbersQty,0.09381283223822216,,43.0,commons-io
90,CountLine,0.09365376973667822,,44.0,commons-io
91,CountSemicolon,0.09357973338082792,,45.0,commons-io
92,CountLineCode,0.09355881099032662,,46.0,commons-io
93,CountStmt,0.0931895169312876,,47.0,commons-io
94,uniqueWordsQty,0.09298282282863904,,48.0,commons-io
95,SumCyclomatic,0.09292867082791648,,49.0,commons-io
96,CountLineCodeExe,0.09290522165668104,,50.0,commons-io
97,CountStmtExe,0.09284184006594438,,51.0,commons-io
98,line,0.0632953430453671,,52.0,commons-io
