position,metric,information_gain,total_ocurences,rank,application
0,maxNestedBlocksQty,0.31380996873348016,,1.0,pdfbox
1,CountLineCodeDecl,0.3138099687334801,,2.0,pdfbox
2,parametersQty,0.31380996873348,,3.0,pdfbox
3,CyclomaticModified,0.31380996873347994,,4.0,pdfbox
4,SumCyclomaticStrict,0.31380996873347994,,4.0,pdfbox
5,methodsInvokedLocalQty,0.3138099687334799,,5.0,pdfbox
6,parenthesizedExpsQty,0.3138099687334799,,5.0,pdfbox
7,lambdasQty,0.3138099687334799,,5.0,pdfbox
8,modifiers,0.3138099687334799,,5.0,pdfbox
9,FRCH,0.3138099687334799,,5.0,pdfbox
10,ATAF,0.3138099687334799,,5.0,pdfbox
11,innerClassesQty,0.31380996873347977,,6.0,pdfbox
12,AvgCyclomatic,0.31380996873347977,,6.0,pdfbox
13,AvgCyclomaticModified,0.31380996873347977,,6.0,pdfbox
14,AvgCyclomaticStrict,0.31380996873347977,,6.0,pdfbox
15,AvgEssential,0.31380996873347977,,6.0,pdfbox
16,AvgLine,0.31380996873347977,,6.0,pdfbox
17,AvgLineBlank,0.31380996873347977,,6.0,pdfbox
18,AvgLineCode,0.31380996873347977,,6.0,pdfbox
19,AvgLineComment,0.31380996873347977,,6.0,pdfbox
20,CountClassBase,0.31380996873347977,,6.0,pdfbox
21,CountClassCoupled,0.31380996873347977,,6.0,pdfbox
22,CountClassDerived,0.31380996873347977,,6.0,pdfbox
23,CountDeclClass,0.31380996873347977,,6.0,pdfbox
24,CountDeclClassMethod,0.31380996873347977,,6.0,pdfbox
25,CountDeclClassVariable,0.31380996873347977,,6.0,pdfbox
26,CountDeclFile,0.31380996873347977,,6.0,pdfbox
27,CountDeclFunction,0.31380996873347977,,6.0,pdfbox
28,CountDeclInstanceMethod,0.31380996873347977,,6.0,pdfbox
29,CountDeclInstanceVariable,0.31380996873347977,,6.0,pdfbox
30,CountDeclMethod,0.31380996873347977,,6.0,pdfbox
31,CountDeclMethodAll,0.31380996873347977,,6.0,pdfbox
32,CountDeclMethodDefault,0.31380996873347977,,6.0,pdfbox
33,CountDeclMethodPrivate,0.31380996873347977,,6.0,pdfbox
34,CountDeclMethodProtected,0.31380996873347977,,6.0,pdfbox
35,CountDeclMethodPublic,0.31380996873347977,,6.0,pdfbox
36,Cyclomatic,0.31380996873347977,,6.0,pdfbox
37,MaxCyclomatic,0.31380996873347977,,6.0,pdfbox
38,MaxCyclomaticModified,0.31380996873347977,,6.0,pdfbox
39,MaxCyclomaticStrict,0.31380996873347977,,6.0,pdfbox
40,MaxEssential,0.31380996873347977,,6.0,pdfbox
41,MaxInheritanceTree,0.31380996873347977,,6.0,pdfbox
42,PercentLackOfCohesion,0.31380996873347977,,6.0,pdfbox
43,SumCyclomaticModified,0.31380996873347977,,6.0,pdfbox
44,TACH,0.31380996873347977,,6.0,pdfbox
45,CHO,0.31380996873347977,,6.0,pdfbox
46,CHD,0.31380996873347977,,6.0,pdfbox
47,ACDF,0.31380996873347977,,6.0,pdfbox
48,stringLiteralsQty,0.3138099687334797,,7.0,pdfbox
49,cbo,0.31380996873347966,,8.0,pdfbox
50,CountLineBlank,0.31380996873347966,,8.0,pdfbox
51,MaxNesting,0.31380996873347966,,8.0,pdfbox
52,fanout,0.3138099687334796,,9.0,pdfbox
53,loc,0.3138099687334796,,9.0,pdfbox
54,methodsInvokedIndirectLocalQty,0.3138099687334796,,9.0,pdfbox
55,mathOperationsQty,0.31380996873347955,,10.0,pdfbox
