position,metric,information_gain,total_ocurences,rank,application
0,parametersQty,0.13183917182709087,,1.0,wro4j
1,returnsQty,0.13183917182709085,,2.0,wro4j
2,stringLiteralsQty,0.13183917182709032,,3.0,wro4j
3,assignmentsQty,0.13183917182709018,,4.0,wro4j
4,parenthesizedExpsQty,0.13183917182708915,,5.0,wro4j
5,mathOperationsQty,0.13183917182708915,,5.0,wro4j
6,anonymousClassesQty,0.13183917182708915,,5.0,wro4j
7,innerClassesQty,0.13183917182708915,,5.0,wro4j
8,lambdasQty,0.13183917182708915,,5.0,wro4j
9,AvgCyclomatic,0.13183917182708915,,5.0,wro4j
10,AvgCyclomaticModified,0.13183917182708915,,5.0,wro4j
11,AvgCyclomaticStrict,0.13183917182708915,,5.0,wro4j
12,AvgEssential,0.13183917182708915,,5.0,wro4j
13,AvgLine,0.13183917182708915,,5.0,wro4j
14,AvgLineBlank,0.13183917182708915,,5.0,wro4j
15,AvgLineCode,0.13183917182708915,,5.0,wro4j
16,AvgLineComment,0.13183917182708915,,5.0,wro4j
17,CountClassBase,0.13183917182708915,,5.0,wro4j
18,CountClassCoupled,0.13183917182708915,,5.0,wro4j
19,CountClassDerived,0.13183917182708915,,5.0,wro4j
20,CountDeclClass,0.13183917182708915,,5.0,wro4j
21,CountDeclClassMethod,0.13183917182708915,,5.0,wro4j
22,CountDeclClassVariable,0.13183917182708915,,5.0,wro4j
23,CountDeclFile,0.13183917182708915,,5.0,wro4j
24,CountDeclFunction,0.13183917182708915,,5.0,wro4j
25,CountDeclInstanceMethod,0.13183917182708915,,5.0,wro4j
26,CountDeclInstanceVariable,0.13183917182708915,,5.0,wro4j
27,CountDeclMethod,0.13183917182708915,,5.0,wro4j
28,CountDeclMethodAll,0.13183917182708915,,5.0,wro4j
29,CountDeclMethodDefault,0.13183917182708915,,5.0,wro4j
30,CountDeclMethodPrivate,0.13183917182708915,,5.0,wro4j
31,CountDeclMethodProtected,0.13183917182708915,,5.0,wro4j
32,CountDeclMethodPublic,0.13183917182708915,,5.0,wro4j
33,CountLineBlank,0.13183917182708915,,5.0,wro4j
34,MaxCyclomatic,0.13183917182708915,,5.0,wro4j
35,MaxCyclomaticModified,0.13183917182708915,,5.0,wro4j
36,MaxCyclomaticStrict,0.13183917182708915,,5.0,wro4j
37,MaxEssential,0.13183917182708915,,5.0,wro4j
38,MaxInheritanceTree,0.13183917182708915,,5.0,wro4j
39,PercentLackOfCohesion,0.13183917182708915,,5.0,wro4j
40,TACH,0.13183917182708915,,5.0,wro4j
41,CHO,0.13183917182708915,,5.0,wro4j
42,CHD,0.13183917182708915,,5.0,wro4j
43,ACDF,0.13183917182708915,,5.0,wro4j
44,maxNestedBlocksQty,0.13183917182708912,,6.0,wro4j
45,numbersQty,0.1318391718270891,,7.0,wro4j
46,variablesQty,0.1318391718270889,,8.0,wro4j
47,BOM,0.1318391718270889,,8.0,wro4j
48,rfc,0.13183917182708826,,9.0,wro4j
49,methodsInvokedQty,0.13183917182708826,,9.0,wro4j
50,fanout,0.13183917182708793,,10.0,wro4j
51,methodsInvokedIndirectLocalQty,0.13183917182708788,,11.0,wro4j
52,methodsInvokedLocalQty,0.13183917182708774,,12.0,wro4j
53,MaxNesting,0.13183917182708774,,12.0,wro4j
54,FRCH,0.13183917182708765,,13.0,wro4j
55,ATAF,0.1318391718270876,,14.0,wro4j
56,comparisonsQty,0.13183917182708754,,15.0,wro4j
57,tryCatchQty,0.13183917182708751,,16.0,wro4j
58,logStatementsQty,0.13183917182708751,,16.0,wro4j
59,hasJavaDoc,0.1318391718270875,,17.0,wro4j
60,loopQty,0.13183917182708746,,18.0,wro4j
61,FCH,0.13183917182708743,,19.0,wro4j
62,LCH,0.13183917182708743,,19.0,wro4j
63,WCH,0.13183917182708743,,19.0,wro4j
64,WCD,0.13183917182708743,,19.0,wro4j
65,WFR,0.13183917182708743,,19.0,wro4j
66,LCA,0.13183917182708743,,19.0,wro4j
67,LCD,0.13183917182708743,,19.0,wro4j
68,CSB,0.13183917182708743,,19.0,wro4j
69,CSBS,0.13183917182708743,,19.0,wro4j
70,CountLineCodeDecl,0.13175184753478605,,20.0,wro4j
71,CyclomaticModified,0.13173941178705026,,21.0,wro4j
72,SumCyclomaticStrict,0.13173941178705026,,21.0,wro4j
73,Cyclomatic,0.13173193790193374,,22.0,wro4j
74,SumCyclomaticModified,0.13173193790193374,,22.0,wro4j
75,CountStmtDecl,0.1317018227303535,,23.0,wro4j
76,CyclomaticStrict,0.13167470797188982,,24.0,wro4j
77,SumEssential,0.13167470797188982,,24.0,wro4j
78,RatioCommentToCode,0.13166352971292977,,25.0,wro4j
79,modifiers,0.1316406678832876,,26.0,wro4j
80,cbo,0.13163646163750847,,27.0,wro4j
81,Essential,0.13160909259905146,,28.0,wro4j
82,wmc,0.1315924993621495,,29.0,wro4j
83,cboModified,0.13149469846223344,,30.0,wro4j
84,CountPath,0.1314728054442234,,31.0,wro4j
85,uniqueWordsQty,0.1314417674773154,,32.0,wro4j
86,CountOutput,0.13143824821863623,,33.0,wro4j
87,fanin,0.13142160527730967,,34.0,wro4j
88,CountSemicolon,0.13140170385863656,,35.0,wro4j
89,loc,0.13131064566687944,,36.0,wro4j
90,CountLineComment,0.13129467102178374,,37.0,wro4j
91,CountStmtExe,0.1312007738402374,,38.0,wro4j
92,CountStmt,0.13109581907862855,,39.0,wro4j
93,CountLineCodeExe,0.1306848423528666,,40.0,wro4j
94,CountInput,0.13048297246536403,,41.0,wro4j
95,CountLineCode,0.1299507204882494,,42.0,wro4j
96,SumCyclomatic,0.12957890429516747,,43.0,wro4j
97,CountLine,0.12931236506601143,,44.0,wro4j
98,line,0.10461057411540667,,45.0,wro4j
