Dataset,Algoritm,window,model,resample,F1-Score(micro),F1-Score(macro),F1-Score(weighted),F1-Score(None),Accuracy,Sensitivity,Specificity,ROC AUC score,Confusion matrix
Openfire,RandomForest,0,model1,RUS,0.7598013260279018,0.4661941005025161,0.8531073650349721,[0.86208458 0.07030362],0.7598013260279018,0.8010152284263959,0.7593286840297586,0.7801719562280773,"[130439, 41343, 392, 1578]"
Openfire,DT,0,model1,RUS,0.7591567291311756,0.4633967183311594,0.852742033684253,[0.86177567 0.06501776],0.7591567291311755,0.7385786802030457,0.7593927186783248,0.7489856994406854,"[130450, 41332, 515, 1455]"
Openfire,LogisticRegression,0,model1,RUS,0.7588804733182928,0.4593385418949959,0.852644099495015,[0.86176963 0.05690746],0.7588804733182928,0.6416243654822334,0.7602251691096855,0.7009247672959595,"[130593, 41189, 706, 1264]"
Openfire,MLP,0,model1,RUS,0.7201125742437499,0.44646290934953087,0.8268356523571934,[0.83566111 0.05726471],0.7201125742437497,0.749746192893401,0.7197727352109069,0.734759464052154,"[123644, 48138, 493, 1477]"
Openfire,RandomForest,0,model2,RUS,0.7734702334361617,0.47301492871201734,0.861905719634122,[0.87092881 0.07510104],0.7734702334361618,0.8111675126903554,0.7730379201546146,0.792102716422485,"[132794, 38988, 372, 1598]"
Openfire,DT,0,model2,RUS,0.7638300566324416,0.46566531999612804,0.8557630160019657,[0.86481411 0.06651653],0.7638300566324416,0.7421319796954314,0.7640788906870336,0.7531054351912326,"[131255, 40527, 508, 1462]"
Openfire,LogisticRegression,0,model2,RUS,0.7617351167180809,0.4609464902186044,0.8544831625851714,[0.86361405 0.05827893],0.7617351167180809,0.650253807106599,0.7630135869881595,0.7066336970473792,"[131072, 40710, 689, 1281]"
Openfire,MLP,0,model2,RUS,0.714161563607901,0.44507121835196906,0.8227357915801747,[0.83149841 0.05864402],0.714161563607901,0.7852791878172589,0.7133459850275349,0.7493125864223968,"[122540, 49242, 423, 1547]"
Openfire,RandomForest,0,model3,RUS,0.31746972696717163,0.2505248188132125,0.46944004428337577,[0.47451934 0.02653029],0.31746972696717163,0.8203045685279188,0.3117032052252273,0.5660038868765731,"[53545, 118237, 354, 1616]"
Openfire,DT,0,model3,RUS,0.31758483355587275,0.2505945855089713,0.46957373816523856,[0.47465452 0.02653465],0.31758483355587275,0.8203045685279188,0.31181963185898404,0.5660621001934514,"[53565, 118217, 354, 1616]"
