Dataset,Algoritm,window,model,resample,F1-Score(micro),F1-Score(macro),F1-Score(weighted),F1-Score(None),Accuracy,Sensitivity,Specificity,ROC AUC score,Confusion matrix
commons-csv,RandomForest,0,model1,RUS,0.7626422840082105,0.5182373914016942,0.8406315842950162,[0.86137751 0.17509728],0.7626422840082104,0.8333333333333334,0.7604387146430633,0.7968860239881984,"[3952, 1245, 27, 135]"
commons-csv,DT,0,model1,RUS,0.748833737637619,0.5065814999477387,0.8314123965572052,[0.85231512 0.16084788],0.748833737637619,0.7962962962962963,0.7473542428324033,0.7718252695643498,"[3884, 1313, 33, 129]"
commons-csv,LogisticRegression,0,model1,RUS,0.7581638365366674,0.5004873389681302,0.8375622065331043,[0.85925282 0.14172185],0.7581638365366673,0.6604938271604939,0.7612083894554551,0.7108511083079745,"[3956, 1241, 55, 107]"
commons-csv,MLP,0,model1,RUS,0.8035081171860422,0.5350825613788185,0.8669889153791553,[0.88834694 0.18181818],0.8035081171860422,0.7222222222222222,0.8060419472772754,0.7641320847497487,"[4189, 1008, 45, 117]"
commons-csv,RandomForest,0,model2,RUS,0.788020153013622,0.5361403444608008,0.8572886949453422,[0.87795445 0.19432624],0.7880201530136219,0.845679012345679,0.7862228208581874,0.8159509166019332,"[4086, 1111, 25, 137]"
commons-csv,DT,0,model2,RUS,0.7837283075200597,0.5309745686717602,0.8544659451590984,[0.87528247 0.18666667],0.7837283075200597,0.8209876543209876,0.7825668654993265,0.8017772599101571,"[4067, 1130, 29, 133]"
commons-csv,LogisticRegression,0,model2,RUS,0.7497667475275238,0.4956355649538389,0.8320053084497652,[0.85365055 0.13762058],0.7497667475275238,0.6604938271604939,0.7525495478160478,0.7065216874882708,"[3911, 1286, 55, 107]"
commons-csv,MLP,0,model2,RUS,0.8133980220190333,0.5440204480324554,0.8733033043136935,[0.89449251 0.19354839],0.8133980220190334,0.7407407407407407,0.8156628824321724,0.7782018115864566,"[4239, 958, 42, 120]"
commons-csv,RandomForest,0,model3,RUS,0.7251352864340362,0.48237266656266653,0.8154271055415074,[0.83685901 0.12788632],0.7251352864340362,0.6666666666666666,0.7269578603040215,0.6968122634853441,"[3778, 1419, 54, 108]"
commons-csv,DT,0,model3,RUS,0.726068296323941,0.4828844002888007,0.816062880979122,[0.83750277 0.12826603],0.726068296323941,0.6666666666666666,0.7279199538195112,0.6972933102430888,"[3783, 1414, 54, 108]"
commons-csv,LogisticRegression,0,model3,RUS,0.7850345213659264,0.4875853171217245,0.8543883402345233,[0.87799195 0.09717868],0.7850345213659264,0.38271604938271603,0.7975755243409659,0.5901457868618409,"[4145, 1052, 100, 62]"
commons-csv,MLP,0,model3,RUS,0.8445605523418548,0.5265728851080637,0.8911147577223941,[0.91457286 0.13857291],0.8445605523418548,0.41358024691358025,0.8579949971137194,0.6357876220136499,"[4459, 738, 95, 67]"
commons-csv,RandomForest,0,model1,ENN,0.9087516327673073,0.6035521220100765,0.9303661451199569,[0.95139648 0.25570776],0.9087516327673073,0.5185185185185185,0.9209159130267462,0.7197172157726325,"[4786, 411, 78, 84]"
commons-csv,DT,0,model1,ENN,0.8290725881694347,0.5352688123179926,0.8824413097157889,[0.9047817  0.16575592],0.8290725881694346,0.5617283950617284,0.8374061958822397,0.699567295471984,"[4352, 845, 71, 91]"
commons-csv,LogisticRegression,0,model1,ENN,0.7889531629035268,0.5210496524762073,0.8576000953408662,[0.87925697 0.16284234],0.7889531629035268,0.6790123456790124,0.7923802193573215,0.7356962825181669,"[4118, 1079, 52, 110]"
commons-csv,MLP,0,model1,ENN,0.9535361074827393,0.5851265754896575,0.9524418217441459,[0.97607839 0.19417476],0.9535361074827393,0.18518518518518517,0.9774870117375409,0.581336098461363,"[5080, 117, 132, 30]"
commons-csv,RandomForest,0,model2,ENN,0.9479380481433103,0.668660987159835,0.9544658656256476,[0.97285728 0.36446469],0.9479380481433103,0.49382716049382713,0.9620935154897056,0.7279603379917663,"[5000, 197, 82, 80]"
commons-csv,DT,0,model2,ENN,0.9165889158425079,0.6386308639421948,0.9364008195417856,[0.95556218 0.32169954],0.9165889158425079,0.654320987654321,0.9247642870887051,0.7895426373715131,"[4806, 391, 56, 106]"
commons-csv,LogisticRegression,0,model2,ENN,0.7971636499346892,0.5251586171704743,0.86281772465761,[0.88454594 0.1657713 ],0.7971636499346894,0.6666666666666666,0.8012314796998268,0.7339490731832466,"[4164, 1033, 54, 108]"
commons-csv,MLP,0,model2,ENN,0.9615599925359208,0.677963501009323,0.961898345876378,[0.98016943 0.37575758],0.9615599925359208,0.38271604938271603,0.9796036174716183,0.6811598334271671,"[5091, 106, 100, 62]"
commons-csv,RandomForest,0,model3,ENN,0.793618212353051,0.5106968762156104,0.8602696191486198,[0.88276447 0.13862928],0.793618212353051,0.5493827160493827,0.8012314796998268,0.6753070978746047,"[4164, 1033, 73, 89]"
commons-csv,DT,0,model3,ENN,0.78764694905766,0.5083945971741247,0.8565093760138375,[0.87891041 0.13787879],0.78764694905766,0.5617283950617284,0.7946892437944968,0.6782088194281126,"[4130, 1067, 71, 91]"
commons-csv,LogisticRegression,0,model3,ENN,0.6531069229333831,0.4323402783044501,0.7649435265709605,[0.7863464  0.07833416],0.6531069229333831,0.4876543209876543,0.6582643832980566,0.5729593521428554,"[3421, 1776, 83, 79]"
commons-csv,MLP,0,model3,ENN,0.9697704795670834,0.49232663887836303,0.9548876813774408,[0.98465328 0.        ],0.9697704795670834,0.0,1.0,0.5,"[5197, 0, 162, 0]"
commons-csv,RandomForest,0,model1,TL,0.9094980406792312,0.5916485372819074,0.9301367457433128,[0.95191831 0.23137876],0.9094980406792312,0.4506172839506173,0.9238021935732154,0.6872097387619163,"[4801, 396, 89, 73]"
commons-csv,DT,0,model1,TL,0.8410151147602165,0.5502228264081802,0.8900091276039339,[0.91187422 0.18857143],0.8410151147602165,0.6111111111111112,0.8481816432557244,0.7296463771834177,"[4408, 789, 63, 99]"
commons-csv,LogisticRegression,0,model1,TL,0.804254525097966,0.5285987067637926,0.8672827100123438,[0.88907687 0.16812054],0.804254525097966,0.654320987654321,0.8089282278237445,0.7316246077390327,"[4204, 993, 56, 106]"
commons-csv,MLP,0,model1,TL,0.9695838775891025,0.5042516615900983,0.9555127762963745,[0.98455123 0.0239521 ],0.9695838775891025,0.012345679012345678,0.9994227438907062,0.505884211451526,"[5194, 3, 160, 2]"
commons-csv,RandomForest,0,model2,TL,0.9544691173726442,0.6584805524504017,0.957198216187321,[0.97642056 0.34054054],0.9544691173726442,0.3888888888888889,0.9720992880507985,0.6804940884698437,"[5052, 145, 99, 63]"
commons-csv,DT,0,model2,TL,0.9277850345213658,0.6467183864490832,0.9427791757888203,[0.96183056 0.33160622],0.927785034521366,0.5925925925925926,0.9382335963055609,0.7654130944490767,"[4876, 321, 66, 96]"
commons-csv,LogisticRegression,0,model2,TL,0.7995894756484418,0.5261286168762309,0.8643441471926352,[0.88610817 0.16614907],0.7995894756484418,0.6604938271604939,0.803925341543198,0.7322095843518459,"[4178, 1019, 55, 107]"
