Dataset,Algoritm,window,model,resample,F1-Score(micro),F1-Score(macro),F1-Score(weighted),F1-Score(None),Accuracy,Sensitivity,Specificity,ROC AUC score,Confusion matrix
commons-io,RandomForest,0,model1,NONE,0.8642728734979658,0.5016772614240768,0.9114298093480722,[0.9267533  0.07660122],0.8642728734979658,0.3123359580052493,0.8744038155802861,0.5933698867927679,"[18150, 2607, 262, 119]"
commons-io,DT,0,model1,NONE,0.7973791276374302,0.479305116891342,0.8715983220824499,[0.88626889 0.07234135],0.7973791276374302,0.43832020997375326,0.8039697451462158,0.6211449775599845,"[16688, 4069, 214, 167]"
commons-io,LogisticRegression,0,model1,NONE,0.7092913236824676,0.4493667726851637,0.8140450520434962,[0.8276829  0.07105064],0.7092913236824676,0.6167979002624672,0.7109890639302404,0.6638934820963539,"[14758, 5999, 146, 235]"
commons-io,MLP,0,model1,NONE,0.981975588986659,0.49545291800930896,0.9730453419547003,[0.99090584 0.        ],0.981975588986659,0.0,1.0,0.5,"[20757, 0, 381, 0]"
commons-io,RandomForest,0,model2,NONE,0.9438452076828461,0.5947205069019432,0.9573162000112594,[0.97087617 0.21856485],0.9438452076828461,0.4356955380577428,0.953172423760659,0.6944339809092008,"[19785, 972, 215, 166]"
commons-io,DT,0,model2,NONE,0.9349512725896489,0.6071139840062046,0.9530673007070312,[0.9660049  0.24822307],0.9349512725896489,0.5958005249343832,0.9411764705882353,0.7684884977613092,"[19536, 1221, 154, 227]"
commons-io,LogisticRegression,0,model2,NONE,0.77713123285079,0.48561207046952864,0.8588914302810401,[0.87285094 0.09837321],0.77713123285079,0.6745406824146981,0.7790143084260731,0.7267774954203856,"[16170, 4587, 124, 257]"
commons-io,MLP,0,model2,NONE,0.984009840098401,0.677083783419765,0.9805545389944877,[0.99190342 0.36226415],0.984009840098401,0.25196850393700787,0.997446644505468,0.624707574221238,"[20704, 53, 285, 96]"
commons-io,RandomForest,0,model3,NONE,0.8803576497303436,0.5433506720491798,0.9215022320046506,[0.93564394 0.1510574 ],0.8803576497303435,0.5905511811023622,0.8856771209712386,0.7381141510368003,"[18384, 2373, 156, 225]"
commons-io,DT,0,model3,NONE,0.879600719084114,0.5427304122146501,0.9210619655835633,[0.93521041 0.15025042],0.879600719084114,0.5905511811023622,0.8849062966710025,0.7377287388866822,"[18368, 2389, 156, 225]"
commons-io,LogisticRegression,0,model3,NONE,0.8246286309016937,0.4992663664310157,0.8883491471607846,[0.90289965 0.09563308],0.8246286309016936,0.5144356955380578,0.8303223009105362,0.672378998224297,"[17235, 3522, 185, 196]"
commons-io,MLP,0,model3,NONE,0.981975588986659,0.49545291800930896,0.9730453419547003,[0.99090584 0.        ],0.981975588986659,0.0,1.0,0.5,"[20757, 0, 381, 0]"
commons-io,DT,0,model1,ROS,0.787917494559561,0.47634506664075177,0.8657102792303656,[0.88027135 0.07241879],0.787917494559561,0.45931758530183725,0.7939490292431469,0.6266333072724921,"[16480, 4277, 206, 175]"
commons-io,RandomForest,0,model1,ROS,0.7875863374018356,0.47599946476755584,0.8655021713194628,[0.88006838 0.07193055],0.7875863374018356,0.4566929133858268,0.7936599701305583,0.6251764417581926,"[16474, 4283, 207, 174]"
commons-io,LogisticRegression,0,model1,ROS,0.7056959031128773,0.44838055343162614,0.8115486330260829,[0.82513001 0.0716311 ],0.7056959031128773,0.6299212598425197,0.7070867659102953,0.6685040128764075,"[14677, 6080, 141, 240]"
commons-io,MLP,0,model1,ROS,0.7412716434856658,0.466865500985324,0.8355631310273262,[0.84935129 0.08437971],0.7412716434856657,0.6614173228346457,0.7427373897962133,0.7020773563154296,"[15417, 5340, 129, 252]"
commons-io,DT,0,model2,ROS,0.9279023559466364,0.6045870502003386,0.9492492177155927,[0.96213853 0.24703557],0.9279023559466364,0.6561679790026247,0.9328901093606976,0.7945290441816611,"[19364, 1393, 131, 250]"
commons-io,RandomForest,0,model2,ROS,0.9284227457659192,0.592695304540799,0.9491531411518693,[0.96248357 0.22290704],0.9284227457659192,0.5695538057742782,0.9350098761863468,0.7522818409803125,"[19408, 1349, 164, 217]"
commons-io,LogisticRegression,0,model2,ROS,0.7758066042198883,0.48492366785195484,0.8580448961448734,[0.87199849 0.09784885],0.7758066042198883,0.6745406824146981,0.77766536590066,0.7261030241576791,"[16142, 4615, 124, 257]"
commons-io,MLP,0,model2,ROS,0.9006528526823729,0.5828518111548955,0.9338281809198755,[0.94695362 0.21875   ],0.9006528526823729,0.7716535433070866,0.9030206677265501,0.8373371055168184,"[18744, 2013, 87, 294]"
commons-io,DT,0,model3,ROS,0.8378276090453213,0.5193889168227912,0.8964961348122295,[0.91059879 0.12817904],0.8378276090453213,0.6614173228346457,0.8410656645950764,0.751241493714861,"[17458, 3299, 129, 252]"
commons-io,RandomForest,0,model3,ROS,0.8370706783990917,0.5189017972528277,0.8960401987790797,[0.91014402 0.12765957],0.8370706783990917,0.6614173228346457,0.8402948402948403,0.7508560815647429,"[17442, 3315, 129, 252]"
commons-io,LogisticRegression,0,model3,ROS,0.8246759390670829,0.4992924029208331,0.8883777862844474,[0.90292839 0.09565642],0.824675939067083,0.5144356955380578,0.8303704774293009,0.6724030864836793,"[17236, 3521, 185, 196]"
commons-io,MLP,0,model3,ROS,0.8728829595988268,0.5354905739014015,0.9171007460341096,[0.9313718  0.13960935],0.8728829595988268,0.5721784776902887,0.8784024666377608,0.7252904721640248,"[18233, 2524, 163, 218]"
commons-io,RandomForest,0,model1,SMOTE,0.9343835746049768,0.5128333760513514,0.9496694054328635,[0.96600574 0.05966102],0.9343835746049768,0.11548556430446194,0.9494146552970082,0.532450109800735,"[19707, 1050, 337, 44]"
commons-io,DT,0,model1,SMOTE,0.9162172390954679,0.5098027859430977,0.9400568981389045,[0.95614708 0.06345849],0.9162172390954679,0.15748031496062992,0.9301440477911066,0.5438121813758682,"[19307, 1450, 321, 60]"
commons-io,LogisticRegression,0,model1,SMOTE,0.7170971709717097,0.45227863441391736,0.819399501259854,[0.8331287  0.07142857],0.7170971709717097,0.6036745406824147,0.7191790721202486,0.6614268064013317,"[14928, 5829, 151, 230]"
commons-io,MLP,0,model1,SMOTE,0.8235405430977388,0.4986688818523628,0.887690095388786,[0.9022383  0.09509947],0.8235405430977387,0.5144356955380578,0.8292142409789469,0.6718249682585024,"[17212, 3545, 185, 196]"
commons-io,RandomForest,0,model2,SMOTE,0.9641877188002649,0.5928387922923811,0.967664458638279,[0.98168179 0.20399579],0.9641877188002649,0.2545931758530184,0.9772125066242713,0.6159028412386448,"[20284, 473, 284, 97]"
commons-io,DT,0,model2,SMOTE,0.8334279496641119,0.5030581027810417,0.8936363447357525,[0.90824277 0.09787343],0.833427949664112,0.5013123359580053,0.8395240159946042,0.6704181759763048,"[17426, 3331, 190, 191]"
commons-io,LogisticRegression,0,model2,SMOTE,0.7759485287160564,0.48684151604657766,0.858128827918083,[0.87201384 0.1016692 ],0.7759485287160564,0.7034120734908137,0.777279953750542,0.7403460136206778,"[16134, 4623, 113, 268]"
commons-io,MLP,0,model2,SMOTE,0.9176364840571483,0.5925588646234865,0.943376171629487,[0.95649566 0.22862206],0.9176364840571483,0.6771653543307087,0.922050392638628,0.7996078734846684,"[19139, 1618, 123, 258]"
commons-io,RandomForest,0,model3,SMOTE,0.8856561642539503,0.5463460455805205,0.9245410555958261,[0.93868439 0.1540077 ],0.8856561642539502,0.5774278215223098,0.8913137736667148,0.7343707975945124,"[18501, 2256, 161, 220]"
commons-io,DT,0,model3,SMOTE,0.8856561642539503,0.5463460455805205,0.9245410555958261,[0.93868439 0.1540077 ],0.8856561642539502,0.5774278215223098,0.8913137736667148,0.7343707975945124,"[18501, 2256, 161, 220]"
commons-io,LogisticRegression,0,model3,SMOTE,0.8247705553978617,0.49934449073467785,0.8884350607133795,[0.90298586 0.09570313],0.8247705553978617,0.5144356955380578,0.8304668304668305,0.6724512630024441,"[17238, 3519, 185, 196]"
commons-io,MLP,0,model3,SMOTE,0.8752010597029047,0.5372711289642818,0.9184524990224183,[0.93270751 0.14183474],0.8752010597029047,0.5721784776902887,0.8807631160572337,0.7264707968737611,"[18282, 2475, 163, 218]"
commons-io,RandomForest,0,model1,ADA,0.9339578011164728,0.5144299086704643,0.9495021977828354,[0.96577257 0.06308725],0.9339578011164728,0.12335958005249344,0.9488365370718312,0.5360980585621623,"[19695, 1062, 334, 47]"
commons-io,DT,0,model1,ADA,0.9186299555303246,0.50621486482669,0.9412169296458875,[0.95748467 0.05494505],0.9186299555303246,0.13123359580052493,0.9330828154357567,0.5321582056181408,"[19368, 1389, 331, 50]"
commons-io,LogisticRegression,0,model1,ADA,0.7137855993944555,0.4506146590807083,0.8171472004226711,[0.83085439 0.07037492],0.7137855993944555,0.6010498687664042,0.7158548923254806,0.6584523805459424,"[14859, 5898, 152, 229]"
commons-io,MLP,0,model1,ADA,0.8111931119311193,0.4928751495276296,0.8801711907250684,[0.89465488 0.09109542],0.8111931119311193,0.5249343832020997,0.816447463506287,0.6706909233541934,"[16947, 3810, 181, 200]"
commons-io,RandomForest,0,model2,ADA,0.9618696186961869,0.5839883489971902,0.9661837600657278,[0.9804767 0.1875   ],0.9618696186961869,0.2440944881889764,0.9750445632798574,0.6095695257344169,"[20239, 518, 288, 93]"
commons-io,DT,0,model2,ADA,0.8976251300974548,0.5389605507191418,0.9309445385657683,[0.94560354 0.13231756],0.8976251300974548,0.4330708661417323,0.9061521414462591,0.6696115037939958,"[18809, 1948, 216, 165]"
commons-io,LogisticRegression,0,model2,ADA,0.7494086479326332,0.47463128454069936,0.8408812718811876,[0.8545779  0.09468467],0.7494086479326332,0.7270341207349081,0.7498193380546322,0.7384267293947702,"[15564, 5193, 104, 277]"
commons-io,MLP,0,model2,ADA,0.9380736115053459,0.6126024910332137,0.9548889194585124,[0.96768938 0.2575156 ],0.9380736115053459,0.5958005249343832,0.9443561208267091,0.7700783228805461,"[19602, 1155, 154, 227]"
commons-io,RandomForest,0,model3,ADA,0.834516037468067,0.5157541942584963,0.894476720044981,[0.90863978 0.12286861],0.834516037468067,0.6430446194225722,0.8380305439128969,0.7405375816677345,"[17395, 3362, 136, 245]"
commons-io,DT,0,model3,ADA,0.834516037468067,0.5157541942584963,0.894476720044981,[0.90863978 0.12286861],0.834516037468067,0.6430446194225722,0.8380305439128969,0.7405375816677345,"[17395, 3362, 136, 245]"
commons-io,LogisticRegression,0,model3,ADA,0.8135112120351973,0.4932761020591578,0.8815830885428391,[0.89610458 0.09044762],0.8135112120351973,0.5144356955380578,0.819000819000819,0.6667182572694385,"[17000, 3757, 185, 196]"
commons-io,MLP,0,model3,ADA,0.8413757214495222,0.5194555487232484,0.8985923292255633,[0.91277088 0.12614021],0.8413757214495222,0.6351706036745407,0.8451606686900804,0.7401656361823106,"[17543, 3214, 139, 242]"
