Dataset,Algoritm,window,model,resample,F1-Score(micro),F1-Score(macro),F1-Score(weighted),F1-Score(None),Accuracy,Sensitivity,Specificity,ROC AUC score,Confusion matrix
commons-io,RandomForest,0,model1,RUS,0.6635443277509698,0.4343073218720126,0.7814337511072705,[0.79441522 0.07419943],0.6635443277509698,0.7480314960629921,0.6619935443464855,0.7050125202047388,"[13741, 7016, 96, 285]"
commons-io,DT,0,model1,RUS,0.6879553410918725,0.4403506608342863,0.7991837308861053,[0.81260299 0.06809833],0.6879553410918725,0.6325459317585301,0.6889723948547478,0.660759163306639,"[14301, 6456, 140, 241]"
commons-io,LogisticRegression,0,model1,RUS,0.7091493991862996,0.44753213346276866,0.8140049374214284,[0.8277099  0.06735437],0.7091493991862996,0.5826771653543307,0.711470829117888,0.6470739972361093,"[14768, 5989, 159, 222]"
commons-io,MLP,0,model1,RUS,0.6641593339010313,0.4336763991977516,0.7819389336815504,[0.79496289 0.07238991],0.6641593339010313,0.7270341207349081,0.6630052512405453,0.6950196859877267,"[13762, 6995, 104, 277]"
commons-io,RandomForest,0,model2,RUS,0.7946825622102375,0.5053852075590711,0.8700222790901959,[0.88365859 0.12711183],0.7946825622102375,0.8293963254593176,0.7940453822806764,0.811720853869997,"[16482, 4275, 65, 316]"
commons-io,DT,0,model2,RUS,0.7714542530040686,0.4882330593535506,0.8552228871324348,[0.86894718 0.10751894],0.7714542530040686,0.7637795275590551,0.771595124536301,0.767687326047678,"[16016, 4741, 90, 291]"
commons-io,LogisticRegression,0,model2,RUS,0.7704134733655028,0.4809849382403849,0.8545925297329036,[0.86856431 0.09340557],0.7704134733655029,0.6561679790026247,0.7725104783928314,0.714339228697728,"[16035, 4722, 131, 250]"
commons-io,MLP,0,model2,RUS,0.8017787870186395,0.4999901768705271,0.8744418100685505,[0.88844515 0.1115352 ],0.8017787870186395,0.6902887139107612,0.8038252155899215,0.7470569647503413,"[16685, 4072, 118, 263]"
commons-io,RandomForest,0,model3,RUS,0.827277888163497,0.5106629074762272,0.8900869412634299,[0.90427624 0.11704958],0.827277888163497,0.6351706036745407,0.8308040660981837,0.7329873348863621,"[17245, 3512, 139, 242]"
commons-io,DT,0,model3,RUS,0.8374491437222065,0.5167224041545568,0.8962304207300755,[0.91042286 0.12302195],0.8374491437222065,0.6325459317585301,0.8412101941513707,0.7368780629549504,"[17461, 3296, 140, 241]"
commons-io,LogisticRegression,0,model3,RUS,0.8253382533825339,0.49965743475822144,0.8887786004840914,[0.90333054 0.09598433],0.8253382533825339,0.5144356955380578,0.8310449486920075,0.6727403221150327,"[17250, 3507, 185, 196]"
commons-io,MLP,0,model3,RUS,0.8729302677642162,0.5274343536334191,0.9169344502544836,[0.93150056 0.12336815],0.8729302677642161,0.49606299212598426,0.8798477622007034,0.6879553771633439,"[18263, 2494, 192, 189]"
