Dataset,Algoritm,window,model,resample,F1-Score(micro),F1-Score(macro),F1-Score(weighted),F1-Score(None),Accuracy,Sensitivity,Specificity,ROC AUC score,Confusion matrix
commons-io,RandomForest,0,model1,NONE,0.8642728734979658,0.5016772614240768,0.9114298093480722,[0.9267533  0.07660122],0.8642728734979658,0.3123359580052493,0.8744038155802861,0.5933698867927679,"[18150, 2607, 262, 119]"
commons-io,DT,0,model1,NONE,0.7973791276374302,0.479305116891342,0.8715983220824499,[0.88626889 0.07234135],0.7973791276374302,0.43832020997375326,0.8039697451462158,0.6211449775599845,"[16688, 4069, 214, 167]"
commons-io,LogisticRegression,0,model1,NONE,0.7092913236824676,0.4493667726851637,0.8140450520434962,[0.8276829  0.07105064],0.7092913236824676,0.6167979002624672,0.7109890639302404,0.6638934820963539,"[14758, 5999, 146, 235]"
commons-io,MLP,0,model1,NONE,0.981975588986659,0.49545291800930896,0.9730453419547003,[0.99090584 0.        ],0.981975588986659,0.0,1.0,0.5,"[20757, 0, 381, 0]"
commons-io,RandomForest,0,model2,NONE,0.9438452076828461,0.5947205069019432,0.9573162000112594,[0.97087617 0.21856485],0.9438452076828461,0.4356955380577428,0.953172423760659,0.6944339809092008,"[19785, 972, 215, 166]"
commons-io,DT,0,model2,NONE,0.9349512725896489,0.6071139840062046,0.9530673007070312,[0.9660049  0.24822307],0.9349512725896489,0.5958005249343832,0.9411764705882353,0.7684884977613092,"[19536, 1221, 154, 227]"
commons-io,LogisticRegression,0,model2,NONE,0.77713123285079,0.48561207046952864,0.8588914302810401,[0.87285094 0.09837321],0.77713123285079,0.6745406824146981,0.7790143084260731,0.7267774954203856,"[16170, 4587, 124, 257]"
commons-io,MLP,0,model2,NONE,0.984009840098401,0.677083783419765,0.9805545389944877,[0.99190342 0.36226415],0.984009840098401,0.25196850393700787,0.997446644505468,0.624707574221238,"[20704, 53, 285, 96]"
commons-io,RandomForest,0,model3,NONE,0.8803576497303436,0.5433506720491798,0.9215022320046506,[0.93564394 0.1510574 ],0.8803576497303435,0.5905511811023622,0.8856771209712386,0.7381141510368003,"[18384, 2373, 156, 225]"
commons-io,DT,0,model3,NONE,0.879600719084114,0.5427304122146501,0.9210619655835633,[0.93521041 0.15025042],0.879600719084114,0.5905511811023622,0.8849062966710025,0.7377287388866822,"[18368, 2389, 156, 225]"
commons-io,LogisticRegression,0,model3,NONE,0.8246286309016937,0.4992663664310157,0.8883491471607846,[0.90289965 0.09563308],0.8246286309016936,0.5144356955380578,0.8303223009105362,0.672378998224297,"[17235, 3522, 185, 196]"
commons-io,MLP,0,model3,NONE,0.981975588986659,0.49545291800930896,0.9730453419547003,[0.99090584 0.        ],0.981975588986659,0.0,1.0,0.5,"[20757, 0, 381, 0]"
commons-io,DT,0,model1,ROS,0.787917494559561,0.47634506664075177,0.8657102792303656,[0.88027135 0.07241879],0.787917494559561,0.45931758530183725,0.7939490292431469,0.6266333072724921,"[16480, 4277, 206, 175]"
commons-io,RandomForest,0,model1,ROS,0.7875863374018356,0.47599946476755584,0.8655021713194628,[0.88006838 0.07193055],0.7875863374018356,0.4566929133858268,0.7936599701305583,0.6251764417581926,"[16474, 4283, 207, 174]"
commons-io,LogisticRegression,0,model1,ROS,0.7056959031128773,0.44838055343162614,0.8115486330260829,[0.82513001 0.0716311 ],0.7056959031128773,0.6299212598425197,0.7070867659102953,0.6685040128764075,"[14677, 6080, 141, 240]"
commons-io,MLP,0,model1,ROS,0.7412716434856658,0.466865500985324,0.8355631310273262,[0.84935129 0.08437971],0.7412716434856657,0.6614173228346457,0.7427373897962133,0.7020773563154296,"[15417, 5340, 129, 252]"
commons-io,DT,0,model2,ROS,0.9279023559466364,0.6045870502003386,0.9492492177155927,[0.96213853 0.24703557],0.9279023559466364,0.6561679790026247,0.9328901093606976,0.7945290441816611,"[19364, 1393, 131, 250]"
commons-io,RandomForest,0,model2,ROS,0.9284227457659192,0.592695304540799,0.9491531411518693,[0.96248357 0.22290704],0.9284227457659192,0.5695538057742782,0.9350098761863468,0.7522818409803125,"[19408, 1349, 164, 217]"
commons-io,LogisticRegression,0,model2,ROS,0.7758066042198883,0.48492366785195484,0.8580448961448734,[0.87199849 0.09784885],0.7758066042198883,0.6745406824146981,0.77766536590066,0.7261030241576791,"[16142, 4615, 124, 257]"
commons-io,MLP,0,model2,ROS,0.9006528526823729,0.5828518111548955,0.9338281809198755,[0.94695362 0.21875   ],0.9006528526823729,0.7716535433070866,0.9030206677265501,0.8373371055168184,"[18744, 2013, 87, 294]"
commons-io,DT,0,model3,ROS,0.8378276090453213,0.5193889168227912,0.8964961348122295,[0.91059879 0.12817904],0.8378276090453213,0.6614173228346457,0.8410656645950764,0.751241493714861,"[17458, 3299, 129, 252]"
commons-io,RandomForest,0,model3,ROS,0.8370706783990917,0.5189017972528277,0.8960401987790797,[0.91014402 0.12765957],0.8370706783990917,0.6614173228346457,0.8402948402948403,0.7508560815647429,"[17442, 3315, 129, 252]"
commons-io,LogisticRegression,0,model3,ROS,0.8246759390670829,0.4992924029208331,0.8883777862844474,[0.90292839 0.09565642],0.824675939067083,0.5144356955380578,0.8303704774293009,0.6724030864836793,"[17236, 3521, 185, 196]"
commons-io,MLP,0,model3,ROS,0.8728829595988268,0.5354905739014015,0.9171007460341096,[0.9313718  0.13960935],0.8728829595988268,0.5721784776902887,0.8784024666377608,0.7252904721640248,"[18233, 2524, 163, 218]"
commons-io,RandomForest,0,model1,SMOTE,0.9343835746049768,0.5128333760513514,0.9496694054328635,[0.96600574 0.05966102],0.9343835746049768,0.11548556430446194,0.9494146552970082,0.532450109800735,"[19707, 1050, 337, 44]"
commons-io,DT,0,model1,SMOTE,0.9162172390954679,0.5098027859430977,0.9400568981389045,[0.95614708 0.06345849],0.9162172390954679,0.15748031496062992,0.9301440477911066,0.5438121813758682,"[19307, 1450, 321, 60]"
commons-io,LogisticRegression,0,model1,SMOTE,0.7170971709717097,0.45227863441391736,0.819399501259854,[0.8331287  0.07142857],0.7170971709717097,0.6036745406824147,0.7191790721202486,0.6614268064013317,"[14928, 5829, 151, 230]"
commons-io,MLP,0,model1,SMOTE,0.8235405430977388,0.4986688818523628,0.887690095388786,[0.9022383  0.09509947],0.8235405430977387,0.5144356955380578,0.8292142409789469,0.6718249682585024,"[17212, 3545, 185, 196]"
commons-io,RandomForest,0,model2,SMOTE,0.9641877188002649,0.5928387922923811,0.967664458638279,[0.98168179 0.20399579],0.9641877188002649,0.2545931758530184,0.9772125066242713,0.6159028412386448,"[20284, 473, 284, 97]"
commons-io,DT,0,model2,SMOTE,0.8334279496641119,0.5030581027810417,0.8936363447357525,[0.90824277 0.09787343],0.833427949664112,0.5013123359580053,0.8395240159946042,0.6704181759763048,"[17426, 3331, 190, 191]"
commons-io,LogisticRegression,0,model2,SMOTE,0.7759485287160564,0.48684151604657766,0.858128827918083,[0.87201384 0.1016692 ],0.7759485287160564,0.7034120734908137,0.777279953750542,0.7403460136206778,"[16134, 4623, 113, 268]"
commons-io,MLP,0,model2,SMOTE,0.9176364840571483,0.5925588646234865,0.943376171629487,[0.95649566 0.22862206],0.9176364840571483,0.6771653543307087,0.922050392638628,0.7996078734846684,"[19139, 1618, 123, 258]"
commons-io,RandomForest,0,model3,SMOTE,0.8856561642539503,0.5463460455805205,0.9245410555958261,[0.93868439 0.1540077 ],0.8856561642539502,0.5774278215223098,0.8913137736667148,0.7343707975945124,"[18501, 2256, 161, 220]"
commons-io,DT,0,model3,SMOTE,0.8856561642539503,0.5463460455805205,0.9245410555958261,[0.93868439 0.1540077 ],0.8856561642539502,0.5774278215223098,0.8913137736667148,0.7343707975945124,"[18501, 2256, 161, 220]"
commons-io,LogisticRegression,0,model3,SMOTE,0.8247705553978617,0.49934449073467785,0.8884350607133795,[0.90298586 0.09570313],0.8247705553978617,0.5144356955380578,0.8304668304668305,0.6724512630024441,"[17238, 3519, 185, 196]"
commons-io,MLP,0,model3,SMOTE,0.8752010597029047,0.5372711289642818,0.9184524990224183,[0.93270751 0.14183474],0.8752010597029047,0.5721784776902887,0.8807631160572337,0.7264707968737611,"[18282, 2475, 163, 218]"
commons-io,RandomForest,0,model1,ADA,0.9339578011164728,0.5144299086704643,0.9495021977828354,[0.96577257 0.06308725],0.9339578011164728,0.12335958005249344,0.9488365370718312,0.5360980585621623,"[19695, 1062, 334, 47]"
commons-io,DT,0,model1,ADA,0.9186299555303246,0.50621486482669,0.9412169296458875,[0.95748467 0.05494505],0.9186299555303246,0.13123359580052493,0.9330828154357567,0.5321582056181408,"[19368, 1389, 331, 50]"
commons-io,LogisticRegression,0,model1,ADA,0.7137855993944555,0.4506146590807083,0.8171472004226711,[0.83085439 0.07037492],0.7137855993944555,0.6010498687664042,0.7158548923254806,0.6584523805459424,"[14859, 5898, 152, 229]"
commons-io,MLP,0,model1,ADA,0.8111931119311193,0.4928751495276296,0.8801711907250684,[0.89465488 0.09109542],0.8111931119311193,0.5249343832020997,0.816447463506287,0.6706909233541934,"[16947, 3810, 181, 200]"
commons-io,RandomForest,0,model2,ADA,0.9618696186961869,0.5839883489971902,0.9661837600657278,[0.9804767 0.1875   ],0.9618696186961869,0.2440944881889764,0.9750445632798574,0.6095695257344169,"[20239, 518, 288, 93]"
commons-io,DT,0,model2,ADA,0.8976251300974548,0.5389605507191418,0.9309445385657683,[0.94560354 0.13231756],0.8976251300974548,0.4330708661417323,0.9061521414462591,0.6696115037939958,"[18809, 1948, 216, 165]"
commons-io,LogisticRegression,0,model2,ADA,0.7494086479326332,0.47463128454069936,0.8408812718811876,[0.8545779  0.09468467],0.7494086479326332,0.7270341207349081,0.7498193380546322,0.7384267293947702,"[15564, 5193, 104, 277]"
commons-io,MLP,0,model2,ADA,0.9380736115053459,0.6126024910332137,0.9548889194585124,[0.96768938 0.2575156 ],0.9380736115053459,0.5958005249343832,0.9443561208267091,0.7700783228805461,"[19602, 1155, 154, 227]"
commons-io,RandomForest,0,model3,ADA,0.834516037468067,0.5157541942584963,0.894476720044981,[0.90863978 0.12286861],0.834516037468067,0.6430446194225722,0.8380305439128969,0.7405375816677345,"[17395, 3362, 136, 245]"
commons-io,DT,0,model3,ADA,0.834516037468067,0.5157541942584963,0.894476720044981,[0.90863978 0.12286861],0.834516037468067,0.6430446194225722,0.8380305439128969,0.7405375816677345,"[17395, 3362, 136, 245]"
commons-io,LogisticRegression,0,model3,ADA,0.8135112120351973,0.4932761020591578,0.8815830885428391,[0.89610458 0.09044762],0.8135112120351973,0.5144356955380578,0.819000819000819,0.6667182572694385,"[17000, 3757, 185, 196]"
commons-io,MLP,0,model3,ADA,0.8413757214495222,0.5194555487232484,0.8985923292255633,[0.91277088 0.12614021],0.8413757214495222,0.6351706036745407,0.8451606686900804,0.7401656361823106,"[17543, 3214, 139, 242]"
commons-io,RandomForest,0,model1,RUS,0.6635443277509698,0.4343073218720126,0.7814337511072705,[0.79441522 0.07419943],0.6635443277509698,0.7480314960629921,0.6619935443464855,0.7050125202047388,"[13741, 7016, 96, 285]"
commons-io,DT,0,model1,RUS,0.6879553410918725,0.4403506608342863,0.7991837308861053,[0.81260299 0.06809833],0.6879553410918725,0.6325459317585301,0.6889723948547478,0.660759163306639,"[14301, 6456, 140, 241]"
commons-io,LogisticRegression,0,model1,RUS,0.7091493991862996,0.44753213346276866,0.8140049374214284,[0.8277099  0.06735437],0.7091493991862996,0.5826771653543307,0.711470829117888,0.6470739972361093,"[14768, 5989, 159, 222]"
commons-io,MLP,0,model1,RUS,0.6641593339010313,0.4336763991977516,0.7819389336815504,[0.79496289 0.07238991],0.6641593339010313,0.7270341207349081,0.6630052512405453,0.6950196859877267,"[13762, 6995, 104, 277]"
commons-io,RandomForest,0,model2,RUS,0.7946825622102375,0.5053852075590711,0.8700222790901959,[0.88365859 0.12711183],0.7946825622102375,0.8293963254593176,0.7940453822806764,0.811720853869997,"[16482, 4275, 65, 316]"
commons-io,DT,0,model2,RUS,0.7714542530040686,0.4882330593535506,0.8552228871324348,[0.86894718 0.10751894],0.7714542530040686,0.7637795275590551,0.771595124536301,0.767687326047678,"[16016, 4741, 90, 291]"
commons-io,LogisticRegression,0,model2,RUS,0.7704134733655028,0.4809849382403849,0.8545925297329036,[0.86856431 0.09340557],0.7704134733655029,0.6561679790026247,0.7725104783928314,0.714339228697728,"[16035, 4722, 131, 250]"
commons-io,MLP,0,model2,RUS,0.8017787870186395,0.4999901768705271,0.8744418100685505,[0.88844515 0.1115352 ],0.8017787870186395,0.6902887139107612,0.8038252155899215,0.7470569647503413,"[16685, 4072, 118, 263]"
commons-io,RandomForest,0,model3,RUS,0.827277888163497,0.5106629074762272,0.8900869412634299,[0.90427624 0.11704958],0.827277888163497,0.6351706036745407,0.8308040660981837,0.7329873348863621,"[17245, 3512, 139, 242]"
commons-io,DT,0,model3,RUS,0.8374491437222065,0.5167224041545568,0.8962304207300755,[0.91042286 0.12302195],0.8374491437222065,0.6325459317585301,0.8412101941513707,0.7368780629549504,"[17461, 3296, 140, 241]"
commons-io,LogisticRegression,0,model3,RUS,0.8253382533825339,0.49965743475822144,0.8887786004840914,[0.90333054 0.09598433],0.8253382533825339,0.5144356955380578,0.8310449486920075,0.6727403221150327,"[17250, 3507, 185, 196]"
commons-io,MLP,0,model3,RUS,0.8729302677642162,0.5274343536334191,0.9169344502544836,[0.93150056 0.12336815],0.8729302677642161,0.49606299212598426,0.8798477622007034,0.6879553771633439,"[18263, 2494, 192, 189]"
commons-io,RandomForest,0,model1,ENN,0.8619074652284985,0.5032760233030891,0.9101283288914273,[0.92534336 0.08120869],0.8619074652284985,0.33858267716535434,0.8715132244544009,0.6050479508098777,"[18090, 2667, 252, 129]"
commons-io,DT,0,model1,ENN,0.7946352540448481,0.47819286269623434,0.8698962929932608,[0.8845448  0.07184092],0.7946352540448481,0.4409448818897638,0.8011273305390952,0.6210361062144296,"[16629, 4128, 213, 168]"
commons-io,LogisticRegression,0,model1,ENN,0.7021950988740656,0.44689698845054104,0.8091248484874284,[0.82267106 0.07112292],0.7021950988740656,0.6325459317585301,0.7034735270029387,0.6680097293807346,"[14602, 6155, 140, 241]"
commons-io,MLP,0,model1,ENN,0.9779543949285646,0.5049300390012464,0.9714068697231049,[0.98885167 0.0210084 ],0.9779543949285646,0.013123359580052493,0.9956641133111721,0.5043937364456123,"[20667, 90, 376, 5]"
commons-io,RandomForest,0,model2,ENN,0.9428044280442804,0.6023090865232538,0.9570272765550775,[0.97029265 0.23432552],0.9428044280442804,0.48556430446194226,0.9511971864913041,0.7183807454766231,"[19744, 1013, 196, 185]"
commons-io,DT,0,model2,ENN,0.9317816255085628,0.6108575270844779,0.9515091956346524,[0.96424852 0.25746653],0.9317816255085628,0.6561679790026247,0.9368405838994074,0.796504281451016,"[19446, 1311, 131, 250]"
commons-io,LogisticRegression,0,model2,ENN,0.7725423408080235,0.4827369958859801,0.8559561659107279,[0.86991342 0.09556057],0.7725423408080234,0.6666666666666666,0.7744857156621863,0.7205761911644264,"[16076, 4681, 127, 254]"
commons-io,MLP,0,model2,ENN,0.9808875011827042,0.695441200113496,0.9796600151343222,[0.99028893 0.40059347],0.9808875011827042,0.3543307086614173,0.9923881100351689,0.6733594093482932,"[20599, 158, 246, 135]"
commons-io,RandomForest,0,model3,ENN,0.8802630333995648,0.5432729123529481,0.9214472091225611,[0.93558977 0.15095606],0.8802630333995648,0.5905511811023622,0.8855807679337091,0.7380659745180356,"[18382, 2375, 156, 225]"
commons-io,DT,0,model3,ENN,0.8795061027533352,0.5426531702404306,0.9210069188145414,[0.93515619 0.15015015],0.8795061027533352,0.5905511811023622,0.8848099436334731,0.7376805623679176,"[18366, 2391, 156, 225]"
commons-io,LogisticRegression,0,model3,ENN,0.8134639038698078,0.4932511222806418,0.8815541418402949,[0.89607549 0.09042676],0.8134639038698079,0.5144356955380578,0.8189526424820542,0.666694169010056,"[16999, 3758, 185, 196]"
commons-io,MLP,0,model3,ENN,0.9784747847478474,0.6221993560593487,0.9758539638908316,[0.98907956 0.25531915],0.9784747847478474,0.2047244094488189,0.9926771691477574,0.5987007892982882,"[20605, 152, 303, 78]"
commons-io,RandomForest,0,model1,TL,0.8659759674519822,0.5011213490094293,0.9123775146002607,[0.92775724 0.07448546],0.8659759674519822,0.2992125984251969,0.8763790528496411,0.587795825637419,"[18191, 2566, 267, 114]"
commons-io,DT,0,model1,TL,0.7972372031412622,0.47943495716549306,0.8715116442569361,[0.88617411 0.0726958 ],0.7972372031412622,0.4409448818897638,0.8037770390711567,0.6223609604804603,"[16684, 4073, 213, 168]"
commons-io,LogisticRegression,0,model1,TL,0.7105213359825907,0.45007009890121735,0.814884452841553,[0.82852739 0.07161281],0.7105213359825906,0.6194225721784777,0.7121934768993593,0.6658080245389184,"[14783, 5974, 145, 236]"
commons-io,MLP,0,model1,TL,0.981975588986659,0.49545291800930896,0.9730453419547003,[0.99090584 0.        ],0.981975588986659,0.0,1.0,0.5,"[20757, 0, 381, 0]"
commons-io,RandomForest,0,model2,TL,0.9439871321790141,0.5902887764882253,0.9572418159767951,[0.97096474 0.20961282],0.9439871321790141,0.4120734908136483,0.9537505419858361,0.6829120163997422,"[19797, 960, 224, 157]"
commons-io,DT,0,model2,TL,0.9348566562588703,0.6065425134374864,0.9529990349626051,[0.96595545 0.24712958],0.9348566562588703,0.5931758530183727,0.9411282940694705,0.7671520735439217,"[19535, 1222, 155, 226]"
commons-io,LogisticRegression,0,model2,TL,0.7759485287160564,0.4849973223449159,0.8581356519659101,[0.87208988 0.09790476],0.7759485287160564,0.6745406824146981,0.7778098954569542,0.7261752889358262,"[16145, 4612, 124, 257]"
commons-io,MLP,0,model2,TL,0.983867915602233,0.6736096360092977,0.9803602160949715,[0.99183175 0.35538752],0.983867915602233,0.24671916010498687,0.9973984679867033,0.6220588140458451,"[20703, 54, 287, 94]"
commons-io,RandomForest,0,model3,TL,0.8803576497303436,0.5433506720491798,0.9215022320046506,[0.93564394 0.1510574 ],0.8803576497303435,0.5905511811023622,0.8856771209712386,0.7381141510368003,"[18384, 2373, 156, 225]"
commons-io,DT,0,model3,TL,0.879600719084114,0.5427304122146501,0.9210619655835633,[0.93521041 0.15025042],0.879600719084114,0.5905511811023622,0.8849062966710025,0.7377287388866822,"[18368, 2389, 156, 225]"
commons-io,LogisticRegression,0,model3,TL,0.8246286309016937,0.4992663664310157,0.8883491471607846,[0.90289965 0.09563308],0.8246286309016936,0.5144356955380578,0.8303223009105362,0.672378998224297,"[17235, 3522, 185, 196]"
commons-io,MLP,0,model3,TL,0.981975588986659,0.49545291800930896,0.9730453419547003,[0.99090584 0.        ],0.981975588986659,0.0,1.0,0.5,"[20757, 0, 381, 0]"
