Dataset,Algoritm,window,model,resample,F1-Score(micro),F1-Score(macro),F1-Score(weighted),F1-Score(None),Accuracy,Sensitivity,Specificity,ROC AUC score,Confusion matrix
easymock,RandomForest,0,model1,NONE,0.9032009849184365,0.5283128807274653,0.9396349574127428,[0.94882434 0.10780142],0.9032009849184365,0.5352112676056338,0.9072662206317099,0.7212387441186718,"[11662, 1192, 66, 76]"
easymock,DT,0,model1,NONE,0.8914281317328409,0.5276554466255994,0.9331160667994929,[0.9421745  0.11313639],0.8914281317328409,0.6338028169014085,0.8942741559047768,0.7640384864030927,"[11495, 1359, 52, 90]"
easymock,LogisticRegression,0,model1,NONE,0.7403816558941214,0.4498780531868767,0.8409074684361877,[0.84964349 0.05011261],0.7403816558941213,0.6267605633802817,0.7416368445620041,0.6841987039711429,"[9533, 3321, 53, 89]"
easymock,MLP,0,model1,NONE,0.9890735610957218,0.4972533849129594,0.9836403523655247,[0.99450677 0.        ],0.9890735610957218,0.0,1.0,0.5,"[12854, 0, 142, 0]"
easymock,RandomForest,0,model2,NONE,0.9295167743921207,0.5535852795300777,0.9542930744895184,[0.96324533 0.14392523],0.9295167743921207,0.5422535211267606,0.9337949276489809,0.7380242243878707,"[12003, 851, 65, 77]"
easymock,DT,0,model2,NONE,0.927900892582333,0.5571930101434047,0.9534959789066421,[0.96234982 0.1520362 ],0.927900892582333,0.5915492957746479,0.9316166173953633,0.7615829565850055,"[11975, 879, 58, 84]"
easymock,LogisticRegression,0,model2,NONE,0.7177593105570945,0.44104720174927603,0.8257327143438722,[0.83432701 0.04776739],0.7177593105570945,0.647887323943662,0.7185311965147035,0.6832092602291828,"[9236, 3618, 50, 92]"
easymock,MLP,0,model2,NONE,0.9891505078485688,0.5424326453560597,0.9846628040668123,[0.99454271 0.09032258],0.9891505078485688,0.04929577464788732,0.9995332192313676,0.5244144969396274,"[12848, 6, 135, 7]"
easymock,RandomForest,0,model3,NONE,0.2713911972914743,0.2224336502479008,0.4132795067391325,[0.41754321 0.02732409],0.2713911972914743,0.9366197183098591,0.264042321456356,0.6003310198831076,"[3394, 9460, 9, 133]"
easymock,DT,0,model3,NONE,0.2713911972914743,0.2224336502479008,0.4132795067391325,[0.41754321 0.02732409],0.2713911972914743,0.9366197183098591,0.264042321456356,0.6003310198831076,"[3394, 9460, 9, 133]"
easymock,LogisticRegression,0,model3,NONE,0.2899353647276085,0.2324010629720867,0.43795925406713804,[0.44255165 0.02225048],0.2899353647276085,0.7394366197183099,0.2849696592500389,0.5122031394841744,"[3663, 9191, 37, 105]"
