Dataset,Algoritm,window,model,resample,F1-Score(micro),F1-Score(macro),F1-Score(weighted),F1-Score(None),Accuracy,Sensitivity,Specificity,ROC AUC score,Confusion matrix
easymock,RandomForest,0,model1,RUS,0.6992920898738073,0.4359456187458919,0.8129343958830608,[0.82135674 0.0505345 ],0.6992920898738073,0.7323943661971831,0.6989264042321456,0.7156603852146644,"[8984, 3870, 38, 104]"
easymock,DT,0,model1,RUS,0.7072176054170514,0.43729065796490735,0.8185051181372942,[0.82702187 0.04755945],0.7072176054170514,0.6690140845070423,0.7076396452466158,0.688326864876829,"[9096, 3758, 47, 95]"
easymock,LogisticRegression,0,model1,RUS,0.742305324715297,0.44832002323353853,0.8422423540479281,[0.85104301 0.04559704],0.742305324715297,0.5633802816901409,0.7442819355842539,0.6538311086371974,"[9567, 3287, 62, 80]"
easymock,MLP,0,model1,RUS,0.6755155432440751,0.42345648450881784,0.796338452929927,[0.80466904 0.04224392],0.6755155432440751,0.6549295774647887,0.6757429593900731,0.6653362684274309,"[8686, 4168, 49, 93]"
easymock,RandomForest,0,model2,RUS,0.7471529701446599,0.4590882100211578,0.8451994743284078,[0.85382562 0.0643508 ],0.7471529701446599,0.795774647887324,0.7466158394274156,0.7711952436573698,"[9597, 3257, 29, 113]"
easymock,DT,0,model2,RUS,0.7466143428747307,0.4583262890955198,0.8448591168184739,[0.85349468 0.06315789],0.7466143428747307,0.7816901408450704,0.7462268554535553,0.7639584981493129,"[9592, 3262, 31, 111]"
easymock,LogisticRegression,0,model2,RUS,0.7049861495844876,0.43450680516695867,0.8170539153400369,[0.82560044 0.04341317],0.7049861495844876,0.6126760563380281,0.7060059125564027,0.6593409844472153,"[9075, 3779, 55, 87]"
easymock,MLP,0,model2,RUS,0.6808248691905202,0.42822600513707054,0.799959827763541,[0.80826477 0.04818724],0.6808248691905202,0.7394366197183099,0.6801773766920803,0.709806998205195,"[8743, 4111, 37, 105]"
easymock,RandomForest,0,model3,RUS,0.2665435518621114,0.21926766553215257,0.4071885745460477,[0.41138693 0.0271484 ],0.2665435518621114,0.9366197183098591,0.2591411233857165,0.5978804208477878,"[3331, 9523, 9, 133]"
easymock,DT,0,model3,RUS,0.2665435518621114,0.21926766553215257,0.4071885745460477,[0.41138693 0.0271484 ],0.2665435518621114,0.9366197183098591,0.2591411233857165,0.5978804208477878,"[3331, 9523, 9, 133]"
easymock,LogisticRegression,0,model3,RUS,0.2880886426592798,0.23124221022019112,0.43572207699033694,[0.44029038 0.02219404],0.2880886426592798,0.7394366197183099,0.28310253617550957,0.5112695779469097,"[3639, 9215, 37, 105]"
