Dataset,Algoritm,window,model,resample,F1-Score(micro),F1-Score(macro),F1-Score(weighted),F1-Score(None),Accuracy,precision,Sensitivity,Specificity,ROC AUC score,Confusion matrix
jgit,RandomForest,0,model1,NONE,0.9154865525155204,0.5001348489959612,0.9486510776764626,[0.95578805 0.04448165],0.9154865525155204,0.02440144309609708,0.2511816340310601,0.92073017988008,0.58595590695557,"[172752, 14873, 1109, 372]"
jgit,DT,0,model1,NONE,0.8861167810645881,0.48944966672987616,0.9324215019813107,[0.93947025 0.03942908],0.8861167810645881,0.021108935479249247,0.29844699527346386,0.8907554963357761,0.5946012458046199,"[167128, 20497, 1039, 442]"
jgit,LogisticRegression,0,model1,NONE,0.7591350882573795,0.4501343621410461,0.8558780516056997,[0.86233441 0.03793431],0.7591350882573794,0.019579626722483864,0.6063470627954085,0.7603411059293804,0.6833440843623945,"[142659, 44966, 583, 898]"
jgit,MLP,0,model1,NONE,0.9921684134823855,0.4980344065128699,0.9882680139390312,[0.99606881 0.        ],0.9921684134823855,nan,0.0,1.0,0.5,"[187625, 0, 1481, 0]"
jgit,RandomForest,0,model2,NONE,0.9213562763740971,0.502887555939998,0.9518422860700523,[0.95898624 0.04678887],0.9213562763740971,0.02584802776007365,0.24645509790681971,0.9266835443037975,0.5865693211053086,"[173869, 13756, 1116, 365]"
jgit,DT,0,model2,NONE,0.8977821962285703,0.49467997543991,0.9389372861947022,[0.94600649 0.04335346],0.8977821962285703,0.023391188251001335,0.29574611748818364,0.9025343104596936,0.5991402139739386,"[169338, 18287, 1043, 438]"
jgit,LogisticRegression,0,model2,NONE,0.7620223578310578,0.451373336117182,0.8577391679073396,[0.86420543 0.03854124],0.7620223578310578,0.019900277986144816,0.6090479405806887,0.7632298467688208,0.6861388936747548,"[143201, 44424, 579, 902]"
jgit,MLP,0,model2,NONE,0.9921684134823855,0.4980344065128699,0.9882680139390312,[0.99606881 0.        ],0.9921684134823855,nan,0.0,1.0,0.5,"[187625, 0, 1481, 0]"
jgit,RandomForest,0,model3,NONE,0.8395027127642698,0.4687734148441003,0.9056030446766205,[0.91255406 0.02499277],0.8395027127642698,0.01312061521856449,0.262660364618501,0.8440559626915389,0.55335816365502,"[158366, 29259, 1092, 389]"
jgit,DT,0,model3,NONE,0.4733641449768913,0.3296905216709898,0.63516148611021,[0.64002227 0.01935878],0.4733641449768913,0.009822633025231077,0.6637407157326131,0.4718614257161892,0.5678010707244011,"[88533, 99092, 498, 983]"
jgit,LogisticRegression,0,model3,NONE,0.6813374509534336,0.4138081283453431,0.8036148509081041,[0.80981762 0.01779864],0.6813374509534336,0.009119454836985568,0.36866981769074947,0.6838054630246503,0.5262376403576998,"[128299, 59326, 935, 546]"
jgit,MLP,0,model3,NONE,0.9921684134823855,0.4980344065128699,0.9882680139390312,[0.99606881 0.        ],0.9921684134823855,nan,0.0,1.0,0.5,"[187625, 0, 1481, 0]"
