Dataset,Algoritm,window,model,resample,F1-Score(micro),F1-Score(macro),F1-Score(weighted),F1-Score(None),Accuracy,Sensitivity,Specificity,ROC AUC score,Confusion matrix
junit4,RandomForest,0,model1,NONE,0.986784140969163,0.5680989376882829,0.9877207969049144,[0.99334073 0.14285714],0.986784140969163,0.16666666666666666,0.9922394678492239,0.5794530672579453,"[895, 7, 5, 1]"
junit4,DT,0,model1,NONE,0.9845814977973568,0.5586111111111112,0.9864916789035731,[0.99222222 0.125     ],0.9845814977973568,0.16666666666666666,0.9900221729490022,0.5783444198078345,"[893, 9, 5, 1]"
junit4,LogisticRegression,0,model1,NONE,0.8601321585903083,0.484826147364847,0.9187283229235739,[0.92453951 0.04511278],0.8601321585903083,0.5,0.8625277161862528,0.6812638580931265,"[778, 124, 3, 3]"
junit4,MLP,0,model1,NONE,0.9944933920704846,0.6414751638632236,0.9925343563978581,[0.99723604 0.28571429],0.9944933920704846,0.16666666666666666,1.0,0.5833333333333334,"[902, 0, 5, 1]"
junit4,RandomForest,0,model2,NONE,0.986784140969163,0.5680989376882829,0.9877207969049144,[0.99334073 0.14285714],0.986784140969163,0.16666666666666666,0.9922394678492239,0.5794530672579453,"[895, 7, 5, 1]"
junit4,DT,0,model2,NONE,0.986784140969163,0.5680989376882829,0.9877207969049144,[0.99334073 0.14285714],0.986784140969163,0.16666666666666666,0.9922394678492239,0.5794530672579453,"[895, 7, 5, 1]"
junit4,LogisticRegression,0,model2,NONE,0.8612334801762115,0.48531634636147697,0.9193649957145724,[0.92517815 0.04545455],0.8612334801762115,0.5,0.8636363636363636,0.6818181818181818,"[779, 123, 3, 3]"
junit4,MLP,0,model2,NONE,0.9933920704845814,0.4983425414364641,0.9900990580962349,[0.99668508 0.        ],0.9933920704845814,0.0,1.0,0.5,"[902, 0, 6, 0]"
junit4,RandomForest,0,model3,NONE,0.9933920704845814,0.4983425414364641,0.9900990580962349,[0.99668508 0.        ],0.9933920704845814,0.0,1.0,0.5,"[902, 0, 6, 0]"
junit4,DT,0,model3,NONE,0.031938325991189426,0.031598871598871606,0.04949011486456421,[0.04972973 0.01346801],0.031938325991189426,1.0,0.025498891352549888,0.5127494456762749,"[23, 879, 0, 6]"
junit4,LogisticRegression,0,model3,NONE,0.031938325991189426,0.031598871598871606,0.04949011486456421,[0.04972973 0.01346801],0.031938325991189426,1.0,0.025498891352549888,0.5127494456762749,"[23, 879, 0, 6]"
junit4,MLP,0,model3,NONE,0.9933920704845814,0.4983425414364641,0.9900990580962349,[0.99668508 0.        ],0.9933920704845814,0.0,1.0,0.5,"[902, 0, 6, 0]"
junit4,DT,0,model1,ROS,0.9834801762114538,0.5546545466435602,0.9858866051091413,[0.99166203 0.11764706],0.9834801762114538,0.16666666666666666,0.9889135254988913,0.5777900960827791,"[892, 10, 5, 1]"
junit4,RandomForest,0,model1,ROS,0.98568281938326,0.5630575606144734,0.9871026130857307,[0.99278179 0.13333333],0.98568281938326,0.16666666666666666,0.991130820399113,0.5788987435328898,"[894, 8, 5, 1]"
junit4,LogisticRegression,0,model1,ROS,0.8744493392070485,0.49913871523409525,0.9269737267859605,[0.93270366 0.06557377],0.8744493392070485,0.6666666666666666,0.8758314855875832,0.7712490761271249,"[790, 112, 2, 4]"
junit4,MLP,0,model1,ROS,0.9812775330396476,0.5479014732155932,0.9846899429595221,[0.99053979 0.10526316],0.9812775330396476,0.16666666666666666,0.9866962305986696,0.5766814486326681,"[890, 12, 5, 1]"
junit4,DT,0,model2,ROS,0.9834801762114538,0.5546545466435602,0.9858866051091413,[0.99166203 0.11764706],0.9834801762114538,0.16666666666666666,0.9889135254988913,0.5777900960827791,"[892, 10, 5, 1]"
junit4,RandomForest,0,model2,ROS,0.98568281938326,0.5630575606144734,0.9871026130857307,[0.99278179 0.13333333],0.98568281938326,0.16666666666666666,0.991130820399113,0.5788987435328898,"[894, 8, 5, 1]"
junit4,LogisticRegression,0,model2,ROS,0.8755506607929515,0.4919160357130477,0.9275771562093643,[0.9334119  0.05042017],0.8755506607929515,0.5,0.8780487804878049,0.6890243902439025,"[792, 110, 3, 3]"
junit4,MLP,0,model2,ROS,0.9801762114537445,0.544988864142539,0.9840968181862778,[0.98997773 0.1       ],0.9801762114537445,0.16666666666666666,0.9855875831485588,0.5761271249076128,"[889, 13, 5, 1]"
junit4,RandomForest,0,model1,NONE,0.986784140969163,0.5680989376882829,0.9877207969049144,[0.99334073 0.14285714],0.986784140969163,0.16666666666666666,0.9922394678492239,0.5794530672579453,"[895, 7, 5, 1]"
junit4,DT,0,model1,NONE,0.9845814977973568,0.5586111111111112,0.9864916789035731,[0.99222222 0.125     ],0.9845814977973568,0.16666666666666666,0.9900221729490022,0.5783444198078345,"[893, 9, 5, 1]"
junit4,LogisticRegression,0,model1,NONE,0.8601321585903083,0.484826147364847,0.9187283229235739,[0.92453951 0.04511278],0.8601321585903083,0.5,0.8625277161862528,0.6812638580931265,"[778, 124, 3, 3]"
junit4,MLP,0,model1,NONE,0.9944933920704846,0.6414751638632236,0.9925343563978581,[0.99723604 0.28571429],0.9944933920704846,0.16666666666666666,1.0,0.5833333333333334,"[902, 0, 5, 1]"
