Dataset,Algoritm,window,model,resample,F1-Score(micro),F1-Score(macro),F1-Score(weighted),F1-Score(None),Accuracy,Sensitivity,Specificity,ROC AUC score,Confusion matrix
pdfbox,RandomForest,0,model1,NONE,0.8399117112438327,0.693630698593934,0.8650065185623894,[0.90532862 0.48193277],0.8399117112438328,0.78186775732788,0.8460213819329842,0.813944569630432,"[23582, 4292, 640, 2294]"
pdfbox,DT,0,model1,NONE,0.8270579070371333,0.6933793829257482,0.8572739061455862,[0.89583578 0.49092299],0.8270579070371332,0.8755964553510566,0.8219487694625817,0.8487726124068191,"[22911, 4963, 365, 2569]"
pdfbox,LogisticRegression,0,model1,NONE,0.7021228252401973,0.5347877107975326,0.7606543425126411,[0.8137973  0.25577812],0.7021228252401973,0.5374914792092707,0.7194518188993327,0.6284716490543016,"[20054, 7820, 1357, 1577]"
pdfbox,MLP,0,model1,NONE,0.9038886003635419,0.5480036534301298,0.8726834126033858,[0.94907559 0.14693172],0.9038886003635419,0.0869120654396728,0.9898830451316639,0.5383975552856685,"[27592, 282, 2679, 255]"
pdfbox,RandomForest,0,model2,NONE,0.9204427421448973,0.8014256582429709,0.9258768792615465,[0.95515835 0.64769297],0.9204427421448974,0.7678936605316974,0.9364999641242735,0.8521968123279854,"[26104, 1770, 681, 2253]"
pdfbox,DT,0,model2,NONE,0.9013892495455725,0.7848957770261574,0.9130427073646461,[0.94319372 0.62659784],0.9013892495455725,0.8687798227675528,0.9048216976393771,0.886800760203465,"[25221, 2653, 385, 2549]"
pdfbox,LogisticRegression,0,model2,NONE,0.7669761101012724,0.6114058291752673,0.810447680419025,[0.85727918 0.36553248],0.7669761101012724,0.7048398091342877,0.7735165387099089,0.7391781739220983,"[21561, 6313, 866, 2068]"
pdfbox,MLP,0,model2,NONE,0.9273240716696963,0.7659704453373426,0.9232809273641945,[0.96029367 0.57164722],0.9273240716696962,0.50920245398773,0.9713352945397145,0.7402688742637222,"[27075, 799, 1440, 1494]"
pdfbox,RandomForest,0,model3,NONE,0.8621786548948325,0.6647499837898945,0.8730179415496929,[0.9220202  0.40747977],0.8621786548948325,0.49761417859577367,0.9005524861878453,0.6990833323918095,"[25102, 2772, 1474, 1460]"
pdfbox,DT,0,model3,NONE,0.8621786548948325,0.6647499837898945,0.8730179415496929,[0.9220202  0.40747977],0.8621786548948325,0.49761417859577367,0.9005524861878453,0.6990833323918095,"[25102, 2772, 1474, 1460]"
pdfbox,LogisticRegression,0,model3,NONE,0.8621786548948325,0.6647499837898945,0.8730179415496929,[0.9220202  0.40747977],0.8621786548948325,0.49761417859577367,0.9005524861878453,0.6990833323918095,"[25102, 2772, 1474, 1460]"
pdfbox,MLP,0,model3,NONE,0.9047649961049078,0.4750008520500324,0.8595282881097509,[0.9500017 0.       ],0.9047649961049078,0.0,1.0,0.5,"[27874, 0, 2934, 0]"
pdfbox,DT,0,model1,ROS,0.8268306933264087,0.6963111388524454,0.8574814952707575,[0.89540241 0.49721987],0.8268306933264087,0.8991138377641446,0.8192222142498385,0.8591680260069915,"[22835, 5039, 296, 2638]"
pdfbox,RandomForest,0,model1,ROS,0.8282913528953518,0.6981286010458428,0.8585961754960038,[0.89635174 0.49990546],0.8282913528953518,0.9011588275391956,0.8206213675826936,0.8608900975609445,"[22874, 5000, 290, 2644]"
pdfbox,LogisticRegression,0,model1,ROS,0.7003700337574656,0.5345910508514841,0.759452520024007,[0.81235898 0.25682312],0.7003700337574656,0.543626448534424,0.7168687665925235,0.6302476075634738,"[19982, 7892, 1339, 1595]"
pdfbox,MLP,0,model1,ROS,0.7921643728901584,0.6435433328264981,0.8298706207764146,[0.87371058 0.41337609],0.7921643728901584,0.7689161554192229,0.7946114658821841,0.7817638106507034,"[22149, 5725, 678, 2256]"
pdfbox,DT,0,model2,ROS,0.900220721890418,0.7844095922243628,0.9123249852213255,[0.94242152 0.62639767],0.900220721890418,0.878323108384458,0.9025256511444357,0.8904243797644469,"[25157, 2717, 357, 2577]"
pdfbox,RandomForest,0,model2,ROS,0.9039859776681382,0.7887962381329201,0.9150634719588842,[0.94477222 0.63282026],0.9039859776681382,0.8687798227675528,0.907691755758054,0.8882357892628034,"[25301, 2573, 385, 2549]"
pdfbox,LogisticRegression,0,model2,ROS,0.7675279148273175,0.6119803908221544,0.8108604917494985,[0.85765393 0.36630685],0.7675279148273175,0.7055214723926381,0.7740546746071608,0.7397880734998994,"[21576, 6298, 864, 2070]"
pdfbox,MLP,0,model2,ROS,0.8203388730199948,0.6833164129702971,0.85194903836578,[0.89162571 0.47500711],0.8203388730199948,0.8534423994546694,0.8168544163019301,0.8351484078782997,"[22769, 5105, 430, 2504]"
pdfbox,DT,0,model3,ROS,0.8621786548948325,0.6647499837898945,0.8730179415496929,[0.9220202  0.40747977],0.8621786548948325,0.49761417859577367,0.9005524861878453,0.6990833323918095,"[25102, 2772, 1474, 1460]"
pdfbox,RandomForest,0,model3,ROS,0.8621786548948325,0.6647499837898945,0.8730179415496929,[0.9220202  0.40747977],0.8621786548948325,0.49761417859577367,0.9005524861878453,0.6990833323918095,"[25102, 2772, 1474, 1460]"
pdfbox,LogisticRegression,0,model3,ROS,0.8621786548948325,0.6647499837898945,0.8730179415496929,[0.9220202  0.40747977],0.8621786548948325,0.49761417859577367,0.9005524861878453,0.6990833323918095,"[25102, 2772, 1474, 1460]"
pdfbox,MLP,0,model3,ROS,0.8621786548948325,0.6647499837898945,0.8730179415496929,[0.9220202  0.40747977],0.8621786548948325,0.49761417859577367,0.9005524861878453,0.6990833323918095,"[25102, 2772, 1474, 1460]"
pdfbox,RandomForest,0,model1,SMOTE,0.8560763438068033,0.6941042775880858,0.8742980206291607,[0.91669485 0.47151371],0.8560763438068034,0.6741649625085208,0.8752242232905216,0.7746945928995213,"[24396, 3478, 956, 1978]"
pdfbox,DT,0,model1,SMOTE,0.8496169826019215,0.687826520302464,0.8697578125044781,[0.91256346 0.46308958],0.8496169826019215,0.6809815950920245,0.8673674391906436,0.7741745171413341,"[24177, 3697, 936, 1998]"
pdfbox,LogisticRegression,0,model1,SMOTE,0.7008893793819787,0.5348375511169257,0.7598243820470296,[0.81276034 0.25691476],0.7008893793819787,0.5429447852760736,0.7175145296692258,0.6302296574726497,"[20000, 7874, 1341, 1593]"
pdfbox,MLP,0,model1,SMOTE,0.7963515969877953,0.636390095852831,0.8316254799335794,[0.87756138 0.39521882],0.7963515969877953,0.6987048398091343,0.8066298342541437,0.7526673370316389,"[22484, 5390, 884, 2050]"
pdfbox,RandomForest,0,model2,SMOTE,0.9432290314204103,0.8429684891136879,0.944544551392993,[0.96844384 0.71749314],0.9432290314204103,0.7569870483980914,0.9628327473631341,0.8599098978806127,"[26838, 1036, 713, 2221]"
pdfbox,DT,0,model2,SMOTE,0.9373863931446378,0.8314331170649578,0.9396204130906372,[0.96507523 0.69779101],0.9373863931446378,0.7590320381731425,0.9561598622372103,0.8575959502051763,"[26652, 1222, 707, 2227]"
