Dataset,Algoritm,window,model,resample,F1-Score(micro),F1-Score(macro),F1-Score(weighted),F1-Score(None),Accuracy,Sensitivity,Specificity,ROC AUC score,Confusion matrix
wro4j,RandomForest,0,model1,NONE,0.8951915024901935,0.5134914003542177,0.9182868562344015,[0.94442107 0.08256173],0.8951915024901935,0.1555232558139535,0.9183218944593428,0.5369225751366481,"[20204, 1797, 581, 107]"
wro4j,DT,0,model1,NONE,0.7843448367050112,0.47658127733962796,0.8535995978795988,[0.87794048 0.07522208],0.7843448367050112,0.28924418604651164,0.7998272805781556,0.5445357333123336,"[17597, 4404, 489, 199]"
wro4j,LogisticRegression,0,model1,NONE,0.7448102604786461,0.48683693295984043,0.8286151097117709,[0.85068083 0.12299303],0.7448102604786461,0.5901162790697675,0.7496477432843962,0.6698820111770819,"[16493, 5508, 282, 406]"
wro4j,MLP,0,model1,NONE,0.9699413812860858,0.5038292679172877,0.9555707745440528,[0.9847359  0.02292264],0.9699413812860858,0.011627906976744186,0.9999090950411345,0.5057685010089393,"[21999, 2, 680, 8]"
wro4j,RandomForest,0,model2,NONE,0.9124685971175459,0.5164504496739404,0.9275123878449609,[0.95405118 0.07884972],0.9124685971175459,0.12354651162790697,0.9371392209445025,0.5303428662862046,"[20618, 1383, 603, 85]"
wro4j,DT,0,model2,NONE,0.8484728282427608,0.5031969608523333,0.892246105007352,[0.91736372 0.08903021],0.8484728282427608,0.2441860465116279,0.8673696650152266,0.5557778557634273,"[19083, 2918, 520, 168]"
wro4j,LogisticRegression,0,model2,NONE,0.7371854202476973,0.4839465207285986,0.8235262782125891,[0.84545007 0.12244297],0.7371854202476972,0.6046511627906976,0.7413299395482024,0.6729905511694501,"[16310, 5691, 272, 416]"
wro4j,MLP,0,model2,NONE,0.9699854555070739,0.5227193600924215,0.9567287523512307,[0.98474907 0.06068966],0.9699854555070739,0.03197674418604651,0.9993182128085087,0.5156474784972777,"[21986, 15, 666, 22]"
wro4j,RandomForest,0,model3,NONE,0.6992815901978933,0.4550095807101832,0.7977462060039004,[0.81987381 0.09014535],0.6992815901978933,0.49127906976744184,0.7057861006317895,0.5985325851996156,"[15528, 6473, 350, 338]"
wro4j,DT,0,model3,NONE,0.6548547754418441,0.4364869202386673,0.7660022202914362,[0.78727623 0.08569761],0.6548547754418441,0.5334302325581395,0.6586518794600246,0.5960410560090821,"[14491, 7510, 321, 367]"
