Dataset,Algoritm,Approach,window,model,resample,F1-Score,Accuracy,Sensitivity,Specificity,ROC AUC score
commons-bcel,RandomForest,trad,0,Str,NONE,0.91640421,0.8467961677067768,0.319205298013245,0.8587308245445829,0.588968061278914
commons-bcel,DT,trad,0,Str,NONE,0.91640421,0.7769476429052767,0.4980132450331125,0.7832574304889741,0.6406353377610433
commons-bcel,LogisticRegression,trad,0,Str,NONE,0.91640421,0.7056634730889807,0.6251655629139072,0.7074844199424737,0.6663249914281905
commons-bcel,MLP,trad,0,Str,NONE,0.91640421,0.9778793472210014,0.0,1.0,0.5
commons-bcel,RandomForest,trad,0,StrEvo,NONE,0.91640421,0.9403474846913364,0.4264900662251655,0.9519714765100672,0.6892307713676163
commons-bcel,DT,trad,0,StrEvo,NONE,0.91640421,0.920541443262723,0.4900662251655629,0.930279242569511,0.710172733867537
commons-bcel,LogisticRegression,trad,0,StrEvo,NONE,0.91640421,0.8101139726348481,0.7933774834437086,0.8104925695110259,0.8019350264773673
commons-bcel,MLP,trad,0,StrEvo,NONE,0.91640421,0.9777035539538836,0.1496688741721854,0.9964345637583892,0.5730517189652873
commons-bcel,RandomForest,trad,0,Evo,NONE,0.91640421,0.8147138964577657,0.7377483443708609,0.8164549376797698,0.7771016410253153
commons-bcel,DT,trad,0,Evo,NONE,0.91640421,0.8140400222671472,0.7377483443708609,0.815765819750719,0.7767570820607901
commons-bcel,LogisticRegression,trad,0,Evo,NONE,0.91640421,0.8514839881632533,0.6503311258278146,0.856034276126558,0.7531827009771863
commons-bcel,MLP,trad,0,Evo,NONE,0.91640421,0.9778793472210014,0.0,1.0,0.5
commons-bcel,DT,trad,0,Str,ROS,0.91640421,0.7655503794204682,0.5350993377483444,0.770763422818792,0.6529313802835682
commons-bcel,RandomForest,trad,0,Str,ROS,0.91640421,0.765901965954704,0.5298013245033113,0.7712428092042186,0.6505220668537649
commons-bcel,LogisticRegression,trad,0,Str,ROS,0.91640421,0.6988954323049427,0.6609271523178808,0.6997543144774688,0.6803407333976749
commons-bcel,MLP,trad,0,Str,ROS,0.91640421,0.7224224312208842,0.7086092715231788,0.722734899328859,0.7156720854260188
commons-bcel,DT,trad,0,StrEvo,ROS,0.91640421,0.9147109665699804,0.5046357615894039,0.9239872962607862,0.7143115289250951
commons-bcel,RandomForest,trad,0,StrEvo,ROS,0.91640421,0.9156485306612756,0.5178807947019868,0.9246464525407478,0.7212636236213673
commons-bcel,LogisticRegression,trad,0,StrEvo,ROS,0.91640421,0.8153584717705312,0.7907284768211921,0.8159156279961649,0.8033220524086784
commons-bcel,MLP,trad,0,StrEvo,ROS,0.91640421,0.8858515718847968,0.7298013245033113,0.8893815915627996,0.8095914580330554
commons-bcel,DT,trad,0,Evo,ROS,0.91640421,0.8140693211450002,0.7390728476821192,0.815765819750719,0.7774193337164192
commons-bcel,RandomForest,trad,0,Evo,ROS,0.91640421,0.8140693211450002,0.7390728476821192,0.815765819750719,0.7774193337164192
commons-bcel,LogisticRegression,trad,0,Evo,ROS,0.91640421,0.8514839881632533,0.6503311258278146,0.856034276126558,0.7531827009771863
commons-bcel,MLP,trad,0,Evo,ROS,0.91640421,0.815680759426914,0.7337748344370861,0.8175335570469798,0.775654195742033
commons-bcel,RandomForest,trad,0,Str,SMOTE,0.91640421,0.925903137909818,0.1403973509933775,0.9436720997123682,0.5420347253528729
commons-bcel,DT,trad,0,Str,SMOTE,0.91640421,0.9228853534909612,0.1576158940397351,0.9401965484180248,0.54890622122888
commons-bcel,LogisticRegression,trad,0,Str,SMOTE,0.91640421,0.6941490140927602,0.6649006622516557,0.6948106423777565,0.679855652314706
