Proj,Fs,App,F1,Acc,Sen,AUC,RS,F1,Acc,Sen,AUC,RS,F1,Acc,Sen,AUC,RS,F1,Acc,Sen,AUC,RS
commons-bcel,model1,slw,0.88869909,0.8024192189763806,0.600297176820208,0.7037030254231358,ENN,0.81218109,0.6887024495434483,0.6894502228826151,0.6890676612585868,ADA,0.86403517,0.7645136291654031,0.7176820208023774,0.7416411207231911,ROS,0.82867951,0.7126034477118838,0.7701149425287356,0.7406892704275476,RUS
commons-bcel,model2,slw,0.92054307,0.8556555139997979,0.8603268945022289,0.8579370113413026,RUS,0.90895799,0.8363489335894067,0.8558692421991084,0.8458826318559495,SMOTE,0.92431222,0.8621584285184811,0.9034175334323924,0.8823093321164582,RUS,0.90947274,0.8373260554600896,0.8900445765230312,0.8630737258951087,RUS
commons-bcel,model3,slw,0.92541386,0.8636746521109202,0.7919762258543833,0.8286572158714101,NONE,0.92524105,0.8633714073924323,0.7890044576523031,0.8270506670803058,ROS,0.92524105,0.8633714073924323,0.7890044576523031,0.8270506670803058,SMOTE,0.92541386,0.8636746521109202,0.7919762258543833,0.8286572158714101,ENN
commons-csv,model1,slw,0.87738707,0.7869565217391304,0.8,0.7932703659976387,RUS,0.88633694,0.8006864988558352,0.762962962962963,0.7824259915169006,ROS,0.92832936,0.8693363844393592,0.7481481481481481,0.8106738379465652,ROS,0.88132475,0.7933638443935926,0.8444444444444444,0.8180899908172636,RUS
commons-csv,model2,slw,0.87640449,0.7860411899313501,0.8888888888888888,0.8358257903712448,RUS,0.88601645,0.8002288329519451,0.7703703703703704,0.7857755039573222,ROS,0.98345829,0.968192219679634,0.7333333333333333,0.8545060999606454,ROS,0.90010352,0.8233409610983982,0.8888888888888888,0.8550701823429095,RUS
commons-csv,model3,slw,0.87120308,0.7778032036613273,0.8518518518518519,0.8136472954654773,RUS,0.73198519,0.5867369345630216,0.6415094339622641,0.6131324189151479,RUS,0.88,0.7913043478260869,0.8444444444444444,0.8170274170274171,ADA,0.90143023,0.8249427917620137,0.7925925925925926,0.8092833092833094,NONE
commons-io,model1,slw,0.82674619,0.7088367185439198,0.6767676767676768,0.693144331944914,RUS,0.76051371,0.62025850699024,0.8282828282828283,0.7220513230804734,SMOTE,0.85674889,0.7533632286995515,0.7575757575757576,0.7554245510223742,ROS,0.80520694,0.6792472180913799,0.7851851851851852,0.7310928020605441,RUS
commons-io,model2,slw,0.88959745,0.8043679035149671,0.8164383561643835,0.8102810337522949,RUS,0.8507688,0.7445001318913216,0.7752525252525253,0.7595482411811417,ROS,0.96901175,0.9408599314165128,0.7752525252525253,0.8598230404698964,ROS,0.89376147,0.8112674525995546,0.8767123287671232,0.8433278970074394,RUS
commons-io,model3,slw,0.91695502,0.8487531917205411,0.6931506849315069,0.7725259022706531,NONE,0.89425357,0.8110501439669691,0.6109589041095891,0.713028504266301,RUS,0.8877989,0.801162601184332,0.7315068493150685,0.7670393131399641,ROS,0.91776208,0.8501113706742001,0.6931506849315069,0.7732187301167899,TL
easymock,model1,slw,0.95724049,0.9185790908291568,0.656,0.7887485775248934,NONE,0.86156744,0.7587747287811104,0.6846153846153846,0.7221397801386731,ADA,0.937117,0.8827046513672734,0.792,0.8378563300142248,ROS,0.85770771,0.7531873736041502,0.848,0.8000668563300142,RUS
easymock,model2,slw,0.98062243,0.962279082036402,0.712,0.838530227596017,ENN,0.88840061,0.8008934269304403,0.7076923076923077,0.7548517816715989,ROS,0.97542138,0.9524311966939242,0.776,0.865195945945946,ROS,0.87246307,0.776371666383557,0.9,0.8373881624225741,RUS
easymock,model3,slw,0.92523042,0.8617011578083691,0.5076923076923077,0.6868196753887316,RUS,0.91146691,0.8381803263743276,0.4384615384615384,0.6407179912992257,ROS,0.92824142,0.8668976205670526,0.5076923076923077,0.6894490692442534,RUS,0.52506291,0.3633877290546084,0.9692307692307692,0.6626760913226455,SMOTE
pdfbox,model1,slw,0.94886544,0.9104394732666984,0.8162932790224032,0.86844456981836,TL,0.80987721,0.6975745868212063,0.6355283307810107,0.6693998984238761,SMOTE,0.90858438,0.8464223385689355,0.8545824847250509,0.8500622578742362,ROS,0.91424528,0.8557829604950024,0.8936863543788187,0.8726901693236977,RUS
pdfbox,model2,slw,0.95690688,0.9257456771006156,0.9350119088125212,0.9298157460040112,ENN,0.89240911,0.8192315947628246,0.8269525267993875,0.8227376057319022,RUS,0.96262817,0.9340790099952404,0.8737270875763747,0.907158398118723,ROS,0.98589625,0.9746152625733776,0.8973523421588595,0.9401513215825716,ADA
pdfbox,model3,slw,0.91907014,0.859669456965014,0.7473200612557427,0.8086525315652542,RUS,0.91907014,0.859669456965014,0.7473200612557427,0.8086525315652542,RUS,0.91907014,0.859669456965014,0.7473200612557427,0.8086525315652542,RUS,0.91907014,0.859669456965014,0.7473200612557427,0.8086525315652542,RUS
wro4j,model1,slw,0.92156962,0.8556020455602046,0.25,0.5618476491429666,SMOTE,0.83379355,0.7209552797939592,0.6701492537313433,0.6963750861356741,NONE,0.87615869,0.7826127382612739,0.469551282051282,0.6307585961151746,ROS,0.96559888,0.9337982333798234,0.1618589743589743,0.5593600148056483,SMOTE
wro4j,model2,slw,0.93685128,0.8820548582054858,0.2467948717948718,0.5739145286868642,ADA,0.82613579,0.7100444860688363,0.6746268656716418,0.6929092752336938,ROS,0.89228283,0.8078568107856811,0.4150641025641026,0.6173280869039991,ROS,0.97157399,0.9449558344955834,0.1474358974358974,0.5581094071111308,ADA
wro4j,model3,slw,0.82791032,0.7105997210599722,0.4983974358974359,0.607668506323706,ROS,0.77384308,0.6367152492806943,0.5193548387096775,0.5798027776950555,SMOTE,0.72977035,0.5820548582054859,0.6105769230769231,0.5958898213009819,SMOTE,0.82757286,0.7100883310088331,0.4951923076923077,0.6058504868922134,ROS
Openfire,model1,slw,0.91132783,0.8387385086823289,0.8482051282051282,0.8434150264153586,RUS,0.87322494,0.7768009144413639,0.6835897435897436,0.7307545203347617,ADA,0.97262616,0.9472575612097937,0.8575012543903663,0.9029226436910804,ROS,0.90622417,0.8303297825769735,0.8861538461538462,0.8579069153241266,RUS
Openfire,model2,slw,0.91161842,0.8392309937253758,0.8517948717948718,0.84543755969606,RUS,0.88093735,0.7889488788365193,0.6892307692307692,0.7396880517004562,SMOTE,0.97641756,0.9543873729266988,0.8523076923076923,0.9039599277920244,ROS,0.90802758,0.8333394133955931,0.8969230769230769,0.8647497948206776,RUS
Openfire,model3,slw,0.54366259,0.3792560435818863,0.8005128205128205,0.5873572335295671,ADA,0.35699791,0.225521669341894,0.8876923076923077,0.5526345025004898,ROS,0.53146015,0.3679532078408483,0.8005128205128205,0.5816380078247394,SMOTE,0.54366259,0.3792560435818863,0.8005128205128205,0.5873572335295671,ADA
