Proj,Fs,App,window,Algorithm,F1,Acc,Sen,AUC,RS
commons-bcel,Str,slw,2,DT,0.8264638,0.7085187539732994,0.6476462196861626,0.6787761317228563,RUS
commons-bcel,Str,slw,2,LogisticRegression,0.8100712,0.6854100445009536,0.651925820256776,0.6690494864150034,ADA
commons-bcel,Str,slw,2,MLP,0.76363782,0.6246980292434838,0.8273894436519258,0.7237340599058744,RUS
commons-bcel,Str,slw,2,RandomForest,0.8123572,0.6893515575333757,0.7589158345221113,0.7233410083888557,RUS
commons-bcel,StrEvo,slw,2,DT,0.9009827,0.8232040686586141,0.8459343794579173,0.8343102112836256,RUS
commons-bcel,StrEvo,slw,2,LogisticRegression,0.88704271,0.8007628734901462,0.8288159771754636,0.814469759126436,ADA
commons-bcel,StrEvo,slw,2,MLP,0.89704777,0.8171010807374444,0.9101283880171184,0.8625546845966796,RUS
commons-bcel,StrEvo,slw,2,RandomForest,0.89754318,0.8178639542275906,0.9015691868758916,0.8587627461737304,RUS
commons-bcel,Evo,slw,2,DT,0.90452831,0.8286395422759059,0.7574893009985735,0.7938751814008115,SMOTE
commons-bcel,Evo,slw,2,LogisticRegression,0.91664042,0.8485696122059758,0.717546362339515,0.7845510022952815,ROS
commons-bcel,Evo,slw,2,MLP,0.90423723,0.8281627463445645,0.7574893009985735,0.7936313503269795,ROS
commons-bcel,Evo,slw,2,RandomForest,0.90452831,0.8286395422759059,0.7574893009985735,0.7938751814008115,SMOTE
commons-bcel,Str,slw,3,DT,0.84548887,0.7363187334401884,0.6537356321839081,0.695989155004088,RUS
commons-bcel,Str,slw,3,LogisticRegression,0.81781615,0.6962807889830231,0.6408045977011494,0.6691889097292357,ROS
commons-bcel,Str,slw,3,MLP,0.86640804,0.7679500179909065,0.6795977011494253,0.7248030346751312,ROS
commons-bcel,Str,slw,3,RandomForest,0.82867951,0.7126034477118838,0.7701149425287356,0.7406892704275476,RUS
commons-bcel,StrEvo,slw,3,DT,0.91190658,0.8410912302508914,0.8175287356321839,0.8295844514981002,RUS
commons-bcel,StrEvo,slw,3,LogisticRegression,0.90617081,0.8316378266985052,0.8189655172413793,0.8254492858173424,ROS
commons-bcel,StrEvo,slw,3,MLP,0.90812367,0.8350397435478067,0.8692528735632183,0.851747775693743,RUS
commons-bcel,StrEvo,slw,3,RandomForest,0.90090784,0.8232638775309934,0.8721264367816092,0.8471259798970807,RUS
commons-bcel,Evo,slw,3,DT,0.91338469,0.8433155604985116,0.7543103448275862,0.7998497330832492,NONE
commons-bcel,Evo,slw,3,LogisticRegression,0.91360078,0.8436753786268032,0.7543103448275862,0.8000338335016592,ROS
commons-bcel,Evo,slw,3,MLP,0.91360078,0.8436753786268032,0.7543103448275862,0.8000338335016592,RUS
commons-bcel,Evo,slw,3,RandomForest,0.91336504,0.843282849759576,0.7543103448275862,0.7998329966815756,NONE
commons-bcel,Str,slw,4,DT,0.88869909,0.8024192189763806,0.600297176820208,0.7037030254231358,ENN
commons-bcel,Str,slw,4,LogisticRegression,0.81218109,0.6887024495434483,0.6894502228826151,0.6890676612585868,ADA
commons-bcel,Str,slw,4,MLP,0.86403517,0.7645136291654031,0.7176820208023774,0.7416411207231911,ROS
commons-bcel,Str,slw,4,RandomForest,0.82612458,0.7089187641093029,0.7682020802377415,0.7378726735740178,RUS
commons-bcel,StrEvo,slw,4,DT,0.92054307,0.8556555139997979,0.8603268945022289,0.8579370113413026,RUS
commons-bcel,StrEvo,slw,4,LogisticRegression,0.90895799,0.8363489335894067,0.8558692421991084,0.8458826318559495,SMOTE
commons-bcel,StrEvo,slw,4,MLP,0.92431222,0.8621584285184811,0.9034175334323924,0.8823093321164582,RUS
commons-bcel,StrEvo,slw,4,RandomForest,0.90947274,0.8373260554600896,0.8900445765230312,0.8630737258951087,RUS
commons-bcel,Evo,slw,4,DT,0.92541386,0.8636746521109202,0.7919762258543833,0.8286572158714101,NONE
commons-bcel,Evo,slw,4,LogisticRegression,0.92524105,0.8633714073924323,0.7890044576523031,0.8270506670803058,ROS
commons-bcel,Evo,slw,4,MLP,0.92524105,0.8633714073924323,0.7890044576523031,0.8270506670803058,SMOTE
commons-bcel,Evo,slw,4,RandomForest,0.92541386,0.8636746521109202,0.7919762258543833,0.8286572158714101,ENN
commons-csv,Str,slw,2,DT,0.91602519,0.8480050664977834,0.5521472392638037,0.705347777917866,ENN
commons-csv,Str,slw,2,LogisticRegression,0.861402,0.7625079164027866,0.7116564417177914,0.7379882558392192,ROS
commons-csv,Str,slw,2,MLP,0.88016529,0.7918513827316868,0.7975460122699386,0.7945972300090401,ROS
commons-csv,Str,slw,2,RandomForest,0.83984868,0.7318978256280346,0.8404907975460123,0.7842593909024334,RUS
commons-csv,StrEvo,slw,2,DT,0.96756214,0.9385687143761876,0.6503067484662577,0.7995740126240339,ENN
commons-csv,StrEvo,slw,2,LogisticRegression,0.86782737,0.7724298078952924,0.7361963190184049,0.754958675468975,ROS
commons-csv,StrEvo,slw,2,MLP,0.95288909,0.9123918091619168,0.7668711656441718,0.8422243891185441,ROS
