Proj,Fs,App,F1,Acc,Sen,AUC,RS,F1,Acc,Sen,AUC,RS,F1,Acc,Sen,AUC,RS,F1,Acc,Sen,AUC,RS
Openfire,model1,trad,0.86177567,0.7591567291311755,0.7385786802030457,0.7489856994406854,RUS,0.8620312,0.759312123025922,0.6527918781725889,0.7066627889308649,ENN,0.90972905,0.8356910999585616,0.6842639593908629,0.7608458146723207,ROS,0.86208458,0.7598013260279018,0.8010152284263959,0.7801719562280773,RUS
Openfire,model1,slw,0.91132783,0.8387385086823289,0.8482051282051282,0.8434150264153586,RUS,0.87322494,0.7768009144413639,0.6835897435897436,0.7307545203347617,ADA,0.97262616,0.9472575612097937,0.8575012543903663,0.9029226436910804,ROS,0.90622417,0.8303297825769735,0.8861538461538462,0.8579069153241266,RUS
Openfire,model2,trad,0.86481411,0.7638300566324416,0.7421319796954314,0.7531054351912326,RUS,0.86252135,0.7600833371702196,0.6598984771573604,0.7105653683245209,ADA,0.93181797,0.8733194438049634,0.6766497461928934,0.7761123013485337,ROS,0.87092881,0.7734702334361618,0.8111675126903554,0.792102716422485,RUS
Openfire,model2,slw,0.91161842,0.8392309937253758,0.8517948717948718,0.84543755969606,RUS,0.88093735,0.7889488788365193,0.6892307692307692,0.7396880517004562,SMOTE,0.97641756,0.9543873729266988,0.8523076923076923,0.9039599277920244,ROS,0.90802758,0.8333394133955931,0.8969230769230769,0.8647497948206776,RUS
Openfire,model3,trad,0.50292581,0.3419471430544684,0.7979695431472081,0.5673435053175354,ADA,0.70958205,0.5522583912703163,0.4649746192893401,0.50911699145068,ROS,0.48641165,0.3275070215019107,0.7984771573604061,0.5602915411558991,ROS,0.50209012,0.3412162162162162,0.798984771573604,0.5674756436368678,NONE
Openfire,model3,slw,0.54366259,0.3792560435818863,0.8005128205128205,0.5873572335295671,ADA,0.35699791,0.225521669341894,0.8876923076923077,0.5526345025004898,ROS,0.53146015,0.3679532078408483,0.8005128205128205,0.5816380078247394,SMOTE,0.54366259,0.3792560435818863,0.8005128205128205,0.5873572335295671,ADA
commons-bcel,model1,trad,0.79095821,0.6599572236383346,0.752317880794702,0.7050929049227584,RUS,0.81220193,0.6884943306671355,0.6728476821192053,0.6808479781641089,ADA,0.78915445,0.6577891066772142,0.785430463576159,0.7201660946835733,RUS,0.81107492,0.6873223755530163,0.7298013245033113,0.7080813909189615,RUS
commons-bcel,model1,slw,0.88869909,0.8024192189763806,0.600297176820208,0.7037030254231358,ENN,0.81218109,0.6887024495434483,0.6894502228826151,0.6890676612585868,ADA,0.86403517,0.7645136291654031,0.7176820208023774,0.7416411207231911,ROS,0.82867951,0.7126034477118838,0.7701149425287356,0.7406892704275476,RUS
commons-bcel,model2,trad,0.88481318,0.7972224663795376,0.8317880794701987,0.814114317779203,RUS,0.88179255,0.7924174504116492,0.8211920529801324,0.8064792959052148,ADA,0.89837004,0.8189622337464475,0.8503311258278146,0.8342918812264671,RUS,0.89791955,0.818288359555829,0.8635761589403973,0.8404200305727872,RUS
commons-bcel,model2,slw,0.92054307,0.8556555139997979,0.8603268945022289,0.8579370113413026,RUS,0.90895799,0.8363489335894067,0.8558692421991084,0.8458826318559495,SMOTE,0.92431222,0.8621584285184811,0.9034175334323924,0.8823093321164582,RUS,0.90947274,0.8373260554600896,0.8900445765230312,0.8630737258951087,RUS
commons-bcel,model3,trad,0.895625,0.8140693211450002,0.7390728476821192,0.7774193337164192,ROS,0.91851923,0.8514839881632533,0.6503311258278146,0.7531827009771863,NONE,0.89663671,0.815680759426914,0.7337748344370861,0.775654195742033,ROS,0.895625,0.8140693211450002,0.7390728476821192,0.7774193337164192,ROS
commons-bcel,model3,slw,0.92541386,0.8636746521109202,0.7919762258543833,0.8286572158714101,NONE,0.92524105,0.8633714073924323,0.7890044576523031,0.8270506670803058,ROS,0.92524105,0.8633714073924323,0.7890044576523031,0.8270506670803058,SMOTE,0.92541386,0.8636746521109202,0.7919762258543833,0.8286572158714101,ENN
commons-csv,model1,trad,0.85231512,0.748833737637619,0.7962962962962963,0.7718252695643498,RUS,0.8880178,0.8027617092741183,0.6851851851851852,0.7458059849343281,ADA,0.90977209,0.8382160850905019,0.7469135802469136,0.7939878657440071,ROS,0.86137751,0.7626422840082104,0.8333333333333334,0.7968860239881984,RUS
commons-csv,model1,slw,0.87738707,0.7869565217391304,0.8,0.7932703659976387,RUS,0.88633694,0.8006864988558352,0.762962962962963,0.7824259915169006,ROS,0.92832936,0.8693363844393592,0.7481481481481481,0.8106738379465652,ROS,0.88132475,0.7933638443935926,0.8444444444444444,0.8180899908172636,RUS
commons-csv,model2,trad,0.87528247,0.7837283075200597,0.8209876543209876,0.8017772599101571,RUS,0.89090717,0.8072401567456615,0.6666666666666666,0.739144378166891,ROS,0.95689398,0.9192013435342414,0.7407407407407407,0.8327525139147229,ROS,0.87795445,0.7880201530136219,0.845679012345679,0.8159509166019332,RUS
commons-csv,model2,slw,0.87640449,0.7860411899313501,0.8888888888888888,0.8358257903712448,RUS,0.88601645,0.8002288329519451,0.7703703703703704,0.7857755039573222,ROS,0.98345829,0.968192219679634,0.7333333333333333,0.8545060999606454,ROS,0.90010352,0.8233409610983982,0.8888888888888888,0.8550701823429095,RUS
