Proj,Fs,App,window,Algorithm,F1,Acc,Sen,AUC,RS
Openfire,Evo,trad,0,DT,0.50292581,0.3419471430544684,0.7979695431472081,0.5673435053175354,ADA
Openfire,Evo,trad,0,LogisticRegression,0.70958205,0.5522583912703163,0.4649746192893401,0.50911699145068,ROS
Openfire,Evo,trad,0,MLP,0.48641165,0.3275070215019107,0.7984771573604061,0.5602915411558991,ROS
Openfire,Evo,trad,0,RandomForest,0.50209012,0.3412162162162162,0.798984771573604,0.5674756436368678,NONE
Openfire,Evo,slw,2,DT,0.51867568,0.3560805416752905,0.7870606214977076,0.5690397578058473,NONE
Openfire,Evo,slw,2,LogisticRegression,0.70963362,0.5523373052245646,0.4574630667345899,0.5054573114482083,RUS
Openfire,Evo,slw,2,MLP,0.44320928,0.2915171047573992,0.8217014773306164,0.5534959146234755,SMOTE
Openfire,Evo,slw,2,RandomForest,0.51999912,0.3572691523018243,0.7860417727967397,0.5691376015268235,NONE
Openfire,Evo,slw,3,DT,0.53084678,0.3674567930868939,0.8023080782739589,0.582250566859926,SMOTE
Openfire,Evo,slw,3,LogisticRegression,0.3278903,0.2046567450792126,0.8906171600602107,0.5434852853451126,RUS
Openfire,Evo,slw,3,MLP,0.45698867,0.3031865098415746,0.8339187155042649,0.5653404397032157,ADA
Openfire,Evo,slw,3,RandomForest,0.53085332,0.3674627940470475,0.8023080782739589,0.5822536036598678,SMOTE
Openfire,Evo,slw,4,DT,0.54366259,0.3792560435818863,0.8005128205128205,0.5873572335295671,ADA
Openfire,Evo,slw,4,LogisticRegression,0.35699791,0.225521669341894,0.8876923076923077,0.5526345025004898,ROS
Openfire,Evo,slw,4,MLP,0.53146015,0.3679532078408483,0.8005128205128205,0.5816380078247394,SMOTE
Openfire,Evo,slw,4,RandomForest,0.54366259,0.3792560435818863,0.8005128205128205,0.5873572335295671,ADA
Openfire,Str,trad,0,DT,0.86177567,0.7591567291311755,0.7385786802030457,0.7489856994406854,RUS
Openfire,Str,trad,0,LogisticRegression,0.8620312,0.759312123025922,0.6527918781725889,0.7066627889308649,ENN
Openfire,Str,trad,0,MLP,0.90972905,0.8356910999585616,0.6842639593908629,0.7608458146723207,ROS
Openfire,Str,trad,0,RandomForest,0.86208458,0.7598013260279018,0.8010152284263959,0.7801719562280773,RUS
Openfire,Str,slw,2,DT,0.85828614,0.7539221193932764,0.7529291900152827,0.7534314854361392,RUS
Openfire,Str,slw,2,LogisticRegression,0.85242828,0.7449336211229709,0.7111563932755985,0.7282433556044265,SMOTE
Openfire,Str,slw,2,MLP,0.90012925,0.8199698412229088,0.7468160978094753,0.7838225467568634,ROS
Openfire,Str,slw,2,RandomForest,0.86224746,0.7601726737825611,0.825776872134488,0.7925895285514789,RUS
Openfire,Str,slw,3,DT,0.91213654,0.8400984157465194,0.8449573507275464,0.842498475299393,RUS
Openfire,Str,slw,3,LogisticRegression,0.86707167,0.7671927508401344,0.6613146011038635,0.7148944867745777,ROS
Openfire,Str,slw,3,MLP,0.97262616,0.9472575612097937,0.8575012543903663,0.9029226436910804,ROS
Openfire,Str,slw,3,RandomForest,0.90973703,0.8361437830052808,0.870546914199699,0.853137129076867,RUS
Openfire,Str,slw,4,DT,0.91132783,0.8387385086823289,0.8482051282051282,0.8434150264153586,RUS
Openfire,Str,slw,4,LogisticRegression,0.87322494,0.7768009144413639,0.6835897435897436,0.7307545203347617,ADA
Openfire,Str,slw,4,MLP,0.96970982,0.941801644048835,0.862051282051282,0.9024049004489806,ROS
Openfire,Str,slw,4,RandomForest,0.90622417,0.8303297825769735,0.8861538461538462,0.8579069153241266,RUS
Openfire,StrEvo,trad,0,DT,0.86481411,0.7638300566324416,0.7421319796954314,0.7531054351912326,RUS
Openfire,StrEvo,trad,0,LogisticRegression,0.86252135,0.7600833371702196,0.6598984771573604,0.7105653683245209,ADA
Openfire,StrEvo,trad,0,MLP,0.93181797,0.8733194438049634,0.6766497461928934,0.7761123013485337,ROS
Openfire,StrEvo,trad,0,RandomForest,0.87092881,0.7734702334361618,0.8111675126903554,0.792102716422485,RUS
Openfire,StrEvo,slw,2,DT,0.86307783,0.7613317169805742,0.7855323484462557,0.7732899204987498,RUS
Openfire,StrEvo,slw,2,LogisticRegression,0.84788666,0.7381685934774252,0.7269485481406012,0.7326244577464561,ADA
Openfire,StrEvo,slw,2,MLP,0.92885981,0.8682948463972089,0.7300050942435048,0.7999620426405328,ROS
Openfire,StrEvo,slw,2,RandomForest,0.87345991,0.7775287543242364,0.8364747834946511,0.80665562295193,RUS
