Dataset,Algoritm,window,model,resample,F1-Score(micro),F1-Score(macro),F1-Score(weighted),F1-Score(None),Accuracy,precision,Sensitivity,Specificity,ROC AUC score,Confusion matrix
commons-bcel,RandomForest,2,model1,NONE,0.846439923712651,0.4982804822046383,0.8976003773795093,[0.91622592 0.08033505],0.846439923712651,0.04635325131810193,0.30099857346647646,0.8588705744660099,0.5799345739662431,"[26418, 4341, 490, 211]"
commons-bcel,DT,2,model1,NONE,0.7684361093452002,0.4770787227993913,0.8500131998591335,[0.86740804 0.0867494 ],0.7684361093452002,0.047553600879604176,0.49358059914407987,0.7747000877791865,0.6341403434616332,"[23829, 6930, 355, 346]"
commons-bcel,LogisticRegression,2,model1,NONE,0.9777177368086458,0.494366672559829,0.9667021284976339,[0.98873335 0.        ],0.9777177368086459,nan,0.0,1.0,0.5,"[30759, 0, 701, 0]"
commons-bcel,MLP,2,model1,NONE,0.9776859504132231,0.49719104423541843,0.9668117729176209,[0.98871637 0.00566572],0.9776859504132231,0.4,0.0028530670470756064,0.9999024675704672,0.5013777673087714,"[30756, 3, 699, 2]"
commons-bcel,RandomForest,2,model2,NONE,0.9480610298792117,0.6204982745049124,0.957362969353711,[0.9730754  0.26792115],0.9480610298792117,0.1952971913781842,0.42653352353780316,0.9599466822718554,0.6932401029048293,"[29527, 1232, 402, 299]"
commons-bcel,DT,2,model2,NONE,0.922822631913541,0.5930680009290967,0.9430596922472614,[0.95938441 0.22675159],0.922822631913541,0.14596145961459614,0.5078459343794579,0.9322799830943789,0.7200629587369184,"[28676, 2083, 345, 356]"
commons-bcel,LogisticRegression,2,model2,NONE,0.9771773680864589,0.5064550716247433,0.9669735844175519,[0.98845362 0.02445652],0.9771773680864589,0.2571428571428571,0.012838801711840228,0.999154718944049,0.5059967603279446,"[30733, 26, 692, 9]"
commons-bcel,MLP,2,model2,NONE,0.9773045136681501,0.6561610953058321,0.9736498753720916,[0.98845855 0.32386364],0.9773045136681501,0.48169014084507045,0.24393723252496433,0.9940180109886537,0.6189776217568089,"[30575, 184, 530, 171]"
commons-bcel,RandomForest,2,model3,NONE,0.8272409408773045,0.5336940570474787,0.8871827888353438,[0.90367062 0.16371749],0.8272409408773045,0.09175577785443256,0.7589158345221113,0.8287980753600572,0.7938569549410843,"[25493, 5266, 169, 532]"
commons-bcel,DT,2,model3,NONE,0.8269230769230769,0.5334711212766712,0.8869871680411159,[0.90347627 0.16346597],0.8269230769230769,0.09159779614325068,0.7589158345221113,0.8284729672616145,0.7936944008918629,"[25483, 5276, 169, 532]"
