Dataset,Algoritm,window,model,resample,F1-Score(micro),F1-Score(macro),F1-Score(weighted),F1-Score(None),Accuracy,precision,Sensitivity,Specificity,ROC AUC score,Confusion matrix
commons-csv,RandomForest,2,model1,NONE,0.9208359721342622,0.6078075306694455,0.9340760692567106,[0.95818932 0.25742574],0.9208359721342622,0.19005847953216373,0.3987730061349693,0.9394403148229121,0.6691066604789407,"[4297, 277, 98, 65]"
commons-csv,DT,2,model1,NONE,0.8577158539159806,0.5419761056310145,0.8960895126193149,[0.92226067 0.16169154],0.8577158539159806,0.10140405616224649,0.3987730061349693,0.8740708351552252,0.6364219206450973,"[3998, 576, 98, 65]"
commons-csv,LogisticRegression,2,model1,NONE,0.9655900358876927,0.4912469122543229,0.9486862472667397,[0.98249382 0.        ],0.9655900358876927,nan,0.0,1.0,0.5,"[4574, 0, 163, 0]"
commons-csv,MLP,2,model1,NONE,0.9630567869959891,0.5124402074279534,0.9489069910192149,[0.98116457 0.04371585],0.9630567869959891,0.2,0.024539877300613498,0.9965019676432006,0.5105209224719072,"[4558, 16, 159, 4]"
commons-csv,RandomForest,2,model2,NONE,0.9620012666244458,0.7222938748710253,0.9625459323634903,[0.98030204 0.46428571],0.9620012666244458,0.4508670520231214,0.4785276073619632,0.9792304328815041,0.7288790201217337,"[4479, 95, 85, 78]"
commons-csv,DT,2,model2,NONE,0.9411019632678911,0.6857968427601753,0.949532413383017,[0.96902409 0.40256959],0.9411019632678911,0.3092105263157895,0.5766871165644172,0.9540883253170092,0.7653877209407131,"[4364, 210, 69, 94]"
commons-csv,LogisticRegression,2,model2,NONE,0.9655900358876927,0.4973056377503687,0.9490997060320258,[0.98249006 0.01212121],0.9655900358876927,0.5,0.006134969325153374,0.9997813729777001,0.5029581711514267,"[4573, 1, 162, 1]"
commons-csv,MLP,2,model2,NONE,0.9662233481106185,0.6435196508193329,0.9593496949178156,[0.98269148 0.30434783],0.9662233481106185,0.5223880597014925,0.2147239263803681,0.9930039352864014,0.6038639308333849,"[4542, 32, 128, 35]"
commons-csv,RandomForest,2,model3,NONE,0.757019210470762,0.5074177518128683,0.8339278449741877,[0.85805895 0.15677656],0.757019210470762,0.08901830282861897,0.656441717791411,0.7606034105815479,0.7085225641864794,"[3479, 1095, 56, 107]"
commons-csv,DT,2,model3,NONE,0.7538526493561326,0.5066929485484828,0.8318410070818986,[0.85587145 0.15751445],0.7538526493561326,0.08927108927108927,0.6687116564417178,0.7568867512024486,0.7127992038220833,"[3462, 1112, 54, 109]"
commons-csv,LogisticRegression,2,model3,NONE,0.9655900358876927,0.4912469122543229,0.9486862472667397,[0.98249382 0.        ],0.9655900358876927,nan,0.0,1.0,0.5,"[4574, 0, 163, 0]"
