Dataset,Algoritm,window,model,resample,F1-Score(micro),F1-Score(macro),F1-Score(weighted),F1-Score(None),Accuracy,precision,Sensitivity,Specificity,ROC AUC score,Confusion matrix
commons-io,RandomForest,2,model1,NONE,0.8800574329521563,0.5158160812193712,0.9183249558343342,[0.93576823 0.09586394],0.8800574329521563,0.05682859761686526,0.30617283950617286,0.8922287390029325,0.5992007892545527,"[17038, 2058, 281, 124]"
commons-io,DT,2,model1,NONE,0.8141120968155479,0.4938589833091182,0.8797441653970939,[0.89646703 0.09125094],0.814112096815548,0.05078125,0.44938271604938274,0.8218475073313783,0.6356151116903805,"[15694, 3402, 223, 182]"
commons-io,LogisticRegression,2,model1,NONE,0.9790779960002051,0.5019597592102674,0.9691791736725048,[0.98942676 0.01449275],0.9790779960002051,0.3333333333333333,0.007407407407407408,0.9996857980728948,0.5035466027401511,"[19090, 6, 402, 3]"
commons-io,MLP,2,model1,NONE,0.9779498487257063,0.5187591106825982,0.9693199844693445,[0.98884565 0.04867257],0.9779498487257063,0.23404255319148937,0.027160493827160494,0.9981147884373691,0.5126376411322648,"[19060, 36, 394, 11]"
commons-io,RandomForest,2,model2,NONE,0.9489256961181478,0.6195148657803788,0.9588379757193836,[0.97354301 0.26548673],0.9489256961181478,0.1892744479495268,0.4444444444444444,0.9596250523669878,0.7020347484057161,"[18325, 771, 225, 180]"
commons-io,DT,2,model2,NONE,0.9386185323829547,0.6287688549200217,0.9538362281496852,[0.96792347 0.28961424],0.9386185323829547,0.190625,0.6024691358024692,0.9457478005865103,0.7741084681944898,"[18060, 1036, 161, 244]"
commons-io,LogisticRegression,2,model2,NONE,0.9793343931080457,0.5138705714370724,0.9697967998644993,[0.98955499 0.03818616],0.9793343931080457,0.5714285714285714,0.019753086419753086,0.9996857980728948,0.5097194422463239,"[19090, 6, 397, 8]"
commons-io,MLP,2,model2,NONE,0.9827701143531101,0.7355580617238471,0.9806198742772045,[0.99123996 0.47987616],0.9827701143531101,0.6431535269709544,0.38271604938271603,0.9954964390448261,0.689106244213771,"[19010, 86, 250, 155]"
commons-io,RandomForest,2,model3,NONE,0.8583662376288397,0.5390270107983627,0.906765874003861,[0.92270234 0.15535168],0.8583662376288396,0.08865619546247819,0.6271604938271605,0.8632697947214076,0.745215144274284,"[16485, 2611, 151, 254]"
commons-io,DT,2,model3,NONE,0.8459566176093534,0.534061775254978,0.899441060647998,[0.91527527 0.15284828],0.8459566176093534,0.08627825533269659,0.6691358024691358,0.8497067448680352,0.7594212736685855,"[16226, 2870, 134, 271]"
commons-io,LogisticRegression,2,model3,NONE,0.9792318342649095,0.49475347824960486,0.9689567120306092,[0.98950696 0.        ],0.9792318342649095,nan,0.0,1.0,0.5,"[19096, 0, 405, 0]"
commons-io,MLP,2,model3,NONE,0.9792318342649095,0.49475347824960486,0.9689567120306092,[0.98950696 0.        ],0.9792318342649095,nan,0.0,1.0,0.5,"[19096, 0, 405, 0]"
commons-io,RandomForest,2,model1,RUS,0.6792472180913799,0.4487506176706624,0.790401050538516,[0.80520694 0.0922943 ],0.6792472180913799,0.04902867715078631,0.7851851851851852,0.6770004189359028,0.7310928020605441,"[12928, 6168, 87, 318]"
commons-io,DT,2,model1,RUS,0.6957591918363161,0.4507879866284969,0.8023510084758054,[0.81758647 0.0839895 ],0.6957591918363161,0.04479578392621871,0.671604938271605,0.6962714704650188,0.6839382043683119,"[13296, 5800, 133, 272]"
commons-io,LogisticRegression,2,model1,RUS,0.6822214245423311,0.4443053364980162,0.7928076563754687,[0.80791048 0.08070019],0.6822214245423311,0.04292929292929293,0.671604938271605,0.6824465856723921,0.6770257619719985,"[13032, 6064, 133, 272]"
commons-io,MLP,2,model1,RUS,0.6842213219834881,0.44915886140841066,0.7940487625473361,[0.80899504 0.08932269],0.6842213219834881,0.04750668554349536,0.745679012345679,0.6829178885630498,0.7142984504543645,"[13041, 6055, 103, 302]"
commons-io,RandomForest,2,model2,RUS,0.8008307266294036,0.5190187474640204,0.8718925802891142,[0.88718485 0.15085265],0.8008307266294036,0.08275365795154713,0.8518518518518519,0.7997486384583159,0.8258002451550839,"[15272, 3824, 60, 345]"
commons-io,DT,2,model2,RUS,0.7863186503256243,0.5072244779956099,0.8626720914475245,[0.8780759  0.13637306],0.7863186503256243,0.07443438914027149,0.8123456790123457,0.7857666527021365,0.799056165857241,"[15005, 4091, 76, 329]"
commons-io,LogisticRegression,2,model2,RUS,0.7477052458848263,0.47882350216210334,0.8376204374031553,[0.85316939 0.10447761],0.7477052458848265,0.05639614855570839,0.7086419753086419,0.748533724340176,0.7285878498244089,"[14294, 4802, 118, 287]"
commons-io,MLP,2,model2,RUS,0.7756525306394544,0.5011404696228179,0.8558276625207825,[0.87119852 0.13108242],0.7756525306394544,0.07127429805615551,0.8148148148148148,0.7748219522413071,0.794818383528061,"[14796, 4300, 75, 330]"
commons-io,RandomForest,2,model3,RUS,0.8574432080406132,0.5365378228663675,0.9061713074471176,[0.92218988 0.15088577],0.8574432080406132,0.08609271523178808,0.6098765432098765,0.8626937578550482,0.7362851505324624,"[16474, 2622, 158, 247]"
commons-io,DT,2,model3,RUS,0.8586739141582483,0.5371977740063394,0.9068963241558091,[0.92291772 0.15147783],0.8586739141582483,0.08652831516004221,0.6074074074074074,0.8640029325513197,0.7357051699793635,"[16499, 2597, 159, 246]"
commons-io,LogisticRegression,2,model3,RUS,0.8228295984821291,0.5052420286808691,0.885172217310884,[0.90163701 0.10884705],0.8228295984821291,0.06077188940092166,0.5209876543209877,0.8292312526183494,0.6751094534696686,"[15835, 3261, 194, 211]"
commons-io,MLP,2,model3,RUS,0.9008255986872469,0.5600239858800524,0.9311667316109427,[0.94725071 0.17279726],0.9008255986872468,0.10450077599586136,0.49876543209876545,0.9093527440301634,0.7040590880644644,"[17365, 1731, 203, 202]"
commons-io,RandomForest,2,model1,ENN,0.8771345059227732,0.5149689825272389,0.9166802042817895,[0.93408891 0.09584906],0.8771345059227732,0.056570155902004454,0.3135802469135803,0.889086719731881,0.6013334833227306,"[16978, 2118, 278, 127]"
commons-io,DT,2,model1,ENN,0.8113942874724374,0.4922020145209991,0.8780776224205744,[0.89480007 0.08960396],0.8113942874724374,0.04979367262723521,0.4469135802469136,0.8191244239631337,0.6330190021050236,"[15642, 3454, 224, 181]"
commons-io,LogisticRegression,2,model1,ENN,0.9782575252551151,0.5037627593888937,0.9688517346264806,[0.989007   0.01851852],0.9782575252551151,0.14814814814814814,0.009876543209876543,0.9987955592794302,0.5043360512446534,"[19073, 23, 401, 4]"
commons-io,MLP,2,model1,ENN,0.9713860827649864,0.5470429301859988,0.9672494395822295,[0.98545966 0.1086262 ],0.9713860827649864,0.15384615384615385,0.08395061728395062,0.9902073732718893,0.53707899527792,"[18909, 187, 371, 34]"
commons-io,RandomForest,2,model2,ENN,0.9475924311573766,0.6219302592041764,0.9582445117030582,[0.97281915 0.27104137],0.9475924311573766,0.1905717151454363,0.4691358024691358,0.9577398408043569,0.7134378216367463,"[18289, 807, 215, 190]"
