Dataset,Algoritm,window,model,resample,F1-Score(micro),F1-Score(macro),F1-Score(weighted),F1-Score(None),Accuracy,precision,Sensitivity,Specificity,ROC AUC score,Confusion matrix
easymock,RandomForest,2,model1,NONE,0.8959571938168847,0.5376284255509203,0.9342964706144683,[0.94466778 0.13058907],0.8959571938168847,0.07307386814932486,0.6133333333333333,0.8996042670337233,0.7564688001835282,"[10457, 1167, 58, 92]"
easymock,DT,2,model1,NONE,0.884321386104977,0.5324900994948293,0.92772332668935,[0.93805712 0.12692308],0.884321386104977,0.07021276595744681,0.66,0.8872161046111493,0.7736080523055747,"[10313, 1311, 51, 99]"
easymock,LogisticRegression,2,model1,NONE,0.9872600645490063,0.4967945978288743,0.980930933440264,[0.9935892 0.       ],0.9872600645490063,nan,0.0,1.0,0.5,"[11624, 0, 150, 0]"
easymock,MLP,2,model1,NONE,0.9872600645490063,0.4967945978288743,0.980930933440264,[0.9935892 0.       ],0.9872600645490063,nan,0.0,1.0,0.5,"[11624, 0, 150, 0]"
easymock,RandomForest,2,model2,NONE,0.9296755563105147,0.5668111389075268,0.9531795803776346,[0.9632816  0.17034068],0.9296755563105147,0.10023584905660378,0.5666666666666667,0.9343599449415003,0.7505133058040835,"[10861, 763, 65, 85]"
easymock,DT,2,model2,NONE,0.9261083743842364,0.5725836454028764,0.951397872180251,[0.96130238 0.18386492],0.9261083743842364,0.10698689956331878,0.6533333333333333,0.9296283551273228,0.791480844230328,"[10806, 818, 52, 98]"
easymock,LogisticRegression,2,model2,NONE,0.9872600645490063,0.4967945978288743,0.980930933440264,[0.9935892 0.       ],0.9872600645490063,nan,0.0,1.0,0.5,"[11624, 0, 150, 0]"
easymock,MLP,2,model2,NONE,0.9872600645490063,0.5449851754979889,0.9821545480833931,[0.99358481 0.09638554],0.9872600645490063,0.5,0.05333333333333334,0.9993117687543015,0.5263225510438173,"[11616, 8, 142, 8]"
easymock,RandomForest,2,model3,NONE,0.33930694751146595,0.2665199305247653,0.49169065926712263,[0.49757799 0.03546187],0.33930694751146595,0.0180669614655717,0.9533333333333334,0.3313833448038541,0.6423583390685937,"[3852, 7772, 7, 143]"
easymock,DT,2,model3,NONE,0.33930694751146595,0.2665199305247653,0.49169065926712263,[0.49757799 0.03546187],0.33930694751146595,0.0180669614655717,0.9533333333333334,0.3313833448038541,0.6423583390685937,"[3852, 7772, 7, 143]"
easymock,LogisticRegression,2,model3,NONE,0.9872600645490063,0.4967945978288743,0.980930933440264,[0.9935892 0.       ],0.9872600645490063,nan,0.0,1.0,0.5,"[11624, 0, 150, 0]"
easymock,MLP,2,model3,NONE,0.9872600645490063,0.4967945978288743,0.980930933440264,[0.9935892 0.       ],0.9872600645490063,nan,0.0,1.0,0.5,"[11624, 0, 150, 0]"
easymock,RandomForest,2,model1,RUS,0.7179378291149991,0.4526386156208303,0.8239992567861462,[0.83370888 0.07156835],0.7179378291149991,0.037350452290633204,0.8533333333333334,0.7161906400550585,0.784761986694196,"[8325, 3299, 22, 128]"
easymock,DT,2,model1,RUS,0.6984881943264821,0.4394315362057297,0.810797864951046,[0.82050763 0.05835544],0.6984881943264821,0.03038674033149171,0.7333333333333333,0.6980385409497591,0.7156859371415463,"[8114, 3510, 40, 110]"
easymock,LogisticRegression,2,model1,RUS,0.7233735349074232,0.4417029917914819,0.828153764446308,[0.83825793 0.04514805],0.7233735349074232,0.023612388837779823,0.5133333333333333,0.7260839642119752,0.6197086487726542,"[8440, 3184, 73, 77]"
easymock,MLP,2,model1,RUS,0.7285544419908273,0.4501490673239095,0.8314361607744006,[0.84140532 0.05889282],0.7285544419908272,0.030807147258163893,0.6666666666666666,0.7293530626290433,0.698009864647855,"[8478, 3146, 50, 100]"
easymock,RandomForest,2,model2,RUS,0.776371666383557,0.4827351500068369,0.8625328491282988,[0.87246307 0.09300723],0.776371666383557,0.04903741373047584,0.9,0.774776324845148,0.8373881624225741,"[9006, 2618, 15, 135]"
easymock,DT,2,model2,RUS,0.7655851877017156,0.4722390980890051,0.855681001964175,[0.8657065 0.0787717],0.7655851877017157,0.04146170063246662,0.7866666666666666,0.7653131452167928,0.7759899059417298,"[8896, 2728, 32, 118]"
easymock,LogisticRegression,2,model2,RUS,0.6970443349753694,0.43296596970174556,0.810070532632618,[0.81993033 0.0460016 ],0.6970443349753694,0.02396210643633324,0.5733333333333334,0.6986407432897453,0.6359870383115394,"[8121, 3503, 64, 86]"
