Dataset,Algoritm,window,model,resample,F1-Score(micro),F1-Score(macro),F1-Score(weighted),F1-Score(None),Accuracy,precision,Sensitivity,Specificity,ROC AUC score,Confusion matrix
pdfbox,RandomForest,2,model1,NONE,0.8628838992736791,0.7315278814619421,0.8786214192233986,[0.9193188  0.54373696],0.8628838992736791,0.42517267843438217,0.7539979584892821,0.8761164406218988,0.8150571995555904,"[21188, 2996, 723, 2216]"
pdfbox,DT,2,model1,NONE,0.8407255834531578,0.7207308549577984,0.8641184474480347,[0.90379048 0.53767123],0.8407255834531578,0.3921935987509758,0.854712487240558,0.8390258021832616,0.8468691447119099,"[20291, 3893, 427, 2512]"
pdfbox,LogisticRegression,2,model1,NONE,0.8902776241566198,0.49090681578227036,0.8440947117117152,[0.94181363 0.04      ],0.8902776241566198,0.38509316770186336,0.02109561075195645,0.9959063843863711,0.5085009975691638,"[24085, 99, 2877, 62]"
pdfbox,MLP,2,model1,NONE,0.9033661468126682,0.6928852834754998,0.8920331387172449,[0.94713274 0.43863782],0.9033661468126682,0.5919075144508671,0.34841782919360326,0.9708071452199801,0.6596124872067918,"[23478, 706, 1915, 1024]"
pdfbox,RandomForest,2,model2,NONE,0.9507060428418685,0.8819104459337024,0.952510506619336,[0.97204391 0.79177698],0.9507060428418685,0.730040206777714,0.8649200408302143,0.9611313264968574,0.9130256836635359,"[23244, 940, 397, 2542]"
pdfbox,DT,2,model2,NONE,0.9365483169265937,0.8596938559200944,0.9410315576279293,[0.96353582 0.75585189],0.9365483169265937,0.6481751824817519,0.9064307587614835,0.9402084022494211,0.9233195805054524,"[22738, 1446, 275, 2664]"
pdfbox,LogisticRegression,2,model2,NONE,0.9052096007078864,0.6415416213570426,0.8823474945110564,[0.94897291 0.33411033],0.9052096007078863,0.6995661605206074,0.21946240217761143,0.9885461462123718,0.6040042741949916,"[23907, 277, 2294, 645]"
pdfbox,MLP,2,model2,NONE,0.9471297422851455,0.8559948417232466,0.9457274719516167,[0.97055441 0.74143527],0.9471297422851455,0.7886459532029152,0.6995576726777816,0.9772163413827324,0.8383870070302569,"[23633, 551, 883, 2056]"
pdfbox,RandomForest,2,model3,NONE,0.824945618110091,0.69032507065436,0.8502542509203671,[0.89450296 0.48614719],0.824945618110091,0.3564513569274718,0.7642055120789384,0.832327158451869,0.7982663352654037,"[20129, 4055, 693, 2246]"
pdfbox,DT,2,model3,NONE,0.824945618110091,0.69032507065436,0.8502542509203671,[0.89450296 0.48614719],0.824945618110091,0.3564513569274718,0.7642055120789384,0.832327158451869,0.7982663352654037,"[20129, 4055, 693, 2246]"
pdfbox,LogisticRegression,2,model3,NONE,0.8916417800390813,0.4713586840002339,0.8405661920776947,[0.94271737 0.        ],0.8916417800390812,nan,0.0,1.0,0.5,"[24184, 0, 2939, 0]"
pdfbox,MLP,2,model3,NONE,0.8916417800390813,0.4713586840002339,0.8405661920776947,[0.94271737 0.        ],0.8916417800390812,nan,0.0,1.0,0.5,"[24184, 0, 2939, 0]"
pdfbox,RandomForest,2,model1,RUS,0.8159495631014269,0.6988075701506578,0.8459362512171129,[0.88664335 0.51097179],0.8159495631014269,0.3587838767368276,0.8873766587274583,0.8072692689381409,0.8473229638327996,"[19523, 4661, 331, 2608]"
pdfbox,DT,2,model1,RUS,0.8069166390148582,0.679440656575285,0.837779480647358,[0.88158817 0.47729314],0.8069166390148582,0.33771186440677964,0.8135420210956108,0.8061114786635792,0.809826749879595,"[19495, 4689, 548, 2391]"
pdfbox,LogisticRegression,2,model1,RUS,0.712789883125023,0.553598610749829,0.762403857499906,[0.82017544 0.28702178],0.712789883125023,0.19631901840490798,0.533514800952705,0.7345765795567317,0.6340456902547184,"[17765, 6419, 1371, 1568]"
pdfbox,MLP,2,model1,RUS,0.7352800206466836,0.6198680852261921,0.7839314219949003,[0.82932395 0.41041222],0.7352800206466836,0.270483818595086,0.8502892140183737,0.7213033410519352,0.7857962775351545,"[17444, 6740, 440, 2499]"
pdfbox,RandomForest,2,model2,RUS,0.8994948936327103,0.8049608081934436,0.9113197895606637,[0.94074686 0.66917476],0.8994948936327103,0.5200905489530278,0.9380741748894181,0.8948064836255375,0.9164403292574779,"[21640, 2544, 182, 2757]"
pdfbox,DT,2,model2,RUS,0.8810972237584338,0.7768155720215919,0.8963119954924228,[0.92937389 0.62425725],0.8810972237584338,0.47466335931963144,0.9115345355563117,0.8773982798544492,0.8944664077053806,"[21219, 2965, 260, 2679]"
pdfbox,LogisticRegression,2,model2,RUS,0.8016074917966302,0.6744789647303943,0.8338208855281632,[0.87790711 0.47105082],0.8016074917966302,0.3312137130218413,0.8152432800272201,0.7999503804168046,0.8075968302220123,"[19346, 4838, 543, 2396]"
pdfbox,MLP,2,model2,RUS,0.8671975813884895,0.7493718303684946,0.8839746200883306,[0.9212161  0.57752756],0.8671975813884895,0.4406658313943082,0.8376998979244641,0.8707823354283823,0.8542411166764231,"[21059, 3125, 477, 2462]"
pdfbox,RandomForest,2,model3,RUS,0.824945618110091,0.69032507065436,0.8502542509203671,[0.89450296 0.48614719],0.824945618110091,0.3564513569274718,0.7642055120789384,0.832327158451869,0.7982663352654037,"[20129, 4055, 693, 2246]"
pdfbox,DT,2,model3,RUS,0.824945618110091,0.69032507065436,0.8502542509203671,[0.89450296 0.48614719],0.824945618110091,0.3564513569274718,0.7642055120789384,0.832327158451869,0.7982663352654037,"[20129, 4055, 693, 2246]"
pdfbox,LogisticRegression,2,model3,RUS,0.824945618110091,0.69032507065436,0.8502542509203671,[0.89450296 0.48614719],0.824945618110091,0.3564513569274718,0.7642055120789384,0.832327158451869,0.7982663352654037,"[20129, 4055, 693, 2246]"
pdfbox,MLP,2,model3,RUS,0.824945618110091,0.69032507065436,0.8502542509203671,[0.89450296 0.48614719],0.824945618110091,0.3564513569274718,0.7642055120789384,0.832327158451869,0.7982663352654037,"[20129, 4055, 693, 2246]"
pdfbox,RandomForest,2,model1,ENN,0.8508277107989529,0.7297889481119295,0.8714442399802607,[0.91063698 0.54894091],0.8508277107989529,0.40822417509534076,0.8376998979244641,0.852423089646047,0.8450614937852555,"[20615, 3569, 477, 2462]"
pdfbox,DT,2,model1,ENN,0.8381447479998525,0.7195204409370627,0.8623955134212721,[0.90192574 0.53711514],0.8381447479998525,0.3891520244461421,0.8666212997618238,0.8346840886536553,0.8506526942077395,"[20186, 3998, 392, 2547]"
pdfbox,LogisticRegression,2,model1,ENN,0.885595251262766,0.513029110348195,0.846664570798796,[0.93897378 0.08708444],0.885595251262766,0.3217391304347826,0.05035726437563797,0.9870989083691697,0.5187280863724039,"[23872, 312, 2791, 148]"
pdfbox,MLP,2,model1,ENN,0.8735021937101353,0.7210917969910736,0.8825860053849122,[0.92726772 0.51491588],0.8735021937101353,0.4404934687953556,0.6195985028921401,0.9043582533906716,0.7619783781414059,"[21871, 2313, 1118, 1821]"
pdfbox,RandomForest,2,model2,ENN,0.934446779486045,0.8568898429692509,0.9394108584597749,[0.96224251 0.75153717],0.934446779486045,0.6376571022053592,0.9149370534195305,0.9368177307310619,0.9258773920752962,"[22656, 1528, 250, 2689]"
pdfbox,DT,2,model2,ENN,0.9257456771006157,0.8443655577796305,0.9325173262482139,[0.95690688 0.73182423],0.9257456771006157,0.6011813607525706,0.9350119088125213,0.9246195831955012,0.9298157460040113,"[22361, 1823, 191, 2748]"
pdfbox,LogisticRegression,2,model2,ENN,0.9012646093721196,0.6777406365295775,0.887965383222207,[0.94612971 0.40935157],0.9012646093721196,0.5818181818181818,0.31575365770670294,0.9724197816738339,0.6440867196902684,"[23517, 667, 2011, 928]"
pdfbox,MLP,2,model2,ENN,0.934336172252332,0.837539869581337,0.9357648146637445,[0.96294138 0.71213835],0.934336172252332,0.6782635467980296,0.7495746852670977,0.9567896129672511,0.8531821491171744,"[23139, 1045, 736, 2203]"
pdfbox,RandomForest,2,model3,ENN,0.5151716255576448,0.45923950947167713,0.5954630342047259,[0.63315293 0.28532609],0.5151716255576448,0.16978203221007696,0.8931609390949302,0.4692358584187893,0.6811983987568597,"[11348, 12836, 314, 2625]"
