Dataset,Algoritm,window,model,resample,F1-Score(micro),F1-Score(macro),F1-Score(weighted),F1-Score(None),Accuracy,Sensitivity,Specificity,ROC AUC score,Confusion matrix
wro4j,RandomForest,2,model1,NONE,0.8863784286378429,0.506159307672144,0.9143398644702253,[0.93948098 0.07283763],0.8863784286378429,0.15384615384615385,0.9082639088384564,0.5310550313423051,"[18970, 1916, 528, 96]"
wro4j,DT,2,model1,NONE,0.8378428637842864,0.4946630753092308,0.8869404573515177,[0.91110205 0.0782241 ],0.8378428637842864,0.23717948717948717,0.8557885665038782,0.5464840268416827,"[17874, 3012, 476, 148]"
wro4j,LogistRegression,2,model1,NONE,0.7339841933984194,0.4815055185778077,0.8223264985388492,[0.84331873 0.11969231],0.7339841933984194,0.6233974358974359,0.7372881355932204,0.6803427857453281,"[15399, 5487, 235, 389]"
wro4j,MLP,2,model1,NONE,0.9703858670385868,0.5017280585439812,0.9569288885961214,[0.98496613 0.01848998],0.9703858670385868,0.009615384615384616,0.999090299722302,0.5043528421688432,"[20867, 19, 618, 6]"
wro4j,RandomForest,2,model2,NONE,0.9114830311483031,0.5110134632768664,0.9278589571744854,[0.95353378 0.06849315],0.9114830311483031,0.11217948717948718,0.9353634013214593,0.5237714442504733,"[19536, 1350, 554, 70]"
wro4j,DT,2,model2,NONE,0.8800557880055788,0.5098170495246968,0.9111103692582816,[0.93582728 0.08380682],0.8800557880055788,0.1891025641025641,0.9006990328449679,0.544900798473766,"[18812, 2074, 506, 118]"
wro4j,LogistRegression,2,model2,NONE,0.7257554625755462,0.4772302016427145,0.8167635329771514,[0.83767645 0.11678395],0.7257554625755462,0.625,0.7287656803600497,0.6768828401800249,"[15221, 5665, 234, 390]"
wro4j,MLP,2,model2,NONE,0.9691771269177127,0.5336563406545121,0.9581775400226252,[0.98432513 0.08298755],0.9691771269177127,0.04807692307692308,0.9966963516230968,0.52238663735001,"[20817, 69, 594, 30]"
wro4j,RandomForest,2,model3,NONE,0.7470013947001395,0.4710770552615655,0.8309366694289436,[0.85310155 0.08905256],0.7470013947001395,0.42628205128205127,0.7565833572728143,0.5914327042774328,"[15802, 5084, 358, 266]"
wro4j,DT,2,model3,NONE,0.6880520688052069,0.4495996844554721,0.7908570803937632,[0.81187619 0.08732318],0.6880520688052069,0.5144230769230769,0.6932394905678445,0.6038312837454607,"[14479, 6407, 303, 321]"
